sequence,song,artist,artist_slug,album,time,notes
1,Beso,Atom™,atom,"This is Electrolatino, Vol. 1",3:56,Originally from Prince
2,BREAK
3,Love Strike,Shannon & the Clams,shannon-clams,Onion,2:48,Pulse bomb
4,Ride It On,Mazzy Star,mazzy-star,She Hangs Brightly,3:00,A rare treat!
5,I-76,G. Love & Special Sauce,g-love-special-sauce,"Yeah, It's That Easy",3:49,Scratching all the way to Philly
6,BREAK
7,Arrow,Death Valley Girls,death-valley-girls,Street Venom,3:38,Raw around the edges and the center
8,Hey!,Palberta,palberta,Palberta5000,1:32,Channeling the Minutemen
9,Killing the Incessant,Meat Wave,meat-wave,The Incessant,3:33,A noisy start
10,Winter,Marmoset,marmoset,Record in Red,2:11,Folding weirdly
11,BREAK
12,Birdhouse In Your Soul,They Might Be Giants,they-might-be-giants,Flood,3:21,Who watches over you?
13,Wherever It Takes Us,James,james,All The Colours Of You,5:06,Triumphant return
14,Boilermaker,Royal Blood,royal-blood,Typhoons,3:30,Monster riffage
15,BREAK
16,Love To Love You Baby,Tom Tom Club,tom-tom-club,The Good The Bad And The Funky,4:00,Originally from Donna Summer and Giorgio Moroder
17,86 The Mayo,The Slackers,slackers,Peculiar,4:23,Sage advice
18,Happy Life,Money Mark,money-mark,,2:52,A nice jaunt
19,Wear Your Love Like Heaven,Marc Ribot's Ceramic Dog,marc-ribot-s-ceramic-dog,Hope,5:31,Deconstructed Donovan
20,BREAK
21,Shame Reactions,Pom Pom Squad,pom-pom-squad,Death of a Cheerleader,1:33,Lethal velocity
22,Back of My Hand,Bachelor,bachelor,Doomin' Sun,3:30,Your biggest fan
23,"Where's Your Patience, Dear?",Matt Suggs,matt-suggs,Old Enough to Know Better,2:29,From Butterglory
24,BREAK
25,Hideaway,Wavves,wavves,Hideaway,3:58,Rattle some bars
26,Angst In My Pants,Sparks,sparks,Angst in My Pants,3:33,From the Valley Girl soundtrack
27,Caspian Can Wait,The Velvet Teen,velvet-teen,Out of the Fierce Parade,2:56,Surging and maritime
28,This Song Is Not About You,Get Set Go,get-set-go,"Sunshine, Joy + Happiness: a Tragic Tale of Death, Despair and Other Silly Nonsense",3:43,A sweet and lovely tune
29,BREAK
30,Power Broker Blues,The Gravel Pit,gravel-pit,Serpent Umbrella,3:03,Big power
31,Stepkids In Love,Switches,switches,,3:17,Such a conundrum
32,Dear M,C. Gibbs And The Cardia Bros.,c-gibbs-cardia-bros,The Pinkermen Set,4:06,Harrisonesque
33,I Dig Love (2020 Mix),George Harrison,george-harrison,All Things Must Pass [2021 Super Deluxe],4:57,Fifty years
34,BREAK
35,Ain't It Black,The Routes,routes,Instrumentals II,5:13,No it ain’t
36,Smoke Rings,Les Paul & Mary Ford,les-paul-mary-ford,Greatest Hits,2:59,Phantom parades
37,Off The Books,Guignol,guignol,Fight Dirty,2:48,And under the table
38,Never Go Back,Camper Van Beethoven,camper-van-beethoven,Our Beloved Revolutionary Sweetheart,3:24,Play another Mafia show
39,BREAK
40,Alpine,The Catenary Wires,catenary-wires,Birling Gap,3:50,Quite heavenly
41,Elevator,Drug Store Romeos,drug-store-romeos,The world within our bedrooms,3:45,Going up
42,Scream and Shout!,Hearty Har,hearty-har,Radio Astro,3:33,Mysterious carnival music
43,Bad Lucky Street,Young Antiques,young-antiques,Wardrobe for a Jet Weekend,2:38,Not the desired route
44,BREAK
45,There Must Be a Someone,Matt Sweeney & Bonnie 'Prince' Billy,matt-sweeney-bonnie-prince-billy,Superwolves,2:41,Old-fashioned
46,Freaks,Once And Future Band,once-future-band,Deleted Scenes,2:17,Supertrampy
47,Surfing Tuba,Boom Pam,boom-pam,Alakazam,3:05,Totally tubalar
48,BREAK
49,Safe,The Scientists,scientists,Negativity,4:15,Clap along
50,(Wascha Raj),Cato Salsa Experience,cato-salsa-experience,Cato Salsa Experience No. 3,0:51,An interlude
51,Strike One,Brut Boogaloo,brut-boogaloo,When the Dog Takes Over,3:03,Brutish
52,Let Me Smoke My Pipe,Mr B The Gentleman Rhymer,mr-b-gentleman-rhymer,,2:12,Permission requested
53,BREAK
54,Pelota (Cut a Rug Mix),Quantic,quantic,Mordechai Remixes,5:02,A suitable extension
55,Kung den knege,Pluxus,pluxus,European Onion,4:22,Return to the lunar module
56,2020 I Pray Thee,Brain Damage Meets Big Youth,brain-damage-meets-big-youth,Beyond The Blue,3:44,A jazzy sort of dub
57,BREAK
58,Tendrils and Paracetamol,The Moles,moles,Untune the Sky,6:41,They will overtake you
