sequence,song,artist,artist_slug,album,time,notes
1,Magic Pants,The Scientists,scientists,Negativity,3:04,Those pants were magic
2,No Way,Palberta,palberta,Palberta5000,2:08,The angles all work out
3,Taco Wagon,Young Fresh Fellows,young-fresh-fellows,This One's for the Ladies,2:13,Everyone’s favorite lunchtime anthem
4,BREAK
5,Andromeda,Once And Future Band,once-future-band,Deleted Scenes,4:07,An orchestral approach
6,Science Friction,XTC,xtc,White Music,3:15,Urgent communication
7,Alone,The Rare Occasions,rare-occasions,Big Whoop,2:45,Big big sounds
8,Heavenly Pop Hit,The Chills,chills,Submarine Bells,3:27,"Still heavenly, still a pop hit"
9,BREAK
10,Every Once In A While,Cut Worms,cut-worms,Nobody Lives Here Anymore,4:37,In a lax mood
11,Lucas With The Lid Off,Lucas,lucas,Lucacentric,4:01,Look up the Gondry video
12,TLO,Watercooler,watercooler,,,
13,The 23rd of September,The Vulgar Boatmen,vulgar-boatmen,Please Panic,3:37,Instant relax
14,X-Man,Sonny Smith,sonny-smith,,4:05,All of the day and all of the night
15,BREAK
16,Domino,Kiwi jr.,kiwi-jr,Cooler Returns,2:11,Double blanks
17,Cannonball! Pt. 2,Buck Meek,buck-meek,Two Saviors,4:04,Love the voice crax
18,Oh' Dear Handlebars,Marmoset,marmoset,Tea Tornado,3:20,Do the lurch
19,California Stutter,Robb Benson,robb-benson,A Collection of Songs I Forgot to Tell You About,2:09,Elastic waltz time
20,BREAK
21,Chief of Police,Ghost of Vroom,ghost-of-vroom,Ghost of Vroom 2 EP,3:07,Bring a box of donuts
22,Lavatory Lil,Josh Homme,josh-homme,McCartney III Imagined,2:53,Originally by Paul McCartney
23,Sleepwalker,King Gizzard & The Lizard Wizard,king-gizzard-lizard-wizard,Oddments,3:46,A gentle spin on the carousel
24,Collected,Ratboys,ratboys,"Happy Birthday, Ratboy",4:17,With a loping gait
25,BREAK
26,See Thru Honda,Disturbios,disturbios,You Didn't Think We Could Take It  (Subsonics Tribute - Vol 2),1:56,With a dainty Bossa beat
27,TLO,Popcorn,popcorn,,,
28,Pool Hopping,illuminati hotties,illuminati-hotties,Let Me Do One More,3:08,Is it major label time?
29,B.O.,Ghoulies,ghoulies,Reprogram,1:04,Let me catch my breath
30,Airwalks (Alt),Jeff Rosenstock,jeff-rosenstock,SKA DREAM,1:42,Strong flashback time
31,BREAK
32,Close Your Eyes and Floor It,The Deathray Davies,deathray-davies,Time Well Wasted,3:00,What’s the worst could happen
33,I'll Go Down Swinging,Los Straitjackets,los-straitjackets,Sing Along With Los Straitjackets,2:13,If I gotta go…
34,Skips A Beat (Over You),The Promise Ring,promise-ring,Very Emergency,2:01,Twelve hours in two minutes
35,BREAK
36,In It to Win It (feat. Jason Lytle),Brad Sucks,brad-sucks,A New Low In Hi-Fi,4:43,Get some Grandaddy in you
37,Fresh Thoughts Of You,The Moore Brothers,moore-brothers,Murdered By the Moore Brothers,3:06,Telling it like it is
38,Goodbye Girl,The Shins,shins,,2:56,Fresh take on old Squeeze
39,Duke Of Earl,Frank Black,frank-black,,2:42,Had to throw in that twisted chord
40,BREAK
41,The Call Up,The Lothars,lothars,,5:47,Surprisingly well suited for the theremin
