sequence,song,artist,artist_slug,album,time,notes
1,Maniac,Atom™,atom,"This is Electrolatino, Vol. 1",4:36,Para el flashdans
2,BREAK
3,Secret Plan,Drug Store Romeos,drug-store-romeos,The world within our bedrooms,3:30,An escalator to the clouds
4,Fast Enough for You,The Mommyheads,mommyheads,Bingham's Hole (Remastered),5:06,Definitely fast enough
5,Stewardess,Self,self,Subliminal Plastic Motives,3:36,The swirling harmonic madness
6,BREAK
7,The Boy,Shannon & the Clams,shannon-clams,Onion,3:03,It’s not that old-fashioned
8,Havana,The Mabuses,mabuses,,3:43,A dark cumbia
9,Caterpillars,The Goon Sax,goon-sax,Mirror II,3:50,Hit the pavement
10,BREAK
11,Ride,Ty Segall,ty-segall,Harmonizer,3:13,Under the speed limit
12,Get Down,Rocket From The Crypt,rocket-from-crypt,Live from Camp X-Ray,2:08,White hot
13,Something Elephants,Downtown Harvest,downtown-harvest,Golden Dragon,4:12,A pachydermic discotheque
14,Running With A Fork In My Mouth,The New Duncan Imperials,new-duncan-imperials,Loserville,2:45,"Down a very really hill, blindfolded"
15,BREAK
16,Soul Fire,Tom Tom Club,tom-tom-club,The Good The Bad And The Funky,2:31,Originally from the Upsetters
17,Salmon,Applied Communications,applied-communications,"Africa Baby, Yeah, Yeah, Yeah",3:47,A tale of cross-species romance
18,So We Won't Forget (Mang Dynasty Version),Khruangbin,khruangbin,Mordechai Remixes,6:32,Fit for a sunset
19,BREAK
20,One For The Other,Hearty Har,hearty-har,Radio Astro,3:45,Rolling and crushing
21,Love in Extra Innings,Swarming Branch,swarming-branch,Surreal Number,4:19,Having some baseball
22,Do What You Wanna,Ramsey Lewis,ramsey-lewis,Another Voyage (Remastered),2:43,Basement party time
23,BREAK
24,Face On The Rail Line,The Catenary Wires,catenary-wires,Birling Gap,3:55,Rain streaking on a train window
25,My Love,Mariachi El Bronx,mariachi-el-bronx,Mariachi El Bronx,3:14,Nothing like a mariachi waltz
26,La machine,The Llamps,llamps,The Llamps,3:40,French grit
27,No Culture,Mother Mother,mother-mother,No Culture,3:36,Feeling phillistine
28,BREAK
29,Crying,Pom Pom Squad,pom-pom-squad,Death of a Cheerleader,3:09,Taking a measured approach
30,"It's Alright, Baby",Komeda,komeda,What Makes It Go?,2:52,Checking it out
31,96 Tears,The Wicked Farleys,wicked-farleys,,5:19,Fuzzed out
32,Caviar,Wavves,wavves,Hideaway,3:48,Fish eggs for everyone
33,BREAK
34,Butterfly 3000,King Gizzard & The Lizard Wizard,king-gizzard-lizard-wizard,Butterfly 3000,2:51,Fluttering groove
35,Roots Train (previously unreleased dub plate mix),Junior Murvin,junior-murvin,Black Art From The Black Ark,3:58,Very the special
36,Behold a Pale Rider,Woody & Jeremy,woody-jeremy,Gravy in My Coffee,4:26,Vaguely apocalyptic
37,BREAK
38,In Again,Palberta,palberta,Palberta5000,1:37,Shattered the vase
39,Sex Bomb,Flipper,flipper,Album - Generic Flipper,5:19,The gentle sound of rain
40,Dissonance,The Scientists,scientists,Negativity,3:12,Dancing like Sprockets
41,BREAK
42,Guilty as Charged,Moderator,moderator,Midnight Madness,3:01,Some strange mixture
43,Printer-Painter,Coyle & Sharpe,coyle-sharpe,Words & Pranks,2:18,It's all confused
44,B for Boredoms,Boredoms,boredoms,,2:44,Spelling it out
45,The Bar Is Too Low To Fail,Boat,boat,Songs You Might Not Like,3:35,A convenient situation
46,BREAK
47,Farmer John,Los Lobos,los-lobos,Native Sons,2:30,Boogie down deep
48,Chokecherry,Pony,pony,TV Baby,2:45,Bitterness abounds
49,Break My Body,Pixies,pixies,Surfer Rosa (Remastered),2:06,Compound fractures
50,BREAK
51,You Can't Fight Corruption with Corruption,Femi Kuti,femi-kuti,Stop the Hate,5:20,Femi should know
52,Desert Storm,Afrodesia,afrodesia,Afrodesia – Episode One - EP,6:27,Don’t stray from the caravan
53,Gipsy Threat,Ratatat,ratatat,LP3,1:38,It's a short threat
54,5-9-78,Boards of Canada,boards-of-canada,,4:10,Heavenly thrumming
55,BREAK
56,Black Lipstick,Audiobooks,audiobooks,Astro Tough,6:15,Very goth
