sequence,song,artist,artist_slug,album,time,notes
1,Radio Man '56,Hearty Har,hearty-har,Radio Astro,4:00,Swirls and paisleys
2,Midnight '69,Zoobombs,zoobombs,,3:08,With the big engine
3,Apocalyspo,The Routes,routes,Instrumentals II,3:08,A tequila-based concoction
4,I Can't Get Out,Ugly Sounds,ugly-sounds,You Didn't Think We Could Take It  (Subsonics Tribute - Vol 2),2:00,Some form of incarceration
5,BREAK
6,Burned,Blood Lemon,blood-lemon,Blood Lemon,4:40,The power of rock
7,Caught By The Fuzz,Supergrass,supergrass,I Should Coco,2:17,For being up to the usual
8,Dirty Barnyard,TLO,tlo,,,
9,If I Had A Reason,OCS,ocs,"Songs About Death and Dying, Vol. 3 / Get Stoved, Vol. 4",3:21,A transmission from the deep psyche
10,BREAK
11,Massive,Cory Wong,cory-wong,The Striped Album,3:55,With the Satch
12,Seven,Pomplamoose,pomplamoose,Invisible People,3:13,Keeping it steady
13,Mysterious Frequencies,Tommy Guerrero,tommy-guerrero,Sunshine Radio,2:09,Bring plenty of water
14,Shimmy Sonic 'Robot',Soulico,soulico,,1:19,Strange vibes
15,French Rat Race,The Double Six Of Paris,double-six-of-paris,,2:37,Quelle excitement!
16,BREAK
17,Fried,King Gizzard & The Lizard Wizard,king-gizzard-lizard-wizard,Teenage Gizzard,3:10,Primitive howls
18,Come Alive,Peggen,peggen,,3:39,Sounding somewhat feline
19,Undersided,Ui,ui,,4:16,Too subtle for words
20,Mongoloid,Devo,devo,,3:44,They live among us
21,BREAK
22,What You See,Here Lies Man,here-lies-man,Ritual Divination,3:47,Heavy roots
23,Maddaddy,Pepe Deluxe,pepe-deluxe,Super Sound,2:09,Finnish madmen
24,Vitamins,TLO,tlo,,,
25,Lady with the Braid,Tindersticks,tindersticks,Distractions,6:59,In a dubby mood
26,Enter The Heretic,Badawi,badawi,,4:03,Martial arts dub
27,BREAK
28,Smokestack,Round Eye,round-eye,Culture Shock Treatment,1:43,Harsh Shanghai spice
29,Wrong,Archers Of Loaf,archers-of-loaf,Icky Mettle,3:43,Howling in the high register
30,"C-30, C-60, C-90, Go",Bow Wow Wow,bow-wow-wow,Your Box Set Pet: The Complete Recordings 1980-1984,3:03,Home taping sure killed music
31,Garden,Dinosaur Jr.,dinosaur-jr,Sweep It Into Space,3:03,Grizzled mellow
32,BREAK
33,Cosmosis,Tony Allen,tony-allen,There Is No End,4:45,How things break
34,Power Of Funk,Five Alarm Funk,five-alarm-funk,Sweat,3:01,No mistaking it
35,Living in a Box,Cilantro Boombox,cilantro-boombox,Shine,4:54,Or a screen
36,BREAK
37,Keel Timing,Manchester Orchestra,manchester-orchestra,The Million Masks Of God,4:18,Syncopation to there and back
38,Klezmer Ivanyeh,Pakava It,pakava-it,Shtetl Superstars,2:02,Balkan twostep
39,Move Your MP3,Le Hammond Inferno,le-hammond-inferno,My First Political Dance Album,5:40,Bomb all these and destroy them
40,Do Yourself Some Good (Rōnin Throwdown),UNKLE,unkle,Rōnin I,8:11,Mufflebass and cowbell
41,BREAK
42,Bantha Dreams,Tusken Raiders,tusken-raiders,Bantha Trax Vol. 3,5:12,Appropriate Star Wars references
