sequence,song,artist,artist_slug,album,time,notes
1,Sauce Piquante,April March,april-march,Palladium,3:07,Spicy!
2,"Gimme, Gimme, Gimme",Ben Vaughn Combo,ben-vaughn-combo,,2:27,In triplicate
3,The Burn That Is On Me,Rebar,rebar,Rebar,3:30,Can’t walk it straight
4,Nightmare of a Woman,Deke Dickerson & The Eccofonics,deke-dickerson-eccofonics,More Million Sellers,2:51,Featuring guitar pyrotechnics from Billy Zoom
5,BREAK
6,Magaman,Round Eye,round-eye,Culture Shock Treatment,0:49,Get to the point
7,Watercooler,TLO,tlo,,,
8,At Home He's A Tourist,Gang Of Four,gang-of-four,77-81: Entertainment!,3:31,Shattered
9,Mesmerised,The Routes,routes,Mesmerised,3:01,Possibly also hipmotized
10,BREAK
11,Bruise,Blood Lemon,blood-lemon,Blood Lemon,4:01,Straight outta Boise
12,Dinosaur,Manchester Orchestra,manchester-orchestra,The Million Masks Of God,3:27,Builds up
13,Fanzine Ynfytyn,Datblygu,datblygu,Wyau,2:37,Wales all the way down
14,Never Say Never,Romeo Void,romeo-void,The Wolf of Wall Street,5:53,Never gets old
15,BREAK
16,Mr. Prism,Psychedelic Porn Crumpets,psychedelic-porn-crumpets,SHYGA! The Sunlight Mound,03:55,Running with chainsaws
17,Minimum Brain Size,King Gizzard And The Lizard Wizard,king-gizzard-lizard-wizard,K.G.,04:19,Snake dance
18,Who Is Moving,Lilys,lilys,Better Can't Make Your Life Better,03:02,Bludgeoned by paisley
19,20th Century Boy,T.Rex,t-rex,,03:38,Yet to be overtaken
20,BREAK
21,Medicine Head,The Deathray Davies,deathray-davies,Time Well Wasted,3:04,Taking a pill
22,Elegy For An Ex-,LD & The New Criticism,ld-new-criticism,Tragic Realism,1:50,Not too bitter
23,Pelican,TLO,tlo,,,
24,Hands All Over,Soundgarden,soundgarden,Louder Than Love,6:00,Start with an unholy holler
25,Big Dog,Funkmammoth,funkmammoth,Thanks!,3:05,Gentle rhythms
26,BREAK
27,Omaha,Kiwi jr.,kiwi-jr,Cooler Returns,2:34,Don’t blow your plainclothes cover
28,La Balada de la Aspirina,Mexican Institute of Sound,mexican-institute-of-sound,Distrito Federal,3:14,Cumbia de la jaquequa
29,Small Talk,Sly & the Family Stone,sly-family-stone,The Kings Of Funk (Compiled by RZA and Keb Darge),3:18,Babyfooting
30,It Won't Be Long,Tele Novella,tele-novella,Merlynn Belle,2:36,"Charming and old-fashioned, kinda"
31,BREAK
32,Wake Up (In Rotation),Spirit of the Beehive,spirit-of-beehive,"Entertainment, Death",2:57,Spinning through the dial
33,Parallel Universe,Hypnolovewheel,hypnolovewheel,Space Mountain,2:34,Super underrated
34,Swamp Thing,The Chameleons UK,chameleons-uk,Strange Times,5:57,Iconic
35,Airplane,The Districts,districts,Popular Manipulations,3:43,A modern take
36,BREAK
37,Intense Judgment,Ratboys,ratboys,"Happy Birthday, Ratboy",5:04,Arresting sounds
38,123,Girlpool,girlpool,Powerplant,2:50,Count it in
39,Ringside,Julien Baker,julien-baker,Little Oblivions,4:01,Sparse but lethal
40,Zaharila (feat. Piya Malik),El Michels Affair,el-michels-affair,Yeti Season,3:41,Foreign spy film theme
41,BREAK
42,Time (Time),Lightning Orchestra,lightning-orchestra,Source and Deliver,11:36,Make time for afrofunk
