sequence,song,artist,artist_slug,album,time,notes
1,Doctor My Eyes,Ben Folds,ben-folds,,3:11,Pick your Jackson!
2,BREAK
3,Touch Me I'm Sick,Mudhoney,mudhoney,Kurt Cobain About A Son,2:30,The original
4,Superpill,The Forty-Fives,forty-fives,High Life High Volume,3:03,Need them to keep up
5,Fever,The Black Keys,black-keys,Turn Blue,3:35,The hottening
6,Too Sick To Tango,Arlo,arlo,Stab The Unstoppable Hero,3:45,Mega power pop
7,BREAK
8,Call Me Doctor,The Glands,glands,Double Thriller,1:03,A brief dizzy spell
9,Fever For You,Michael Holland,michael-holland,Booglegger’s Dreams,3:02,Succumbing to romantic illness
10,Health Food Store,White Hassle,white-hassle,The Death of Song,3:33,Bell ringing as I open the door
11,BREAK
12,Love Sick,Mariachi El Bronx,mariachi-el-bronx,Chimes of Freedom,3:42,Originally from Bob Dylan
13,Medicine Man (feat. Ella Thompson),The Bamboos,bamboos,I Never,3:08,He’s got your number
14,Pills,The Frank Znort Quartet,frank-znort-quartet,Perler Fra Svin,2:30,That rock and roll nurse
15,BREAK
16,Sleeping Pill,Luna,luna,,5:52,Like a sonic Ambien
17,Fever [Adam Freeland Remix],Sarah Vaughan,sarah-vaughan,Verve Remixed 3,4:38,Quite an update
18,Dr. Octagon,Dr. Octagon,dr-octagon,Dr. Octagonecologyst,4:38,He’s out of network
19,Ambulance,Simian Mobile Disco,simian-mobile-disco,Temporary Pleasure,5:43,Taking us out
20,BREAK
21,TV Dinner,The Mommyheads,mommyheads,Age of Isolation,3:56,Almost ready to eat
22,Paper Kitten Nightmare,Margot & The Nuclear So And So's,margot-nuclear-so-so-s,The Dust of Retreat,3:33,Meow meow
23,Pull The Curtains,Grandaddy,grandaddy,Excerpts from the Diary of Todd Zilla,3:00,"Go get ‘em, Todd"
24,Always On My Mind,The Catenary Wires,catenary-wires,Birling Gap,2:55,Feeling mighty Kinky
25,BREAK
26,Calling You Out,Hearty Har,hearty-har,Radio Astro,2:35,In a sly mood
27,Yo Te Vi (The Beat) (feat. Draco Rosa),Elvis Costello & The Attractions,elvis-costello-attractions,Spanish Model,3:47,Aqui estamos
28,Tin Spam (Bokkle Mix),Stubborn Allstars,stubborn-allstars,"Roots, Branch and Stem: Living Tradition in Ska",3:28,The bokkle makes it
29,Message To You Rudy,The Specials,specials,The Specials,2:53,Never gets old
30,BREAK
31,Rock Me Baby,The Shivas,shivas,Feels So Good / Feels So Bad,3:16,Warm and gooey
32,Good Guys + Bad Guys,Camper Van Beethoven,camper-van-beethoven,Camper Van Beethoven,3:56,Simple and effective
33,Capturing Moods,Rilo Kiley,rilo-kiley,The Execution of All Things,3:35,With a maritime feel
34,I Feel It All,Feist,feist,The Reminder,3:39,Familiar chimes
35,BREAK
36,Thru Hell,Wavves,wavves,Hideaway,2:45,Heavy surf
37,High Society,Enon,enon,High Society,3:13,Quite snooty
38,Daylight Matters,black midi,black-midi,Covercade,4:12,Originally from Cate Le Bon
39,BREAK
40,I Must Go,The Llamps,llamps,The Llamps,2:31,A French gallop
41,Cupido Stupido,Erin McKeown,erin-mckeown,Kiss Off Kiss,2:47,Muy stupido
42,Vibrate,Drug Store Romeos,drug-store-romeos,The world within our bedrooms,2:35,Slow menace
43,Creme Brulee,Shrimp Boat,shrimp-boat,,3:59,Doleful sounds
44,BREAK
45,Lux,Pom Pom Squad,pom-pom-squad,Death of a Cheerleader,1:40,Harsh blaster
46,At the Lake,Meat Wave,meat-wave,The Incessant,1:14,Jabs of guitar
47,Now You Know,Blithe,blithe,Verse Chorus Verse,3:25,Noted
48,Mind Of Its Own,The Safes,safes,Tasty Waves,1:59,Fun times
49,BREAK
50,You Don't Love Me Yet,Bongwater,bongwater,Box of Bongwater,5:14,Originally from Roky Erickson
51,8 Piece Box,Southern Culture On The Skids,southern-culture-on-skids,Dirt Track Date,4:02,Goin’ all nite
52,He's Cass McCombs,Woody and Jeremy,woody-jeremy,Gravy In My Coffee,1:55,An imposing figure
53,Learnin' To Love,Ween,ween,La Cucaracha,2:24,Important lessons
54,BREAK
55,Thoughtforms (Version 1),Lush,lush,Gala (Chorus Version),2:45,A jangled waltz
56,The Devil Went Down To Silverlake,MC Honky,mc-honky,I Am the Messiah,3:28,Unholy racket
57,Toys,Amon Tobin,amon-tobin,Permutation,5:17,Subdued strolling
58,BREAK
59,Space Oddity,Atom™,atom,This Is Lounge,6:36,Originally from David Bowie
