sequence,song,artist,artist_slug,album,time,notes
1,Alpine,The Catenary Wires,catenary-wires,Birling Gap,03:50,Quite heavenly
2,Elevator,Drug Store Romeos,drug-store-romeos,The world within our bedrooms,03:45,Going up
3,Scream and Shout!,Hearty Har,hearty-har,Radio Astro,03:33,Mysterious carnival music
4,Bad Lucky Street,Young Antiques,young-antiques,Wardrobe for a Jet Weekend,02:38,Not the desired route
5,BREAK
6,Sophisticated Boom Boom,Knoxville Girls,knoxville-girls,In A Ripped Dress,02:17,Truth
7,The Rabbit,Bishop Allen,bishop-allen,,03:19,"Kid, you’re no good in a fight"
8,Basket Ball Get Your Groove Back,Deerhoof,deerhoof,,02:36,3-pointers all night
9,The World's At Fault,The Routes,routes,Mesmerised,02:51,All out attack
10,BREAK
11,Prioritise-moi,Pomplamoose,pomplamoose,Invisible People,03:41,Number one!
12,8 Ball,Waxahatchee,waxahatchee,Out In The Storm,02:49,Deeper cut
13,Newsletter,TLO,tlo,,,
14,Closing In,Goat Girl,goat-girl,On All Fours,03:36,Morning disco
15,BREAK
16,S K A D R E A M,Jeff Rosenstock,jeff-rosenstock,SKA DREAM,03:11,It’s the 90s all over again
17,"Hamfisted, Chromatic",Steward,steward,Goodbye to Everything You Love,03:47,Whiplash moods
18,"Bye, Bye Baby",Janis Joplin,janis-joplin,Big Brother & the Holding Company,02:41,A lovely kiss-off
19,Endless Sleep,Round Eye,round-eye,Culture Shock Treatment,04:01,Anguished men
20,BREAK
21,Closed Captioning,Islands,islands,Islomania,03:46,A wistful introspective disco
22,Shape Of Your Heart,Matthew Squires,matthew-squires,Tambaleo,02:56,Good Daniel Johnston vibe
23,So Far Away,Dire Straits,dire-straits,Brothers In Arms,05:12,Never gets old
24,Mala Vida,Gogol Bordello,gogol-bordello,East Infection - EP,03:08,Originally from Mano Negra
25,BREAK
26,It's So Hard,Sue Garner,sue-garner,Still,01:54,Take a breather
27,Theme From Ernest Borgnine,Squarepusher,squarepusher,Theme From Ernest Borgnine,07:56,Or is it Borg 9?
28,Fresca,TLO,tlo,,,
29,Dairy Queen (DJ Donger Jazzy Mix),The Sucka MCs,sucka-mcs,Da Album,03:21,Dinner and a movie
30,BREAK
31,Sick of Spiraling,Bachelor,bachelor,Doomin' Sun,04:28,Drive slowly
32,Despertador,Mariachi El Bronx,mariachi-el-bronx,Mariachi El Bronx,03:12,Wake up waltz
33,Paprika,Japanese Breakfast,japanese-breakfast,Jubilee,03:40,Your favorite spice
34,No Hard Feelings,Wolf Alice,wolf-alice,Blue Weekend,02:35,Highly dynamic
35,BREAK
36,Safe,The Scientists,scientists,Negativity,04:15,Clap along
37,(Wascha Raj),Cato Salsa Experience,cato-salsa-experience,Cato Salsa Experience No. 3,00:51,An interlude
38,Strike One,Brut Boogaloo,brut-boogaloo,When the Dog Takes Over,03:03,Brutish
39,Let Me Smoke My Pipe,Mr B The Gentleman Rhymer,mr-b-gentleman-rhymer,,02:12,Permission requested
40,BREAK
41,Sleep Deprivation,Simian Mobile Disco,simian-mobile-disco,Attack Sustain Decay Release,04:59,For a late night
