sequence,song,artist,artist_slug,album,time,notes
1,Hideaway,Wavves,wavves,Hideaway,03:58,Rattle some bars
2,Angst In My Pants,Sparks,sparks,Angst in My Pants,03:33,From the Valley Girl soundtrack
3,Caspian Can Wait,The Velvet Teen,velvet-teen,Out of the Fierce Parade,02:56,Surging and maritime
4,This Song Is Not About You,Get Set Go,get-set-go,"Sunshine, Joy + Happiness: a Tragic Tale of Death, Despair and Other Silly Nonsense",03:43,A sweet and lovely tune
5,BREAK
6,Babannod Beichiog Nawr,Datblygu,datblygu,Wyau,02:05,It makes sense
7,Newsletter - Bus,TLO,tlo,,,
8,Forrowest,Forro In The Dark,forro-in-dark,Bonfires of São João,04:44,Easy hooting
9,Sha Na Na (feat. The Shacks),El Michels Affair,el-michels-affair,Yeti Season,03:32,The end of the night
10,BREAK
11,Not When You're in Love,Field Music,field-music,Flat White Moon,03:41,In a complicated style
12,Red,Nanuchka,nanuchka,A Carefully Planned Accident,03:03,No brakes! No brakes!
13,Wastepaper Basket Fire,Brian Dewan,brian-dewan,Tells the Story,02:58,Do not attempt to save expensive pieces of equipment
14,E.T Gnome,Ghoulies,ghoulies,Reprogram,01:16,Scarred for life
15,BREAK
16,The Kiss of Venus,Dominic Fike and Paul McCartney,dominic-fike-paul-mccartney,McCartney III Imagined,02:24,A grandiose take worthy of Macca
17,Sugar Blaster,The Starlight Mints,starlight-mints,,03:06,Who’s all messed up?
18,Bang The Drum,Railroad Jerk,railroad-jerk,,02:46,Cranked up discourse
19,No One Gives a Damn About Your Band,Mommyheads,mommyheads,Vulnerable Boy,03:22,Mostly true
20,BREAK
21,Chaise Longue,Wet Leg,wet-leg,Chaise Longue,03:17,Excuse me? What.
22,Ride On Time,The Bamboos,bamboos,Hard Up,04:17,Set blasters on FUNK
23,Canterbury Lanes,The Catenary Wires,catenary-wires,Birling Gap,02:54,A good dose of twee
24,Walking Talking Marathon,Drug Store Romeos,drug-store-romeos,The world within our bedrooms,03:32,Hypnotic chord cycles
25,BREAK
26,Stay in the Car,Bachelor,bachelor,Doomin' Sun,02:45,Strong Santiago warble
27,Cookie Scene,The Go! Team,go-team,Get Up Sequences Part One,02:40,It’s a super bounce
28,All-Nite Dinah,Chris Murray,chris-murray,The 4-Track Adventures of Venice Shoreline Chris,03:53,Easy skanking
29,BREAK
30,Birdhouse In Your Soul,They Might Be Giants,they-might-be-giants,Flood,03:21,Who watches over you?
31,Wherever It Takes Us,James,james,All The Colours Of You,05:06,Triumphant return
32,Box Step,TLO,tlo,,,
33,Boilermaker,Royal Blood,royal-blood,Typhoons,03:30,Monster riffage
34,BREAK
35,Cheater,Pom Poko,pom-poko,Cheater,03:47,Sweet and sour
36,Sean Delear,Kid Congo & The Pink Monkey Birds,kid-congo-pink-monkey-birds,Swing from the Sean Delear,04:13,Still up to tricks
37,Never Seen a Girl Like Me,Shitkid,shitkid,Fish,03:50,A message from the dreamspace
38,Honey,King Gizzard And The Lizard Wizard,king-gizzard-lizard-wizard,K.G.,04:34,Flowing freely
39,BREAK
40,Bad Actor,Mister Ott,mister-ott,In The Flow,09:37,Funk out
