sequence,song,artist,artist_slug,album,time,notes
1,I Must Go,The Llamps,llamps,The Llamps,02:31,A French gallop
2,Cupido Stupido,Erin McKeown,erin-mckeown,KISS OFF KISS,02:47,Muy stupido
3,Vibrate,Drug Store Romeos,drug-store-romeos,The world within our bedrooms,02:35,Slow menace
4,Creme Brulee,Shrimp Boat,shrimp-boat,,03:59,Doleful sounds
5,BREAK
6,Bolts,The Rare Occasions,rare-occasions,Big Whoop,02:24,Bop it like mad
7,Play The Greatest Hits,Wolf Alice,wolf-alice,Blue Weekend,02:28,Frantic illuminati
8,(We Like To) Do It with the Lights On,Islands,islands,Islomania,03:45,Welcome to the disco tiki
9,Newsletter - Gal Costa,TLO,tlo,,,
10,Make Worry for Me,Matt Sweeney & Bonnie 'Prince' Billy,matt-sweeney-bonnie-prince-billy,Superwolves,03:59,In a dark mood
11,BREAK
12,Margaret Middle School,Guided By Voices,guided-by-voices,Earth Man Blues,01:10,Fragments of memory
13,Nice Day,His Name Is Alive,his-name-is-alive,Nice Day - EP,01:51,Open the windows
14,Bat Macumba,Os Mutantes,os-mutantes,Os Mutantes,03:09,Sounding it out
15,Te Manu Pukarua,Poi Dog Pondering,poi-dog-pondering,Volo Volo,02:06,Get yourself to the islands
16,BREAK
17,Back To Hell,Zero Zero,zero-zero,A.M. Gold,02:50,At least it’s a scenic drive
18,Static Shape,Chad VanGaalen,chad-vangaalen,Light Information,04:10,Woozy loops
19,Somersault,Royal Canoe,royal-canoe,Something Got Lost Between Here and the Orbit,04:08,Flipping out
20,Film 2,Grauzone,grauzone,Grauzone,03:13,Marching forth
21,BREAK
22,Farmer John,Los Lobos,los-lobos,Native Sons,02:30,Boogie down deep
23,Chokecherry,Pony,pony,TV Baby,02:45,Bitterness abounds
24,Break My Body,Pixies,pixies,Surfer Rosa (Remastered),02:06,Compound fractures
25,BREAK
26,Love Strike,Shannon & the Clams,shannon-clams,Onion,02:48,Pulse bomb
27,Ride It On,Mazzy Star,mazzy-star,She Hangs Brightly,03:00,A rare treat!
28,Surgery,TLO,tlo,,,
29,I-76,G. Love & Special Sauce,g-love-special-sauce,"Yeah, It's That Easy",03:49,Scratching all the way to Philly
30,BREAK
31,Soul Fire,Tom Tom Club,tom-tom-club,The Good The Bad And The Funky,02:31,Originally from the Upsetters
32,Salmon,Applied Communications,applied-communications,"Africa Baby, Yeah, Yeah, Yeah",03:47,A tale of cross-species romance
33,So We Won't Forget (Mang Dynasty Version),Khruangbin,khruangbin,Mordechai Remixes,06:32,Fit for a sunset
34,BREAK
35,You Can't Fight Corruption with Corruption,Femi Kuti,femi-kuti,Stop the Hate,05:20,Femi should know
36,Desert Storm,Afrodesia,afrodesia,Afrodesia – Episode One - EP,06:27,Don’t stray from the caravan
37,Gipsy Threat,Ratatat,ratatat,LP3,01:38,It's a short threat
38,5-9-78,Boards of Canada,boards-of-canada,,04:10,Heavenly thrumming
39,BREAK
40,The War Clock,Andres Renteria,andres-renteria,Moon-Drenched,12:53,Counting the minutes
