sequence,song,artist,artist_slug,album,time,notes
1,I Can't Stand The Rain,Clinic,clinic,Fantasy Island,2:33,Originally from Ann Peebles
2,BREAK
3,You and Me,Goodbye Honolulu,goodbye-honolulu,Goodbye Honolulu,2:25,That makes two
4,Happiness Is All The Rage,The Promise Ring,promise-ring,Very Emergency,2:55,Get your feelings synchronized
5,Get It 'Fore It’s Gone,Pokey Lafarge,pokey-lafarge,In the Blossom of their Shade,3:35,But no cutting in line
6,Getting By,The Rentals,rentals,Getting By,2:52,When you need BIG SYNTHS
7,BREAK
8,Yoni B (Versión 2021),El Mató a un Policía Motorizado,el-mato-a-un-policia-motorizado,Unas Vacaciones Raras,3:03,Redone and reclaimed
9,Leave!,VV Brown,vv-brown,,3:48,Just go
10,Gotta Be Movin’,The Record Company,record-company,Play Loud,3:36,Swaggering time
11,What He Said,Ultrababyfat,ultrababyfat,Silver Tones Smile,3:43,Southern sounds
12,BREAK
13,Love Love Love,My Morning Jacket,my-morning-jacket,My Morning Jacket,3:42,Huge fountains of sound
14,Buena,Morphine,morphine,Cure For Pain,3:20,I hear a voice
15,Life on Mars?,Keren Ann,keren-ann,We Were so Turned On: A Tribute to David Bowie,3:49,Originally from David Bowie
16,BREAK
17,Still Life,Absolutely Free,absolutely-free,Aftertouch,5:48,It moves quickly
18,U & ME (Spike Stent Radio Mix),Alt-J,alt-j,,3:16,Featuring that wooze
19,Scream,Lindsey Buckingham,lindsey-buckingham,Lindsey Buckingham,2:12,That Buckingham vibe
20,BREAK
21,Big Fat Woodpecker,Pepe Deluxe,pepe-deluxe,Phantom Cabinet Vol. 1,3:07,Careening and carousing
22,Doublewide,Galactic,galactic,Late for the Future,4:54,Make mine a doublehigh
23,The Mixtape,Lizard Music,lizard-music,Arizone!,2:09,They keep coming!
24,BREAK
25,Toasting (feat. Alex Menne),illuminati hotties,illuminati-hotties,Let Me Do One More,0:37,Too brief to note
26,Mood To Burn Bridges,Neko Case,neko-case,Furnace Room Lullaby,2:54,Do not cross this woman
27,Birds Of Prey,The Pinetops,pinetops,Above Ground And Vertical,3:57,American ballad
28,To Me,Chet Faker,chet-faker,Built On Glass,5:15,Bass droning
29,BREAK
30,If Not For You (2020 Mix),George Harrison,george-harrison,All Things Must Pass [2021 Super Deluxe],3:31,With that Harrison slide
31,Throw The Wine,Swell,swell,Throw The Wine,4:55,When spilling isn’t enough
32,"Kiss Me, Son Of God",They Might Be Giants,they-might-be-giants,Lincoln,1:54,Overcome your shyness!
33,Good Morning Boyfriend,Tulip Sweet and Her Trail of Tears,tulip-sweet-her-trail-of-tears,,3:11,All about insect love
34,BREAK
35,This Is the Day (Live),The The,"",The Comeback Special,4:17,It has all the feels
36,Divine Comedy,Deerhoof,deerhoof,"Actually, You Can",5:17,Mosh with Dante
37,The Model,Seu Jorge And Almaz,seu-jorge-almaz,Seu Jorge and Almaz,3:09,An even more laconic rendition
38,Pickin' The Chicken,Speedy West + Jimmy Bryant,speedy-west-jimmy-bryant,,2:16,Try keep up
39,BREAK
40,Gloria Love,Bad Bad Hats,bad-bad-hats,Walkman,2:53,Sunny day strolling
41,Field Notes from a College Town,Darrin Bradbury,darrin-bradbury,Artvertisement,2:07,No lies detected
42,100 Games Of Solitaire,Concrete Blonde,concrete-blonde,Still In Hollywood,3:37,How to kill time
43,BREAK
44,Rhythm Is Our Business,Snapped Ankles,snapped-ankles,Forest Of Your Problems,4:28,And business is good
45,Walking On Your Hands,Red Lorry Yellow Lorry,red-lorry-yellow-lorry,The Very Best Of Red Lorry Yellow Lorry,2:38,Those people
46,I Am Who I Think You Think I Am,Liily,liily,TV or Not TV,3:38,Don’t make eye contact
47,Slow Train Coming,Low Frequency In Stereo,low-frequency-in-stereo,Travelling Ants Who Got Eaten By Moskus,4:04,Building up and beyond
48,BREAK
49,Gratitude,Naytronix,naytronix,Other Possibilities,1:15,A neat introduction
50,Nuh Fi Run It Down,Danny Clarke / Lee Perry,danny-clarke-lee-perry,Black Art From The Black Ark,3:45,The root of all evil
51,Ring the Alarm,Tenor Saw,tenor-saw,Tougher Than Tough: The Story Of Jamaican Music,3:14,Another sound is dying
52,BREAK
53,Wikid Satellites (feat. Greentea Peng),Nightmares On Wax,nightmares-on-wax,Shout Out! To Freedom...,4:14,A new nightmare begins
54,Gary Super Macho (Single Edit),Sukia,sukia,,3:07,Hazy recollections
55,Drone 2,Film School,film-school,We Weren't Here,5:17,Eating up the miles
56,BREAK
57,Duppy Conqueror,David Hillyard and the Rocksteady 7,david-hillyard-rocksteady-7,,7:57,Spirit of the islands
