sequence,song,artist,artist_slug,album,time,notes
1,My Old Bassist,Woody and Jeremy,woody-jeremy,Gravy in My Coffee,2:50,Every band has one
2,Love Special Delivery,Los Lobos,los-lobos,Native Sons,2:23,More LA stuff
3,Club Mekon,The Mekons,mekons,,3:29,The hot spot
4,BREAK
5,Scratchcard Lanyard,Dry Cleaning,dry-cleaning,New Long Leg,04:07,Disaffected affectation
6,Shanghai,King Gizzard & The Lizard Wizard,king-gizzard-lizard-wizard,Butterfly 3000,04:01,Wander through the Chinese scale
7,Gal Costa,TLO,tlo,,,
8,Goldregen (n.o.h.a. Mix),!Dela Dap,dela-dap,,03:39,Opa
9,BREAK
10,Bossandfunk  (7 Inch Version),Atom™,atom,This Is Pop,03:23,It delivers
11,Ping Island/Lightning Strike Rescue Op,Mark Mothersbaugh,mark-mothersbaugh,,04:16,Seeking Steve Zissou
12,M.F.P.D.A.,Mexican Institute of Sound,mexican-institute-of-sound,,03:15,Bomb all these and destroy them
13,I Got This Down,Simian Mobile Disco,simian-mobile-disco,,04:09,Getting the hang of it
14,BREAK
15,Sun King,Certain Animals,certain-animals,Singles 2021-H,04:12,Underground music
16,Monomaniac,The Gravel Pit,gravel-pit,Serpent Umbrella,04:14,You had me at the whistling
17,Two Characters in Search of a Country Song,Country Westerns,country-westerns,Country Westerns,03:25,Dry and dusty
18,James Jesus Angleton,Ghost of Vroom,ghost-of-vroom,Ghost of Vroom 1,04:03,History of spooks
19,BREAK
20,Calling You Out,Hearty Har,hearty-har,Radio Astro,02:35,In a sly mood
21,Yo Te Vi (The Beat) (feat. Draco Rosa),Elvis Costello & The Attractions,elvis-costello-attractions,Spanish Model,03:47,Aqui estamos
22,Tin Spam (Bokkle Mix),Stubborn Allstars,stubborn-allstars,,03:28,The bokkle makes it
23,Message To You Rudy,The Specials,specials,,02:53,Never gets old
24,BREAK
25,You Version,The Bug,bug,Blue Versions,03:59,Dark undercurrents
26,Using What You Got,Flying Lotus,flying-lotus,Yasuke,01:05,A fragmented approach
27,That's What I Get,Nine Inch Nails,nine-inch-nails,Pretty Hate Machine,04:31,Inevitable rewards
28,BREAK
29,Key,Ratboys,ratboys,"Happy Birthday, Ratboy",03:37,Not the usual garbage
30,Full Blast,Hands Down Eugene,hands-down-eugene,Madison,03:37,A big extended sprawl
31,Had a Dream,Juliana Hatfield,juliana-hatfield,Blood,02:57,Daring experiments
32,Green Sauce,TLO,tlo,,,
33,Funny Steps,Gerben Rienk Visser + Bob Van Houten,gerben-rienk-visser-bob-van-houten,Skaguitar,03:56,Dutch treat
34,BREAK
35,Glimpses,Sleaford Mods,sleaford-mods,Spare Ribs,02:43,Channeling Mark E. Smith
36,Police And Thieves,Junior Mervin,junior-mervin,,03:55,Always the right vibe
37,Tenement Yard,Jacob Miller,jacob-miller,Tougher Than Tough: The Story Of Jamaican Music,02:37,Slice of life
38,Bubblehouse,"Medeski, Martin + Wood",medeski-martin-wood,,04:30,Definitely my house
39,Frontline Santiago (feat. Ana Tijoux),Asian Dub Foundation,asian-dub-foundation,Access Denied,03:40,Multiculti
40,BREAK
41,Pyrocene,Genghis Tron,genghis-tron,Dream Weapon,06:14,Waves of concordance
