sequence,song,artist,artist_slug,album,time,notes
1,She's My Best Friend,The Wedding Present,wedding-present,Heaven + Hell,2:50,Originally from the Velvet Underground
2,BREAK
3,Outside the Outside,Helado Negro,helado-negro,Far In,5:12,Hurry before it melts
4,Karate Kid 2,Mexican Institute of Sound,mexican-institute-of-sound,Soy Sauce,3:35,A fairly comprehensive retelling
5,"Tyger Boy, Rocket Boy",Pepe Deluxe,pepe-deluxe,Phantom Cabinet Vol. 1,6:52,Epic sonic odyssey
6,BREAK
7,Vienen Bajando (Versión 2021),El Mató a un Policía Motorizado,el-mato-a-un-policia-motorizado,Unas Vacaciones Raras,3:56,All about the unruly crowds
8,Hammering The Cramps,Sparklehorse,sparklehorse,Vivadixiesubmarinetransmissionplot,2:49,Can you fly?
9,Leave Your Love Behind,Goodbye Honolulu,goodbye-honolulu,Goodbye Honolulu,3:27,Can’t get any looser
10,BREAK
11,Disappearing,Low,low,HEY WHAT,3:32,Headphones ftw
12,Into The White,Pixies,pixies,Into The White,4:40,The biggest beat
13,Sugar Lump Lump,Drink Me,drink-me,Sugar Lump Lump,2:59,The whiskey is water and I am a duck
14,BREAK
15,Please Come Over,Parker Longbough,parker-longbough,Off Front Street,5:24,A quick visit
16,Ecru,Ken Nordine,ken-nordine,Colors,1:40,Stupid beige
17,Neon Beanbag,Stereolab,stereolab,,3:49,Sunny sidewalks and shady streets
18,BREAK
19,I Share a Rhythm,Guided By Voices,guided-by-voices,It's Not Them. It Couldn't Be Them. It Is Them!,2:02,Quite congenial
20,Them Kids,Sam Roberts,sam-roberts,Love at the End of the World,3:59,Getting younger every day
21,Lucky To Be Alive,My Morning Jacket,my-morning-jacket,My Morning Jacket,4:24,In a jolly mood
22,Teenage Kicks,The Undertones,undertones,Teenage Kicks,2:26,Original pop punk
23,BREAK
24,Mi Ideal,Pokey Lafarge,pokey-lafarge,In the Blossom of their Shade,3:46,Muy tradicional
25,Shy Kind Of Guy,Gogol Bordello,gogol-bordello,Voi-La Intruder,3:28,Your name carved in stone
26,Certainty,Big Thief,big-thief,Time Escaping,3:07,Sweetly swinging
27,BREAK
28,Undilated Lovers,Snapped Ankles,snapped-ankles,Forest Of Your Problems,3:40,Welcome shoppers!
29,Dirty Water,Low Cut Connie,low-cut-connie,Dirty Pictures (Part 1),3:24,Filthy time guaranteed
30,Plant Thief,Deerhoof,deerhoof,"Actually, You Can",3:13,How dastardly
31,Lazy Eyes and Dune,La Luz,la-luz,La Luz,4:44,A special haunting
32,BREAK
33,Muchacha de los Ojos Negros,Santiago Motorizado,santiago-motorizado,"Canciones Sobre una Casa, Cuatro Amigos y un Perro",3:59,Heartfelt ballad for the dark-eyed
34,Slight Figure of Speech,The Avett Brothers,avett-brothers,I And Love And You,2:22,Rockin’ it out
35,It's Okay,The Mommyheads,mommyheads,Bingham's Hole (Remastered),4:46,"Also, quite alright"
36,Watermelon Man,Mongo Santamaria,mongo-santamaria,,2:30,Some sounds of summer
37,BREAK
38,Walking at a Downtown Pace,Parquet Courts,parquet-courts,Sympathy for Life,4:47,That would be brisk
39,Raw Optics,Oh Sees,oh-sees,Orc,6:23,Do not stumble
40,"Deanna, Deanna",Darrin Bradbury,darrin-bradbury,Artvertisement,1:47,Always loving a howling synth line
41,BREAK
42,Going to the Party (feat. Lyrics Born),The Allergies,allergies,Promised Land,3:02,Take your time getting ready
43,Gunslinging Bird,Chuck D,chuck-d,Weird Nightmare,1:42,"Mingus, man"
44,Why,Film School,film-school,We Weren't Here,3:20,That velour feeling
45,BREAK
46,Miracle Cure,Mungo's Hi Fi,mungo-s-hi-fi,Antidote,3:55,Full of healing
47,Blackhole Dub,Painkiller,painkiller,Buried Secrets,3:29,Slowly sinking
48,Earth People,Dr. Octagon,dr-octagon,Dr. Octagonecologyst,4:58,New York to California
49,BREAK
50,0010110,Taraka,taraka,Welcome To Paradise Lost,4:58,Learn your binary
51,Ponk,Yohimbe Brothers,yohimbe-brothers,Front End Lifter,2:58,Wild gyrations
52,Party with Children,Ratatat,ratatat,,2:58,It’s high intensity
53,BREAK
54,Spiral Era (Prins Thomas Remix),Jaga Jazzist,jaga-jazzist,Pyramid Remix,11:17,Around and around
