sequence,song,artist,artist_slug,album,time,notes
1,Detroit Basketball,Bad Bad Hats,bad-bad-hats,Walkman,02:27,Are they winning?
2,My Ladies Can't Remember the Eighties,Euphone,euphone,Hashin' It Out,02:35,Good vibrations
3,Don't Ignore the Air,The Mommyheads,mommyheads,Age Of Isolation,04:38,Subtle currents
4,BREAK
5,Power Broker Blues,The Gravel Pit,gravel-pit,Serpent Umbrella,03:03,Big power
6,Stepkids In Love,Switches,switches,,03:17,Such a conundrum
7,Watercooler,TLO,tlo,,,
8,Dear M,C. Gibbs And The Cardia Bros.,c-gibbs-cardia-bros,The Pinkermen Set,04:06,Harrisonesque
9,I Dig Love (2020 Mix),George Harrison,george-harrison,All Things Must Pass [2021 Super Deluxe],04:57,Fifty years
10,BREAK
11,Rock Me Baby,The Shivas,shivas,Feels So Good / Feels So Bad,03:16,Warm and gooey
12,Good Guys + Bad Guys,Camper Van Beethoven,camper-van-beethoven,,03:56,Simple and effective
13,Capturing Moods,Rilo Kiley,rilo-kiley,,03:35,With a maritime feel
14,I Feel It All,Feist,feist,,03:39,Familiar chimes
15,BREAK
16,The Incessant,Meat Wave,meat-wave,The Incessant,04:40,Pounding on the surf
17,Black to Comm,The Schizophonics,schizophonics,Black To Comm b/w Remake Model,03:22,Hot tonight
18,Saith Arch Bach,Datblygu,datblygu,Wyau,01:49,Welsh and fascinating
19,BREAK
20,Trouble,Death By Unga Bunga,death-by-unga-bunga,Heavy Male Insecurity,02:49,More than a punchline
21,Tighten My Tie,The Like Young,like-young,So Serious,02:18,"Like, really tight"
22,Popcorn,TLO,tlo,,,
23,You're Gonna Save Me,The Nicoteens,nicoteens,,03:28,At their Big Starriest
24,BREAK
25,Broken Goods,The Routes,routes,Mesmerised,03:43,Punked out in Shanghai
26,Nosebleed,Illinois,illinois,What the Hell Do I Know?,02:46,Country fried freak show
27,Lalita,The Love Language,love-language,The Love Language,03:12,But is it Chardlingo?
28,BREAK
29,When the Morning Greets You With a Smile,Mr. Elevator & The Brain Hotel,mr-elevator-brain-hotel,When the Morning Greets You,04:49,Bring me my paisleys
30,Breathe Me In,The Moles,moles,Untune the Sky,04:32,Original Australian lo-fi
31,"If Not Now, Then When?",King Gizzard & The Lizard Wizard,king-gizzard-lizard-wizard,L.W.,03:50,The new Australian lo-fi
32,BREAK
33,Love To Love You Baby,Tom Tom Club,tom-tom-club,The Good The Bad And The Funky,04:00,Originally from Donna Summer and Giorgio Moroder
34,86 The Mayo,The Slackers,slackers,Peculiar,04:23,Sage advice
35,Happy Life,Money Mark,money-mark,,02:52,A nice jaunt
36,Wear Your Love Like Heaven,Marc Ribot's Ceramic Dog,marc-ribot-s-ceramic-dog,Hope,05:31,Deconstructed Donovan
37,BREAK
38,Slade Treacher,µ-Ziq,ziq,Scurlage,05:48,Washing your delicates
