sequence,song,artist,artist_slug,album,time,notes
1,Red Right Hand,Nell Smith & The Flaming Lips,nell-smith-flaming-lips,Where The Viaduct Looms,4:34,Originally from Nick Cave + the Bad Seeds
2,BREAK
3,Trouble with My Lover,Robert Plant & Alison Krauss,robert-plant-alison-krauss,Raise The Roof (Deluxe Edition),4:04,The power is squared
4,Turning Green,Courtney Barnett,courtney-barnett,"Things Take Time, Take Time",4:19,Eating up the miles
5,Softcore War,hollAnd,holland,,3:46,Unending resonance
6,BREAK
7,Penny For Your Thoughts,My Morning Jacket,my-morning-jacket,My Morning Jacket,4:47,Traveling in time
8,Everybody Knows,Concrete Blonde,concrete-blonde,Still In Hollywood,4:45,Just common knowledge
9,I'd Love To Change The World,Ten Years After,ten-years-after,,3:44,Has not aged at all
10,BREAK
11,Change,Big Thief,big-thief,Time Escaping,4:55,Slow and smoldering
12,It's Love,Chris Knox ,chris-knox,,2:35,"1,000% Knox energy"
13,I Won't Hesitate,La Luz,la-luz,La Luz,2:23,Holding no regrets
14,BREAK
15,Bajo las Sombras,"Santiago Motorizado, Anabella Cartolano",santiago-motorizado-anabella-cartolano,"Canciones Sobre una Casa, Cuatro Amigos y un Perro",1:46,With a Scottish bounce
16,The State That I Am In,Belle & Sebastian,belle-sebastian,,4:45,A pastoral benchmark
17,General Hugging Center,Ray Wonder,ray-wonder,,3:37,Meandering melody
18,BREAK
19,Welcome to Paradise Lost,Taraka,taraka,Welcome To Paradise Lost,3:29,Single string riffing
20,(She Sings Like) Joey Ramone,The Pulsebeats,pulsebeats,Lookin' Out,2:56,Sign her up
21,Kool Thing,Sonic Youth,sonic-youth,CMJ 500,4:06,Apathy and ignorance
22,BREAK
23,Ultraviolet Stone,Goodbye Honolulu,goodbye-honolulu,Goodbye Honolulu,4:16,Hot and heavy
24,Lipstick Vogue (feat. Morat),Elvis Costello & The Attractions,elvis-costello-attractions,Spanish Model,3:32,Muy enojado
25,Ma And Pa,Fishbone,fishbone,,3:20,Malfunctioning parental units
26,Decision At Midnight,The Toasters,toasters,,3:40,Time is running out
27,BREAK
28,Artvertisement,Darrin Bradbury,darrin-bradbury,Artvertisement,1:10,You are the product
29,Coco,Stewart Copeland,stewart-copeland,,3:56,Race you to the Gong Rock
30,Spanish Coin,Guided By Voices,guided-by-voices,It's Not Them. It Couldn't Be Them. It Is Them!,3:20,With a flamenco feel
31,It Don't Mean A Thing (If It Aint Got That Swing),Chester & Lester,chester-lester,,2:59,Aka Chet and Les
32,BREAK
33,Something Ain’t Right,Nathaniel Rateliff & The Night Sweats,nathaniel-rateliff-night-sweats,The Future,3:35,"An ambling feel, almost a mosey"
34,There Must Be a Song Like You,Helado Negro,helado-negro,Far In,4:50,Music for fading light
35,Riddled With Ticks,This Is The Kit,this-is-kit,Moonshine Freeze,3:31,Delicate pluckings
36,Jigsaw,That 1 Guy,that-1-guy,,2:57,Thumps and plucks
37,BREAK
38,New Thing,The Allergies,allergies,Promised Land,3:30,Implacable bassline
39,Green Onions,Booker T. & the MG's,booker-t-mg-s,"The Complete Stax Singles, Vol. 1 (1962-1967)",2:54,A classy excursion
40,Give It Up,Jo Bisso,jo-bisso,Africa Airways One (Funk Connection 1973-1980),4:02,African horn wails
41,BREAK
42,Armageddon Days (Are Here Again) (Live),The The,"",The Comeback Special,5:30,Not quite a ballroom blitz
43,Outside Chance (Acoustic),Melvins,melvins,Five Legged Dog,2:11,Somewhere off the timeline
44,Quiet Voices,The Dodos,dodos,Grizzly Peak,4:09,Fragments and shadows
45,The Black Angel’s Death Song,Fontaines D.C.,fontaines-d-c,I’ll Be Your Mirror: A Tribute to The Velvet Underground & Nico,3:12,Background screeching for completeness
46,BREAK
47,The Evidence,Snapped Ankles,snapped-ankles,Forest Of Your Problems,3:27,Intensely aerobic
48,White Trash Raga,The Mermen,mermen,,5:22,As heard in the trailer park
49,One World (Not Three),The Police,police,Ghost In The Machine,4:47,Count them out
50,Pulsating Dub,Mungo's Hi Fi,mungo-s-hi-fi,Antidote,5:27,Heavy cycles
51,BREAK
52,Last Chance to Dance Trance (Perhaps),"Medeski, Martin + Wood",medeski-martin-wood,,7:40,Rattling the bones
