sequence,song,artist,artist_slug,album,time,notes
1,Rhythm Is Our Business,Snapped Ankles,snapped-ankles,Forest Of Your Problems,04:28,And business is good
2,Walking On Your Hands,Red Lorry Yellow Lorry,red-lorry-yellow-lorry,The Very Best Of Red Lorry Yellow Lorry,02:38,Those people
3,I Am Who I Think You Think I Am,Liily,liily,TV or Not TV,03:38,Don’t make eye contact
4,Slow Train Coming,Low Frequency In Stereo,low-frequency-in-stereo,Travelling Ants Who Got Eaten By Moskus,04:04,Building up and beyond
5,BREAK
6,Water,The Stranglers,stranglers,Dark Matters,04:47,Towering sonic menace
7,Anatomy,TLO,tlo,,,
8,Coal Black Horses,16 Horsepower,16-horsepower,,03:51,High and lonesome
9,Motherless Children,Brian Ritchie,brian-ritchie,,04:30,What a hot combo
10,BREAK
11,Vienen Bajando (Versión 2021),El Mató a un Policía Motorizado,el-mato-a-un-policia-motorizado,Unas Vacaciones Raras,03:56,All about the unruly crowds
12,Hammering The Cramps,Sparklehorse,sparklehorse,Vivadixiesubmarinetransmissionplot,02:49,Can you fly?
13,Leave Your Love Behind,Goodbye Honolulu,goodbye-honolulu,Goodbye Honolulu,03:27,Can’t get any looser
14,BREAK
15,Goodnight My Someone,Josh Caterer,josh-caterer,The Hideout Sessions,03:26,An old-fashioned approach
16,Pest,Goat Girl,goat-girl,On All Fours,04:02,Pleasant build-up
17,Chicken Wobble,Hasil Adkins,hasil-adkins,,03:05,Original wildman
18,Cory Wong,Vulfpeck,vulfpeck,The Beautiful Game,04:07,Self-referential
19,BREAK
20,The Boy,Shannon & the Clams,shannon-clams,Onion,03:03,It’s not that old-fashioned
21,Havana,The Mabuses,mabuses,,03:43,A dark cumbia
22,Surgery,TLO,tlo,,,
23,Caterpillars,The Goon Sax,goon-sax,Mirror II,03:50,Hit the pavement
24,BREAK
25,If Not For You (2020 Mix),George Harrison,george-harrison,All Things Must Pass [2021 Super Deluxe],03:31,With that Harrison slide
26,Throw The Wine,Swell,swell,Throw The Wine,04:55,When spilling isn’t enough
27,"Kiss Me, Son Of God",They Might Be Giants,they-might-be-giants,Lincoln,01:54,Overcome your shyness!
28,Good Morning Boyfriend,Tulip Sweet and Her Trail of Tears,tulip-sweet-her-trail-of-tears,,03:11,All about insect love
29,BREAK
30,Muchacha de los Ojos Negros,Santiago Motorizado,santiago-motorizado,"Canciones Sobre una Casa, Cuatro Amigos y un Perro",03:59,Heartfelt ballad for the dark-eyed
31,Slight Figure of Speech,The Avett Brothers,avett-brothers,I And Love And You,02:22,Rockin’ it out
32,It's Okay,The Mommyheads,mommyheads,Bingham's Hole (Remastered),04:46,"Also, quite alright"
33,Watermelon Man,Mongo Santamaria,mongo-santamaria,,02:30,Some sounds of summer
34,BREAK
35,This Living Hand,Amon Tobin,amon-tobin,How Do You Live,04:21,Complicated resolutions
36,In Cold Blood,Alt-J,alt-j,Relaxer,03:27,Brush up on your binary
37,Play The Game,Beach House,beach-house,B-Sides And Rarities,04:18,Crashing distant waves
38,Centerpiece,Mary Stallings,mary-stallings,Remember Love,04:47,Just the basic ingredients
39,BREAK
40,Duppy Conqueror,David Hillyard and the Rocksteady 7,david-hillyard-rocksteady-7,,07:57,Spirit of the islands
