sequence,song,artist,artist_slug,album,time,notes
1,Picture Book,Young Fresh Fellows,young-fresh-fellows,This One's For The Ladies,2:19,Originally from the Kinks
2,BREAK
3,Your Picture,King Leg,king-leg,Meet King Leg,3:41,Ready the voodoo
4,The Postcard,Dopo Yume,dopo-yume,True Romance,3:23,Cold neon disco
5,Smile For The Camera,Datarock ,datarock,Yo Gabba Gabba Music Is Awesome! Volume 2,1:40,Show your teeth!
6,Photograph,Camper Van Beethoven,camper-van-beethoven,Camper Van Beethoven,3:14,Originally from Ringo Starr
7,BREAK
8,Pictures Of Matchstick Men,Status Quo,status-quo,Rock Hits Of The '60s,3:11,Overwhelming paisley
9,Pictures Of Lily,The Who,who,The Ultimate Collection (Disc 1),2:46,Can’t go wrong with the classics
10,Postcard,Niños Con Bombas,ninos-con-bombas,De Tiempo en el Momento de la Explosión,4:58,An explosive concoction
11,Wishing,Ito-k,ito-k,Freedom Of Choice,4:10,Originally from A Flock of Seagulls
12,BREAK
13,The Missing Person's Waltz,Chaz & The Motorbikes,chaz-motorbikes,,2:24,Miss you Chaz
14,Picture Of The Future,Treat Her Right,treat-her-right,Tied to the Tracks,2:46,That Billy Conway rumble
15,Baby Pictures,Elvis Costello & The Attractions,elvis-costello-attractions,Punch The Clock (Bonus Disc),1:31,Short and bitter
16,Centerfold,Against All Authority,against-all-authority,Totally Fucking the 80s,1:55,Originally from J. Geils Band
17,BREAK
18,Turning Japanese,Skankin' Pickle,skankin-pickle,Sing Along With Skankin' Pickle,3:12,Originally from the Vapors
19,Foreign Picture Books,True Love,true-love,True Love,3:05,A glorious racket
20,Postcard,Uncle Tupelo,uncle-tupelo,Still Feel Gone,3:38,Still unmatched
21,"Click, Click, Click, Click",Bishop Allen,bishop-allen,The Broken String,3:08,Take another picture
22,BREAK
23,Cut Off,Goodbye Honolulu,goodbye-honolulu,Goodbye Honolulu,2:58,Extra new wave nerves
24,Gun Problem,Railroad Jerk,railroad-jerk,,3:57,Click click clack clack
25,Take A Chance,Clinic,clinic,Fantasy Island,2:20,Creeparound time
26,Crones,Oranger,oranger,,3:29,Bass drones are go
27,BREAK
28,Before You Gotta Go,Courtney Barnett,courtney-barnett,"Things Take Time, Take Time",3:46,Vocal echoes
29,Mikey Shoulda Died,Darrin Bradbury,darrin-bradbury,Artvertisement,2:35,Those Clifton kids
30,Can't Let Go,Robert Plant & Alison Krauss,robert-plant-alison-krauss,Raise The Roof (Deluxe Edition),3:41,Walking it easy
31,"Radio, Radio (feat. Fito Páez)",Elvis Costello & The Attractions,elvis-costello-attractions,Spanish Model,3:09,Aburrido y fumando
32,BREAK
33,Sympathy for Life,Parquet Courts,parquet-courts,Sympathy for Life,2:50,Talking to the heads
34,The Falcon Sleeps Alone,Parker Longbough,parker-longbough,Off Front Street,4:10,Alaskan sounds
35,I Can't Wait,Brassy,brassy,Got It Made,2:54,Featuring Muffin Spencer
36,Come On,Mach Kung-Fu,mach-kung-fu,,2:17,Aw come on!
37,BREAK
38,Una Casa,Santiago Motorizado,santiago-motorizado,"Canciones Sobre una Casa, Cuatro Amigos y un Perro",2:45,Instrumental soothing
39,"Don't Think Twice, It's All Right",Susanna And The Magical Orchestra,susanna-magical-orchestra,,4:49,Deconstructing Dylan
40,Itchin' For You,Trailer Bride,trailer-bride,,2:23,Like poison ivy under polyester pants
41,True,Concrete Blonde,concrete-blonde,Concrete Blonde,2:59,Wailing on
42,BREAK
43,Aeroplane Mind,Bill Nelson,bill-nelson,Mixed Up Kid,3:09,Up to strange heights
44,Pale Horizon,The Dodos,dodos,Grizzly Peak,4:04,Clockwork distractions
45,Wire Transfer,Hotline TNT,hotline-tnt,Nineteen in Love,2:32,Heavy sonic blankets
46,BREAK
47,22nd Century Dandy,Pepe Deluxe,pepe-deluxe,Phantom Cabinet Vol. 1,5:11,Finnish soul epic
48,I Want To Be Sexy,Winterbrief,winterbrief,,3:00,For the Francophones
49,Kickflip,illuminati hotties,illuminati-hotties,Let Me Do One More,2:25,Building up and up
50,BREAK
51,Monkey,Liily,liily,TV or Not TV,3:05,Simian sounds
52,Sad Blue Eyes,Taraka,taraka,Welcome To Paradise Lost,3:34,Tumbling through the changes
53,The Hardest Cut,Spoon,spoon,Singles 2021-O,3:14,Bringing the rock
54,High Bell,Flaming Fire,flaming-fire,,4:18,Are you truly prepared?
55,BREAK
56,So What's New,Montefiori Cocktail,montefiori-cocktail,,4:11,So refreshing
57,Oh Me Oh Dub,The Upsetters,upsetters,Black Art From The Black Ark,4:49,A brief space jaunt
58,What Deaner Was Talking About,Ween,ween,Chocolate and Cheese,2:00,Again my friend
59,BREAK
60,Dub 317,International Sangman,international-sangman,Death Roads & Spirit Ways,5:34,Journey to the innersphere
