sequence,song,artist,artist_slug,album,time,notes
1,In Jest,Lizard Music,lizard-music,Arizone!,03:18,Opening the third eye
2,1612,Vulfpeck,vulfpeck,Fugue State,03:20,Hoots and hollers
3,Common People,William Shatner,william-shatner,Has Been,02:21,Originally from Pulp
4,You Are Invited,The Dismemberment Plan,dismemberment-plan,Emergency & I,04:52,A most magnificent reveal
5,BREAK
6,Paper Crown,Tele Novella,tele-novella,Merlynn Belle,03:28,A good set of wishes
7,May God Protect Your Home,Hefner,hefner,The Fidelity Wars,04:03,Is that sweetness for me?
8,Curly Romance,Pom Poko,pom-poko,Cheater,03:22,So many moods
9,Oh La La (featuring Raphaëlle Verlaine),Crocodiles,crocodiles,Shitty Times Volume 1,04:10,Tres français
10,BREAK
11,Don't Do What You're Dying To Do,The Gravel Pit,gravel-pit,Serpent Umbrella,04:45,Dive right in
12,Gal Costa,TLO,tlo,,,
13,Real Good,Tiny Masters of Today,tiny-masters-of-today,Skeletons,02:05,The new Johnny B. Goode
14,Given It All,Smoove & Turrell,smoove-turrell,Crown Posada,03:09,Not quite predictable
15,BREAK
16,More Bacon than the Pan Can Handle,Ghost of Vroom,ghost-of-vroom,Ghost of Vroom 1,03:22,Stop crowding the pan!
17,Whatever Lola Wants,Les Baxter,les-baxter,,02:19,And quickly
18,Murkit Gem (feat. Piya Malik),El Michels Affair,el-michels-affair,Yeti Season,03:12,One spicy dish
19,BREAK
20,Yoni B (Versión 2021),El Mató a un Policía Motorizado,el-mato-a-un-policia-motorizado,Unas Vacaciones Raras,03:03,Redone and reclaimed
21,Leave!,VV Brown,vv-brown,,03:48,Just go
22,Gotta Be Movin’,The Record Company,record-company,Play Loud,03:36,Swaggering time
23,What He Said,Ultrababyfat,ultrababyfat,Silver Tones Smile,03:43,Southern sounds
24,BREAK
25,Dream Weapon,Genghis Tron,genghis-tron,Dream Weapon,05:14,Heavy blasting
26,Fresca,TLO,tlo,,,
27,Fable Of The Urban Fox,Arab Strap,arab-strap,As Days Get Dark,04:55,Northern myths
28,Surprise Hotel,Fool's Gold,fool-s-gold,Fool's Gold,06:48,Southern climes
29,BREAK
30,Love Love Love,My Morning Jacket,my-morning-jacket,My Morning Jacket,03:42,Huge fountains of sound
31,Buena,Morphine,morphine,Cure For Pain,03:20,I hear a voice
32,Life on Mars?,Keren Ann,keren-ann,We Were so Turned On: A Tribute to David Bowie,03:49,Originally from David Bowie
33,BREAK
34,Miracle Cure,Mungo's Hi Fi,mungo-s-hi-fi,Antidote,03:55,Full of healing
35,Blackhole Dub,Painkiller,painkiller,Buried Secrets,03:29,Slowly sinking
36,Earth People,Dr. Octagon,dr-octagon,Dr. Octagonecologyst,04:58,New York to California
37,BREAK
38,Days Like These,Low,low,HEY WHAT,05:21,A glorious mystery
