sequence,song,artist,artist_slug,album,time,notes
1,Pump It Up (feat. Juanes),Elvis Costello & The Attractions,elvis-costello-attractions,Spanish Model,3:28,Originally from Elvis Costello
2,BREAK
3,Simple Kind of Life,Handsome Jack,handsome-jack,Get Humble,3:30,Hotter than a grease fire
4,Don't Follow Me (I'm Lost),Kane Strang,kane-strang,Two Hearts And No Brain,4:04,An ode for the dislocated
5,Take It Day By Day,Courtney Barnett,courtney-barnett,"Things Take Time, Take Time",1:51,It’s the good life
6,Time Escaping,Big Thief,big-thief,Time Escaping,3:49,Intricate clockwork
7,BREAK
8,How Are You Doing,Goodbye Honolulu,goodbye-honolulu,Goodbye Honolulu,3:11,Pull up the recliner
9,Hail Mary,Skating Polly,skating-polly,New Trick,4:05,Nina Gordon said it best
10,The Sway,illuminati hotties,illuminati-hotties,Let Me Do One More,3:36,In a gentle mood
11,BREAK
12,The Ship Song,Nell Smith & The Flaming Lips,nell-smith-flaming-lips,Where The Viaduct Looms,3:27,Originally from Nick Cave
13,Mercy Seat,Ultra Vivid Scene,ultra-vivid-scene,,4:09,Not the Nick Cave song
14,Beat(En) Generation (Live),The The,"",The Comeback Special,4:19,Return to the classics
15,BREAK
16,Hometown Dream,Helado Negro,helado-negro,Far In,5:35,Hydroplaning through the skies
17,My (Limited) Engagement,Guided By Voices,guided-by-voices,It's Not Them. It Couldn't Be Them. It Is Them!,2:06,Organically descending
18,Africa Iyo,Jean-Pierre Djeukam,jean-pierre-djeukam,Cameroon Garage Funk,3:51,From Cameroon
19,BREAK
20,That Life,Unknown Mortal Orchestra,unknown-mortal-orchestra,Singles 2021-N,3:37,And their warped ways
21,Only Star,The Mommyheads,mommyheads,Bingham's Hole (Remastered),4:13,Solitary stellar objects
22,Still In Hollywood,Concrete Blonde,concrete-blonde,Concrete Blonde,3:44,Punking out
23,Panda Riot,Our Hour,our-hour,,2:42,Rampaging cuteness
24,BREAK
25,Burn The Guy,The Pulsebeats,pulsebeats,Lookin' Out,2:01,Bring the fun times
26,We Did It Again,Bongwater,bongwater,,2:16,Rushing to the conclusion
27,Lite As A Feather,Hard‐Ons,hard-ons,"I'm Sorry Sir, That Riffs Been Taken",3:00,Big riffing time
28,Desaparecido,Manu Chao,manu-chao,,3:48,Show your papers
29,BREAK
30,Keystone Cops,Lizard Music,lizard-music,Arizone!,3:06,Policing the dreamscape
31,Shelved,The Mountain Goats,mountain-goats,Goths,4:01,A terrible fate
32,Noche de los Muertos (Versión 2021),El Mató a un Policía Motorizado,el-mato-a-un-policia-motorizado,Unas Vacaciones Raras,8:51,A complete trilogy of a song
33,BREAK
34,L.A. Drivers,Woody & Jeremy,woody-jeremy,Gravy in My Coffee,1:03,A certain breed
35,So Many People In The Neighborhood,Ween,ween,,3:30,Don’t know if they’re very good people
36,Sway,The Puppini Sisters,puppini-sisters,Betcha Bottom Dollar,3:10,Better than Dino
37,Funky Chick,Brownout + Tomar Williams,brownout-tomar-williams,Look At My Soul: The Latin Shade of Texas Soul,3:35,Shaking it off
38,BREAK
39,Just Shadows,Parquet Courts,parquet-courts,Sympathy for Life,3:57,Keeping it extra
40,Hip Hug-Her,Booker T. & the MG's,booker-t-mg-s,"The Complete Stax Singles, Vol. 1 (1962-1967)",2:25,Looking painted on
41,MTT 420 RR,IDLES,idles,CRAWLER,5:31,Interlude
42,"Baby Ruth, Zagnuts, Zero, Chicken Dinner, Bit-O-Honey, Snickers, Milky Way",Big D and the Kids Table,big-d-kids-table,DO YOUR ART,0:47,Fun with superbikes
43,BREAK
44,Utility Man (feat. Andy Cooper),The Allergies,allergies,Promised Land,3:27,Bring the Ugly Duckling
45,Morning Sun,Absolutely Free,absolutely-free,Aftertouch,5:44,Stretching to the horizon
46,Samba Triste,Jackie & Roy,jackie-roy,,2:22,Ultimate bossa
47,La Verdad (Featuring Rubi),Mastretta,mastretta,,2:56,Awkward non-tango
48,BREAK
49,Nasir,El Michels Affair,el-michels-affair,The Abominable,1:54,Heady Incense
50,Birds Of Pleasure,Mungo's Hi Fi,mungo-s-hi-fi,Antidote,4:29,Stretched out
51,Police & Helicopter feat. Seanie  T,Dubinator ,dubinator,Police In Helicopter,4:14,Can’t go wrong with this one
52,Air Batucada,Thievery Corporation,thievery-corporation,,4:44,Engaging the classics
53,BREAK
54,Dancing Drums,Badmarsh & Shri,badmarsh-shri,,8:20,Electrifying the spice
