sequence,song,artist,artist_slug,album,time,notes
1,Because,Elliott Smith,elliott-smith,,2:20,Originally from the Beatles
2,BREAK
3,Unicorn,The Dodos,dodos,Grizzly Peak,3:27,Rolling on the toms
4,Hello Medecina,Vells,vells,Flight from Echo Falls,2:46,Redlining for the good of all
5,Watching Cartoons (feat. Adrian Younge),La Luz,la-luz,La Luz,3:29,In a lazy hazy mood
6,Psychocastle,Taraka,taraka,Welcome To Paradise Lost,3:17,Escape the burning discotheque
7,BREAK
8,Working on Me,The Allergies,allergies,Promised Land,3:19,Get moving
9,He's My Best Friend,Jellyfish,jellyfish,Spilt Milk,3:44,Soundtrack to a pink dream
10,Comes and Goes,Lizard Music,lizard-music,Arizone!,3:09,Brand new comes and goes
11,BREAK
12,Pump It Up (Brutal Remix),Elvis Costello & The Attractions,elvis-costello-attractions,Spanish Model,3:23,Instrumental plus
13,Tiger Rag,The Countdown Quartet,countdown-quartet,The Countdown Quartet,5:08,Hold that tiger!
14,French Navy,Camera Obscura,camera-obscura,Made in Scotland,3:19,A crisp classic
15,BREAK
16,The Kindness Of Strangers,Nell Smith & The Flaming Lips,nell-smith-flaming-lips,Where The Viaduct Looms,3:16,Originally from Nick Cave and the Bad Seeds
17,When You Were My Baby,The Magnetic Fields,magnetic-fields,The Wayward Bus / Distant Plastic Trees,2:44,Heavy on the violins
18,You're Supposed To Be My Friend,1990s,1990s,Cookies,3:39,File transfer protocol?
19,Gone Daddy Gone,Violent Femmes,violent-femmes,Violent Femmes,3:02,Good vibrations
20,BREAK
21,Out of Control,The Cutthroat Brothers,cutthroat-brothers,The King Is Dead,2:27,Copious amounts of the JMC
22,Lightning,Ultra Vivid Scene,ultra-vivid-scene,Joy 1967-1990,4:46,Fading in
23,Telephone Line  (2012 Version),Electric Light Orchestra,electric-light-orchestra,ELO 50th Anniversary Vol. 1,4:30,An obsessive update
24,Different Stages,Babe Rainbow,babe-rainbow,Changing Colours,3:26,A lysergic tea experience
25,BREAK
26,The Overload,Yard Act,yard-act,The Overload,3:18,Veddy British
27,I Got The Blue,Chris + Tad,chris-tad,Hand Me That Door,2:58,It is front page new
28,Forever a Freak (feat. The Doped Up Dollies),Big D and the Kids Table,big-d-kids-table,DO YOUR ART,3:38,Waking you up
29,BREAK
30,If I Don’t Hear From You Tonight,Courtney Barnett,courtney-barnett,"Things Take Time, Take Time",3:38,Keeping the faith
31,Instant Karma! (We All Shine On) (Ultimate Mix),John Lennon + Yoko Ono,john-lennon-yoko-ono,GIMME SOME TRUTH. (Deluxe),3:22,We need more of that
32,So Put Out,Nathaniel Rateliff & The Night Sweats,nathaniel-rateliff-night-sweats,The Future,3:02,Sulking hard
33,Wanna Be Johnny,Parker Longbough,parker-longbough,Off Front Street,2:12,Some cleaned-up Ramones
34,BREAK
35,Black Widow Spider,Parquet Courts,parquet-courts,Sympathy for Life,2:50,Do not disturb
36,Standing By The Window,Tactics,tactics,,2:34,Get your aggressions out
37,Meds,IDLES,idles,CRAWLER,3:57,Medicate or meditate
38,Search and Destroy,Ministry,ministry,Moral Hygiene,4:29,Originally from the Stooges
39,BREAK
40,Miracles (feat. Ty Segall),"Bill Callahan & Bonnie ""Prince"" Billy",bill-callahan-bonnie-prince-billy,Blind Date Party,4:18,Burbling away
41,No Pepper For The Dustman,Kelley Stoltz,kelley-stoltz,Que Aura,3:45,Dancing between the one and four
42,Joni: LA's No. 1 Health Goth,illuminati hotties,illuminati-hotties,Let Me Do One More,3:38,Working out hard
43,Tame,Pixies,pixies,Doolittle,1:56,Cookie I think you’re tame
44,BREAK
45,Go Your Way,Robert Plant & Alison Krauss,robert-plant-alison-krauss,Raise The Roof (Deluxe Edition),5:07,A majestic send-off
46,Tuyo (Narcos Theme) (Extended Version),Rodrigo Amarante,rodrigo-amarante,Back to Mine,2:32,With a lovely clave
47,Crystalised,The XX,xx,xx,3:19,Some back and forth
48,BREAK
49,Relax (Before Doin' Sex),Oscar Harris And The Twinkle Stars,oscar-harris-twinkle-stars,Africa Airways Two (Funk Departures 1973-1982),3:52,Sage advice
50,Focu Di Raggia,Goran Brevgovic,goran-brevgovic,Focu Di Raggia,4:00,Balkan tango
51,Forget It,Zzzz,zzzz,Forget It,3:31,Ever-evolving trainwreck
52,BREAK
53,Hypogeum,"John Dwyer, Ryan Sawyer, Greg Coates, Wilder Zoby, and Andres Renteria",john-dwyer-ryan-sawyer-greg-coates-wilder-zoby-andres-renteria,Gong Splat,2:49,Afrobeating
54,Class Historian,BRONCHO,broncho,Flux FM Popkultur Kompakt Vol.3,3:34,With the hovering stutters
55,The Ballad of Darth Vader,µ-Ziq & Mrs Jynx,ziq-mrs-jynx,Secret Garden,3:03,It’s heartbreaking
56,BREAK
57,Public Image (Bonus Track),Jah Wobble,jah-wobble,Metal Box: Rebuilt in Dub,6:43,Nice rework
