sequence,song,artist,artist_slug,album,time,notes
1,The Joker,Fruit Bats,fruit-bats,"Sometimes a Cloud Is Just a Cloud: Slow Growers, Sleeper Hits and Lost Songs (2001–2021)",3:38,Originally from Steve Miller
2,BREAK
3,Held,Spoon,spoon,Lucifer On The Sofa,4:45,We are rolling
4,Go On,The Elected,elected,Me First,5:17,Electrifying
5,Hot Potato,Blunt Bangs,blunt-bangs,Proper Smoker,4:16,Use the tongs
6,BREAK
7,Sunset Blues,The Mother Hips,mother-hips,Glowing Lantern,4:35,That sweet swagger
8,Watching The Wheels,John Lennon,john-lennon,GIMME SOME TRUTH. (Deluxe),3:33,Still rolling
9,Thoughtforms (Version 1),Lush,lush,Gala (Chorus Version),2:45,Woozy waltz
10,BREAK
11,Move,Aeon Station,aeon-station,Observatory,3:34,Less waiting now
12,Outta My Head,M. Ward,m-ward,Transfiguration Of Vincent,3:01,A gentle farewell
13,Dogflower,Tribe,tribe,,3:01,In abstract terms
14,BREAK
15,Rich,Yard Act,yard-act,The Overload,3:44,It seems to happen
16,Fat Lip,Big Kill,big-kill,,1:58,Ouch
17,Levakesh Het A Kesh,Shabat Samech,shabat-samech,,3:45,Where is the cash?
18,Black Hot Soup (DJ Shadow “My Own Reality” Re-Write),King Gizzard & The Lizard Wizard,king-gizzard-lizard-wizard,Butterfly 3001,3:36,A perfect pairing
19,BREAK
20,California,Babe Rainbow,babe-rainbow,Changing Colours,2:54,The sound fits the state
21,These Days,Cat Power,cat-power,Covers,3:45,Originally from VU + Nico
22,All I Want,Holly Golightly & Dan Melchior,holly-golightly-dan-melchior,Desperate Little Town,3:13,Rough and tumble
23,So?,Heavenly,heavenly,A Bout De Heavenly: The Singles,1:10,Only Amelia
24,BREAK
25,Little Did I,Night Crickets,night-crickets,A Free Society,2:13,A bit of a low rider
26,Medicine,The Cutthroat Brothers,cutthroat-brothers,The King Is Dead,1:46,Deathly shuffle
27,Heart Attack,The Pulsebeats,pulsebeats,Lookin' Out,2:08,Two step in the cardio ward
28,Grease 2,Thee Oh Sees,thee-oh-sees,The Master's Bedroom is Worth Spending a Night In,2:47,Not from the movie
29,BREAK
30,When The Evening Come,Man-Like-Devin,man-like-devin,"Wheel And Shoulder: Acoustic Reggae, Rocksteady & Ska Vol. I",3:03,Give me the island banjo
31,A New England,Billy Bragg,billy-bragg,A New England,2:12,Just looking for another girl
32,The End of the Earth,Rob K,rob-k,The End of the Earth,2:47,Apocalyptic times
33,Blues In A,Robyn Hitchcock,robyn-hitchcock,Invisible Hitchcock,3:26,Things keep falling apart
34,BREAK
35,Sweet Potato Pie,Cory Wong,cory-wong,Wong's Cafe,3:00,"Serve it hot, with ice cream"
36,Get Da Steppin',Delvon Lamarr Organ Trio,delvon-lamarr-organ-trio,Cold As Weiss,4:57,Howling on that organ
37,Running On Sunshine,Jesus Jackson,jesus-jackson,Back to Mine,4:53,Got that bounce
38,Oh! Darling (Jam),The Beatles,beatles,Let It Be (Super Deluxe),5:19,Be a fly on the wall
39,BREAK
40,Grandfather Clock Strikes Twelve,Eels,eels,Extreme Witchcraft,3:22,Back with John Parish
41,Épique Éric,Les Cowboys Fringants,les-cowboys-fringants,Les nuits de Repentigny,3:44,Northern music
42,Polvo de Estrellas,Santiago Motorizado,santiago-motorizado,"Canciones Sobre una Casa, Cuatro Amigos y un Perro",2:16,Get yourself some stardust
43,Time,The Jazz Butcher,jazz-butcher,The Highest in the Land,5:26,Fishy go to heaven
44,BREAK
45,Rose Pink Cadillac,Dope Lemon,dope-lemon,Rose Pink Cadillac,4:22,Long and low
46,Kemayo,Kag Am,kag-am,Africa Airways One (Funk Connection 1973-1980),3:07,Afrofunk 4ever
47,Someone To Talk To (Dub),Dubinator ,dubinator,Police In Helicopter,3:16,Illicit police
48,BREAK
49,Strung With Everything,Animal Collective,animal-collective,Time Skiffs,6:56,Fragments of shards
50,Playground Love (Vibraphone Version),Air,air,The Virgin Suicides,3:51,Good vibrations
51,The Numbers Song,DJ Shadow,dj-shadow,Endtroducing.....,4:38,Giant rolling clouds
52,BREAK
53,Gold Rush,Antibalas,antibalas,Where The Gods Are In Peace,10:56,Heading west
