sequence,song,artist,artist_slug,album,time,notes
1,21st Century Schizoid Man,black midi,black-midi,Cavalcovers,5:18,Originally from King Crimson
2,BREAK
3,Endless Sea,Cat Power,cat-power,Covers,3:35,Originally from Iggy Pop
4,Hey Hey La La,Vells,vells,Flight from Echo Falls,3:54,A tropical vibe
5,Health Food Store,White Hassle,white-hassle,The Death of Song,3:33,Stock up on some vitamins
6,BREAK
7,Feels Alright,Spoon,spoon,Lucifer On The Sofa,2:57,For a mood
8,RHODODENDRON,Hurray For The Riff Raff,hurray-for-riff-raff,LIFE ON EARTH,3:34,Reaching the light
9,How Do You Work This Thing?,Robyn Hitchcock,robyn-hitchcock,Groovy Decay,2:29,Locate the manual!
10,BREAK
11,What Happened To You,The Mother Hips,mother-hips,Glowing Lantern,4:16,Stomping along
12,Hiker Atlas,aMiniature,aminiature,Depth Five Rate Six,4:37,Jagged and shabby
13,Drain the Blood,Rural Alberta Advantage,rural-alberta-advantage,Hometowns,2:49,Quite the advantage
14,Tiresome,Drug Church,drug-church,Hygiene,3:06,It’s punishing
15,BREAK
16,Ashtray,Hippo Campus,hippo-campus,LP3,2:35,Some assembly required
17,Shameboy,The Slackers,slackers,Don't Let The Sunlight Fool Ya,1:39,Intense groove
18,Otro Muerde El Polvo (Another One Bites The Dust),Los Miticos Del Ritmo,los-miticos-del-ritmo,Los Miticos Del Ritmo,3:35,So much dust
19,The Unreliable Narrator,Night Crickets,night-crickets,A Free Society,3:07,We are all our own unreliable narrator
20,BREAK
21,The El Burro Song,Calexico,calexico,El Mirador,3:24,"Sit down, sit down"
22,Welcome 2 Club XIII,Drive-By Truckers,drive-by-truckers,,3:24,My kinda dive
23,When the Stars Are Out,Fruit Bats,fruit-bats,"Sometimes a Cloud Is Just a Cloud: Slow Growers, Sleeper Hits and Lost Songs (2001–2021)",3:26,A moment to ourselves
24,Been Lovin' You Too Long,Sarah Shook & the Disarmers,sarah-shook-disarmers,Nightroamer,3:26,An eternity
25,BREAK
26,Waiting For The Sunrise,Death Cab For Cutie,death-cab-for-cutie,Ocean Child: Songs of Yoko Ono,3:00,Originally from Yoko Ono
27,Collect Your Things and Run,Hot Water Music,hot-water-music,Feel The Void,2:37,Still steaming
28,Headphones,Illinois,illinois,What The Hell Do I Know?,3:14,Thrumming in your head
29,I Got A Girl,Tripping Daisy,tripping-daisy,I Am An Elastic Firecracker,4:06,That ‘90s energy
30,BREAK
31,The Smoke,The Smile,smile,The Smoke,3:40,Lightly afrobeat
32,Feed You To The Sharks,Gothic Tropic,gothic-tropic,Fast Or Feast,3:27,Old fashioned fizz
33,Tranquilizer,hollAnd,holland,,1:43,Lightning application
34,The End of Time,Night Shop,night-shop,Forever Night,3:12,Wrapping it up
35,BREAK
36,In The Mirror,The Interrupters,interrupters,,3:06,Fourth wave!
37,Mango Cool,Los Amigos Invisibles,los-amigos-invisibles,The New Sound of the Venezuelan Gozadera,2:54,Refreshments
38,Mango Woman,Ween,ween,The Brown Sides,2:24,Into space
39,I've Got A Capo On My Brain,Dan Hicks,dan-hicks,,4:04,Is it really cheating?
40,BREAK
41,Get Better,Alt-J,alt-j,The Dream,5:51,Soothing sounds
42,Too Late Now,Wet Leg,wet-leg,Wet Leg,3:29,No solution for this tardiness
43,No Small Thing,Tears For Fears,tears-for-fears,The Tipping Point,4:42,A timely return
44,Witness (Can I Get A?),Yard Act,yard-act,The Overload,1:22,Testification
45,BREAK
46,UNDERWATER BOI,Turnstile,turnstile,GLOW ON,3:05,Identity crisis
47,Feb 14,Cavetown,cavetown,Sleepyhead,4:34,Calendar song
48,Loneliness on the run,Metronomy,metronomy,Small World,3:39,Music for marmosets
49,BREAK
50,Play It Back,The Greyboy Allstars,greyboy-allstars,Get a Job,5:45,Groove is king
51,Slip 'N' Slide,Delvon Lamarr Organ Trio,delvon-lamarr-organ-trio,Cold As Weiss,2:37,Bathing in organ sounds
52,Animal Chin,Jaga Jazzist,jaga-jazzist,,4:07,Keeping the beat
53,Kogarashi,Kikagaku Moyo,kikagaku-moyo,House in the Tall Grass,4:42,Haunting the tall grass
54,BREAK
55,Vocoder,Floating Points,floating-points,Grammar,7:35,Plugged right in
