sequence,song,artist,artist_slug,album,time,notes
1,Taxman,The Greyboy Allstars,greyboy-allstars,Get a Job,3:49,Originally from The Beatles
2,BREAK
3,Flyin (like a fast train),Kurt Vile,kurt-vile,(watch my moves),4:47,Sounds more like a slow train
4,I Want Answers,House of Freaks,house-of-freaks,,3:03,"Also, more questions"
5,Clarity (feat. Sofie Royer),Toro Y Moi,toro-y-moi,MAHAL,4:00,Swirling the mixture
6,BREAK
7,Powders,Alt-J,alt-j,The Dream,4:42,Easing into summer
8,Spit on a Stranger (2022 Remaster),Pavement,pavement,Terror Twilight: Farewell Horizontal,3:04,Never out of style
9,End of the Empire IV (Sagittarius A*),Arcade Fire,arcade-fire,WE,3:54,A bitter farewell
10,Nature's Twisting Heart,The Mother Hips,mother-hips,Glowing Lantern,3:43,Spooky resolutions
11,BREAK
12,Welcome To Hell,black midi,black-midi,,4:10,I kinda like it here
13,"Hey, Mr. DJ",Tiny Masters of Today,tiny-masters-of-today,Bang Bang Boom Cake,2:59,On it
14,"No, No, No",Deerhoof,deerhoof,Ocean Child: Songs of Yoko Ono,2:07,In absolute denial
15,BREAK
16,El Mirador,Calexico,calexico,El Mirador,3:39,A drawling cumbia
17,Juke Box,Fred Buscaglione,fred-buscaglione,"Che male c’è, se chiedo un bacio",2:23,Swanky
18,Draggin' The Bow,Hot Club Of Cowtown,hot-club-of-cowtown,Tall Tales,2:09,Blazing hot
19,Windowland,The Slackers,slackers,The Slackers - Don't Let The Sunlight Fool Ya,2:22,A position of observability
20,BREAK
21,Warm Chris,Aldous Harding,aldous-harding,Warm Chris,3:47,The definition of laconic
22,2 Fingers Cross'd,White Hassle,white-hassle,Life Is Still Sweet,4:29,High lonesome rattle
23,How Dare You Want More,Bleachers,bleachers,Take the Sadness Out of Saturday Night,4:00,Pepping it up
24,BREAK
25,Eosophobia (Reprise),Jack White,jack-white,Fear Of The Dawn,3:12,Delay noodles
26,Freedom Of '76 (Shaved Dog Mix),Ween,ween,The Brown Sides,3:22,The message is freedom
27,Lindsay Goes To Mykonos,Los Bitchos,los-bitchos,Let The Festivities Begin!,2:52,A bit of a getaway
28,Lateral Alice,Ride,ride,Weather Diaries,2:56,Going sideways
29,BREAK
30,Any Turn,Orville Peck,orville-peck,Bronco,2:16,Don’t mess with the cowboy
31,#9 Dream,John Lennon,john-lennon,Power To The People: The Hits,4:49,Through a paisley haze
32,Special Needs,Sondre Lerche,sondre-lerche,Avatars Of Love,3:11,Delicious disco
33,No Mistakes,Sarah Shook & the Disarmers,sarah-shook-disarmers,Nightroamer,2:53,Playing it straight
34,BREAK
35,Cannonball,The Breeders,breeders,Last Splash,3:34,Who’s the last splash?
36,Happy Hour,The Housemartins,housemartins,Live At The BBC,2:34,Live and a cappella!
37,Hamp's Hump,Galactic,galactic,Crazyhorse Mongoose,3:45,A stompin’ good time
38,Tatiana (Ben Holmes),Slavic Soul Party!,slavic-soul-party,Taketron,2:49,Whirling about
39,BREAK
40,It's in Your Heart Now,Destroyer,destroyer,LABYRINTHITIS,6:56,Of epic proportions
41,Wicked Wicked,Tahiti 80,tahiti-80,Here with You,2:40,The new Archies
42,Over the Hiccups,Negativland,negativland,Escape from Noise,1:26,Interlude
43,Supermarket,Wet Leg,wet-leg,Wet Leg,3:11,All your shopping needs
44,BREAK
45,Emergency Calls Only (feat. Van Dyke Parks),Daniel Johns,daniel-johns,FutureNever,4:38,A fruitful collaboration
46,Act Right,The Crystal Method,crystal-method,The Trip Out,3:27,Grinding it down
47,Neckbrace,Ratatat,ratatat,,4:06,Holding your head up
48,BREAK
49,Comin' Home Baby,Herbie Mann,herbie-mann,Waterbed,5:35,A classic reworking
50,Travis Bickle,Red Snapper,red-snapper,Everybody Is Somebody,3:21,A shady character
51,Kjære Mamma,Prins Thomas,prins-thomas,8,8:33,Subtle tremors
52,BREAK
53,Love Missile F1-11 (extended version),Sigue Sigue Sputnik,sigue-sigue-sputnik,,6:58,Unstoppable
