sequence,song,artist,artist_slug,album,time,notes
1,I'm Not in Love (The Dermot O'Leary Saturday Sessions Show),Camera Obscura,camera-obscura,Making Money (4AD B-Sides and Rarities),4:36,Originally from 10cc
2,BREAK
3,Fever,Aldous Harding,aldous-harding,Warm Chris,4:17,Ambivalence supreme
4,Cheat,Jenny Toomey,jenny-toomey,,4:33,Hat tip to Franklin Bruno
5,Young and Stupid,Belle and Sebastian,belle-sebastian,A Bit of Previous,2:55,Refreshing honesty
6,BREAK
7,Looking At Long Days,The Mother Hips,mother-hips,Glowing Lantern,3:27,Feels like the Satellites
8,Lump,The Presidents of The United States of America,presidents-of-united-states-of-america,CMJ 500,2:12,Half the strings twice the racket
9,Our Lips Are Sealed,Paul Collins and Marci Marks,paul-collins-marci-marks,"If You Gotta Go-Go, Go-Go Now: A Tribute To The Go-Go's",2:44,That bass
10,Augie,Subjects,subjects,Los Angeles Post-Punk (Volume 3),2:36,Out of LA’s freak scene
11,BREAK
12,U&ME,Alt-J,alt-j,The Dream,3:19,That alt wobble
13,Road to Nowhere,Talking Heads,talking-heads,Little Creatures,4:28,Still spinning
14,Thoughts on Seneca,Delta Spirit,delta-spirit,One is One,3:49,A philosophical detour
15,Nice of You to Be There for Me,A Place to Bury Strangers,a-place-to-bury-strangers,See Through You,3:42,Distant Hacienda transmission
16,BREAK
17,Hanging On Your Hinges,Stereophonics,stereophonics,Oochya!,2:57,Savage beat time
18,Fingerpops,Garageland,garageland,Last Exit to Garageland (Deluxe Edition),3:19,From New Zealand
19,Wicked Little Critta,They Might Be Giants,they-might-be-giants,Mink Car,2:12,At their New Englandest
20,BREAK
21,Come On Back,Andy Partridge,andy-partridge,My Failed Songwriting Career - Vol. 2,2:55,It’s incisive
22,Up Your Legs Forever,His Name Is Alive,his-name-is-alive,Ft. Lake,3:45,A dream shimmer
23,The Last Son,Destroyer,destroyer,LABYRINTHITIS,2:34,Moving to LA
24,Born On The Cusp,American Analog Set,american-analog-set,Set Free,3:29,Subtle thrumming
25,BREAK
26,Moves,Suki Waterhouse,suki-waterhouse,I Can't Let Go,3:13,Points for Suzi Quatro
27,You Can Choose,Thee Headcoats,thee-headcoats,Knights of the Baskervilles,2:27,Loud and Childish
28,The Crawling,Robyn Hitchcock & The Egyptians,robyn-hitchcock-egyptians,Luminous Groove,3:21,Interrupted menace
29,I Want to Meet Ur Dog,Cavetown,cavetown,Man’s Best Friend,1:48,A necessary introduction
30,BREAK
31,Cumbia del Polvo,Calexico,calexico,El Mirador,3:36,Dusty old time
32,Un Puente (feat. Angelica Garcia),!!!,"",Let It Be Blue,3:18,Not your father’s !!!
33,Movie Star,Fatso,fatso,On Tape,4:01,Sort of ambling around
34,BREAK
35,"Morning, Noon and Night",Jack White,jack-white,Fear Of The Dawn,4:45,Straight outta the ‘70s
36,All Day and All of the Night,The Stranglers,stranglers,Capital Undercover,2:31,Doing it 24/7
37,WARWARWAR,THE ORAL CIGARETTES,oral-cigarettes,UNOFFICIAL(24bit/48kHz),3:57,Japanese? I think?
38,Interference,Loop,loop,Sonancy,4:13,Set phasers on flange
39,BREAK
40,In ar gcroithe go deo,Fontaines D.C.,fontaines-d-c,Skinty Fia,5:59,Powerful stuff
41,Saturday Night Party,Tomandandy,tomandandy,The Rules of Attraction (Music From The Motion Picture),4:33,"Yep, it’s like that"
42,The Loop,Toro Y Moi,toro-y-moi,MAHAL,4:01,Early morning at the airport lounge
43,BREAK
44,Smokin' at Tiffany's,The Greyboy Allstars,greyboy-allstars,Get a Job,4:49,Call the fire engines!
45,Only One,Gooseberry,gooseberry,Broken Dance,4:50,Slow descent
46,B Planet,Red Snapper,red-snapper,Everybody Is Somebody,5:41,Getting the ductwork fixed
47,BREAK
48,Always Together With You,Spiritualized,spiritualized,Everything Was Beautiful,6:38,Waving from orbit
49,Come To Daddy (Little Lord Faulteroy Mix),Aphex Twin,aphex-twin,Come To Daddy,3:50,Fragmented lullaby
50,What Has Happened (Edit),Tonstartssbandht,tonstartssbandht,Petunia,4:59,Colors and echoes
51,BREAK
52,All I Want,Shantel,shantel,,6:50,Simple requirements
