sequence,song,artist,artist_slug,album,time,notes
1,The Harder They Come,Waco Brothers,waco-brothers,"Making Singles, Drinking Doubles",3:49,An island classic
2,BREAK
3,Jackie down the line,Fontaines D.C.,fontaines-d-c,Skinty Fia,4:01,Full of Irish fire
4,Flypaper,Brainiac,brainiac,,2:37,Close talker
5,Labrynthitis,Destroyer,destroyer,LABYRINTHITIS,3:19,Intuitive wanderings
6,BREAK
7,Palace of OKV in Reverse,Kurt Vile,kurt-vile,(watch my moves),2:54,Descending into a proper reverie
8,Little Surfer,The Mattoid,mattoid,,3:11,Serious business
9,Icky-Poo Air Raid,Bis,bis,Disco Sucks,3:14,Missing these guys
10,Can't Always Be Loved,His Name Is Alive,his-name-is-alive,Ft. Lake,2:34,Insistent thumping
11,BREAK
12,The Bandit,The Starlight Mints,starlight-mints,,2:26,Whistle along
13,Have A Cigar,Primus,primus,,5:27,The fretless dominates
14,Cuchi-Cuchi,Los Amigos Invisibles,los-amigos-invisibles,,3:27,Solo necesito un…
15,If That's What You Want,Mari Wilson With The Imaginations,mari-wilson-with-imaginations,Sharon Signs To Cherry Red,3:37,Oldfashioned goodtime
16,BREAK
17,Panama Canal (feat. Meah Pace),!!!,"",Let It Be Blue,2:43,You will be singing along
18,Stay Up Late,Talking Heads,talking-heads,Little Creatures,3:44,See him eat from a plate
19,Empty Bed,Cavetown,cavetown,Sleepyhead,3:26,Could be a lullaby
20,BREAK
21,Tick Tock,Aldous Harding,aldous-harding,Warm Chris,3:39,Marking the time
22,Make Me Smile (Come Up And See Me),The Wedding Present,wedding-present,,3:45,Amping up a standard
23,Break It to You Gently (The Wild Honey Pie Buzzsession),Camera Obscura,camera-obscura,Making Money (4AD B-Sides and Rarities),3:56,Soothing in the meadow
24,Arizone!,Lizard Music,lizard-music,Arizone!,4:22,Now with various movements
25,BREAK
26,Almandine,The Diasonics,diasonics,Origin of Forms,3:09,Spycy instrumental
27,Barabajagal,Donovan,donovan,Licorice Pizza: Original Motion Picture Soundtrack,3:20,Psychedelic shuffling
28,What’s Done is Done,Delta Spirit,delta-spirit,One is One,3:30,Urgent fatalism
29,I Am You,Just Mustard,just-mustard,Heart Under,3:50,The clouds are gathering
30,BREAK
31,They Go Low,Fantastic Negrito,fantastic-negrito,White Jesus Black Problems,3:43,It’s got the Supertramp stomp
32,Jenny Lewis,Acid Tongue,acid-tongue,Bullies,3:15,"Huge fans, I’m sure"
33,The Opposite,The Smile,smile,A Light for Attracting Attention,3:06,Afrobeat subtlety
34,I Stole A Bride,Hefner,hefner,,5:25,A tale of remorse and beauty
35,BREAK
36,Postman,Toro Y Moi,toro-y-moi,MAHAL,2:41,Funky epistles
37,I Want To Be In Cuba,Mastretta,mastretta,,1:23,Oh bassoon
38,Pepe Y Irene,Money Mark,money-mark,,3:34,Easy swinging
39,Stratosphere Boogie,Speedy West + Jimmy Bryant,speedy-west-jimmy-bryant,,2:12,What wizardry is this?
40,BREAK
41,Get Thee to a Nunnery,The Garrys,garrys,Get Thee to a Nunnery,3:27,Sultry surf vibes
42,Vallejo (B-Side Version),Ween,ween,The Brown Sides,2:52,Oh the ironies of life
43,Showin Me Love,Gangstagrass,gangstagrass,,3:56,Mashed up hard
44,BREAK
45,The A Song (Laid In Your Arms),Spiritualized,spiritualized,Everything Was Beautiful,7:07,Get inside the spaceship
46,Guarantee That I’d Be Loved,Sondre Lerche,sondre-lerche,Avatars Of Love,6:35,Stretched out
47,Goodbye To Good Times,Kevin Morby,kevin-morby,This Is A Photograph,5:15,A confession
48,BREAK
49,Shack In The Back,The California Honeydrops,california-honeydrops,"Just One More, And Then Some",5:20,The location for the function
50,Where's My Brain???,The Lazy Eyes,lazy-eyes,SongBook,6:43,Moving fast
51,Futurist,Red Snapper,red-snapper,Everybody Is Somebody,5:00,The future is a noisy place
52,BREAK
53,Go Home,Angel Olsen,angel-olsen,Big Time,5:25,Quite appropriate
