sequence,song,artist,artist_slug,album,time,notes
1,Blackbird,Jaco Pastorius,jaco-pastorius,,2:48,Full of percussive surprise
2,BREAK
3,Hollywood Junkyard,The Bobby Lees,bobby-lees,Hollywood Junkyard,3:13,Not a sanitary place
4,Milk Bomb,Spot 1019,spot-1019,,2:16,All the barbecues burst into flames
5,To Dream (feat. Kim Oki),Say Sue Me,say-sue-me,The Last Thing Left,4:32,Delicate traceries
6,Option 8,Horsegirl,horsegirl,Versions of Modern Performance,3:33,Hypnolovewheel goes around
7,BREAK
8,Deviants,The Diasonics,diasonics,Origin of Forms,3:01,Not your standard bell-curvers
9,Clown Powder,The Bronx,bronx,,4:08,A sad fate
10,The Link Is About To Die,Los Bitchos,los-bitchos,Let The Festivities Begin!,3:48,Hurry and click on it
11,BREAK
12,You Better Have a Gun,Fantastic Negrito,fantastic-negrito,White Jesus Black Problems,3:32,Might come in handy
13,The Curse of the Blackened Eye,Orville Peck,orville-peck,Bronco,4:10,A modern yodel
14,Sleeping With Girls,Willie Wisely,willie-wisely,,2:26,Refined pleasures
15,BREAK
16,"Bittersweet, TN",Kevin Morby,kevin-morby,This Is A Photograph,4:14,"It’s a fine, fine place"
17,Upbeat,The Bruces,bruces,,3:24,Somewhat of a downer
18,All Things Must Behave / Eternal Friend,Great Grandpa,great-grandpa,Plastic Cough,5:25,Exquisite harmonics
19,BREAK
20,Leathery Whip,Aldous Harding,aldous-harding,Warm Chris,4:01,What sorcery is this
21,Big Country,Illinois,illinois,,3:09,Slow burning
22,Tangerine,The Lazy Eyes,lazy-eyes,SongBook,2:54,Don’t count just play
23,Sliced Tomatoes,Just Brothers,just-brothers,A Break From The Norm,2:22,Sampled by Fatboy Slim
24,BREAK
25,Surrender To The Rhythm,Elvis Costello,elvis-costello,The Resurrection Of Rust,3:41,Back with a bullet
26,The Blizzard,Camera Obscura,camera-obscura,Making Money (4AD B-Sides and Rarities),4:14,Highland ballad
27,Apollinaire,Les Sans Culottes,les-sans-culottes,,2:46,French stuff from Brooklyn
28,"Visions Of The Night (Live From Hammersmith, London 1979)",The Police,police,Around The World,3:19,Live and obscure
29,BREAK
30,It's Over,The Garrys,garrys,Get Thee to a Nunnery,3:53,Sweetly old-fashioined
31,Surfing And Spying,The 5.6.7.8’s,5-6-7-8-s,"If You Gotta Go-Go, Go-Go Now: A Tribute To The Go-Go's",2:15,Important activities both
32,Jumbo,Zoobombs,zoobombs,,3:19,The largest
33,BREAK
34,Taking Me Back,Jack White,jack-white,Fear Of The Dawn,3:59,Wild tones
35,Satta Massa Cumbia,Los Miticos Del Ritmo,los-miticos-del-ritmo,Los Miticos Del Ritmo,3:04,Crossing traditions
36,The Lady Don't Mind,Talking Heads,talking-heads,Little Creatures,3:59,She is completely unflustered
37,Everybody in the World,Trombone Shorty feat. New Birth Brass Band,trombone-shorty-feat-new-birth-brass-band,Lifted,3:54,A real party
38,BREAK
39,Straight Lines,The Dream Syndicate,dream-syndicate,Ultraviolet Battle Hymns and True Confessions,4:51,All over the map
40,Turn It On,The Flaming Lips,flaming-lips,,4:39,Engage the flow of power
41,Da Da Da,Pierre Perpall,pierre-perpall,Star-Funk Vol. 15,3:49,Slight return
42,BREAK
43,Insta-Classic,Lettuce,lettuce,Unify,6:35,Find yourself in the groove
44,Bore Now Bore,Boredoms,boredoms,,2:43,Not bore no
45,Snake Mistakes,Dan Deacon,dan-deacon,,4:21,Nightmare playground
46,Fonnovo,Los Amigos Invisibles,los-amigos-invisibles,,4:07,Getting down and funky
47,BREAK
48,This Is Pop 2,!!!,"",Let It Be Blue,4:27,Donkey music
49,Like You,Gramme,gramme,DJ Kicks,1:48,Cutting through the dance floor
50,Tres Tres Chic,Mocean Worker,mocean-worker,Aural & Hearty,3:43,Drinks on the balcony
51,Love Plus One (12' Version),Haircut 100,haircut-100,NOW That's What I Call 12' 80s: Extended,5:39,EXTENDED
52,BREAK
53,Being,Escape Mechanism,escape-mechanism,"Goodnight, Uncle Billy",5:17,"Hello, Uncle Billy"
