sequence,song,artist,artist_slug,album,time,notes
1,Alec Eiffel,April March,april-march,,2:27,Originally from Pixies
2,BREAK
3,Undigested Parts,Elf Power,elf-power,Artificial Countrysides,3:54,The power of longevity
4,It's Working,MGMT,mgmt,,4:06,From a fever dream
5,Tired Of Taking It Out On You,Wilco,wilco,Cruel Country,3:37,Summer rain sounds
6,BREAK
7,Playing in a Band,Delicate Steve,delicate-steve,After Hours,3:04,and his delicate tone
8,Cruel To Be Kind,Nick Lowe,nick-lowe,,3:29,It’s a very good sign
9,Teeth,Faye,faye,You're Better,2:07,Sharp ones
10,Wavy Maze,GOON,goon,Hour of Green Evening,3:41,Wandering about
11,BREAK
12,Thrown,Bodega,bodega,Broken Equipment,2:49,Manic sidewalks
13,Lust For Life,Iggy Pop,iggy-pop,,5:11,A beat to swagger with
14,Michelle,Flat Duo Jets,flat-duo-jets,White Trees,2:10,She did a number
15,Desert Girl,The Schizophonics,schizophonics,Hoof It,2:57,Get to know one
16,BREAK
17,Robot Riot,Stereolab,stereolab,Robot Riot,2:57,An unmistakable drone
18,Lautlos (Album Version),!Dela Dap,dela-dap,Dela Paji,3:49,Exotic breezes
19,Too Much,Bonaparte,bonaparte,Too Much,3:06,Excessive
20,Qué Onda Guero (Remix by Islands),Beck,beck,Guerolito,2:29,A slow motion collapse
21,BREAK
22,When Dawn Comes Tonight,doubleVee,doublevee,Treat Her Strangely,3:55,Darkest prior to that
23,Splinter,Planets in the Ocean,planets-in-ocean,,3:50,Dynamic approaches
24,Joys of You,Brix Smith & Marty Willson-Piper,brix-smith-marty-willson-piper,Lost Angeles,3:40,Dim the lights
25,Fallen Woman,The Garrys,garrys,Get Thee to a Nunnery,3:13,Hot dry winds
26,BREAK
27,Colorado River,The Silos,silos,Family,5:07,Formerly the Grand
28,Beatopia Cultsong,beabadoobee,beabadoobee,Beatopia,2:32,Subtle transitions
29,Slip,Suki Waterhouse,suki-waterhouse,I Can't Let Go,3:16,In a mood
30,BREAK
31,Tidal River,Rolling Blackouts Coastal Fever,rolling-blackouts-coastal-fever,Endless Rooms,4:27,Sparkling aggression
32,Conspiracy Of Praise,Thomas Function,thomas-function,Celebration!,3:45,Relentless compliments
33,The McCAmpaign Song,Mayor McCa,mayor-mcca,Me Is He,2:17,feat. a kazoo solo
34,Lefty,Rocket From The Crypt,rocket-from-crypt,,2:29,Just goofing around
35,BREAK
36,The Showdown,The Mighty Mocambos,mighty-mocambos,Showdown,3:26,Quite dramatic
37,Alcohol,Cansei de Ser Sexy,cansei-de-ser-sexy,,2:49,Fun times
38,Virginia Soil,Fantastic Negrito,fantastic-negrito,White Jesus Black Problems,3:10,Ancestry is fascinating
39,Corn Man,Kinky,kinky,,3:31,Gon’ down to Olathe
40,BREAK
41,Las Panteras,Los Bitchos,los-bitchos,Let The Festivities Begin!,3:53,Feline intentions
42,Hybrid Moments,The Misfits,misfits,The Misfits,1:40,Unstoppable fuzz
43,Too Late For Suicide,Osees,osees,A Foul Form,3:31,Gotta gut feeling
44,The Baptiser (Reprise),The William Loveday Intention,william-loveday-intention,The Baptiser,4:36,Billy’s back
45,BREAK
46,Gurami,The Diasonics,diasonics,Origin of Forms,4:12,Is that cardamom?
47,I Have No Mouth and I Must Scream,Negative XP,negative-xp,Gamer 2,1:56,Hats off to Harlan
48,Cool Kind Of Drag,Drool Brothers,drool-brothers,Kasio Montigo,4:33,Soaking the vibes
49,Witchcraft Rebellion,Old Time Relijun,old-time-relijun,Witchcraft Rebellion,3:59,Cannot quell this uprising
50,BREAK
51,"Nascer, Viver, Morrer",Tim Bernardes,tim-bernardes,Mil Coisas Invisiveis,1:53,Set your piano on fire
52,Mrs. Lady Lady,Ui,ui,,2:29,Interesting observations
53,Happy Hour,Hollie Cook,hollie-cook,Happy Hour,5:08,Evening musics
54,Under Me Sleng Teng,Wayne Smith,wayne-smith,Tougher Than Tough: The Story Of Jamaican Music,4:07,That riddim
55,BREAK
56,The Race Is About To Begin,black midi,black-midi,Hellfire,7:15,Chaos cannot be contained
