sequence,song,artist,artist_slug,album,time,notes
1,Public Image (Bonus Track),Jah Wobble,jah-wobble,Metal Box: Rebuilt in Dub,6:43,Originally from PiL
2,BREAK
3,Slip 'N' Slide,Delvon Lamarr Organ Trio,delvon-lamarr-organ-trio,Cold As Weiss,2:37,Coolin’ off
4,Smokin' at Tiffany's,The Greyboy Allstars,greyboy-allstars,Get a Job,4:49,Heatin’ up
5,Shack In The Back,The California Honeydrops,california-honeydrops,"Just One More, And Then Some",5:20,Knock three times
6,BREAK
7,Only One,Gooseberry,gooseberry,Broken Dance,4:50,Taking its sweet time
8,Las Panteras,Los Bitchos,los-bitchos,Let The Festivities Begin!,3:53,Swirling felines
9,No Bar Do Samba,Zuco 103,zuco-103,,4:07,Carnaval in space
10,BREAK
11,The Loop,Toro Y Moi,toro-y-moi,MAHAL,4:01,It goes around and around
12,LDDAE,Bogdan Raczynski,bogdan-raczynski,ADDLE,6:34,Infinite variations
13,Vocoder,Floating Points,floating-points,Grammar,7:35,Bits and pieces
14,BREAK
15,Get Thee to a Nunnery,The Garrys,garrys,Get Thee to a Nunnery,3:27,Smoky sounding
16,Class Historian,BRONCHO,broncho,,3:34,Impromptu tremolos
17,I have seen enough,Metronomy,metronomy,Small World,3:33,At their limit
18,Crystalised,The XX,xx,,3:19,Fractal shimmers
19,BREAK
20,Great Five Lakes,Buffalo Daughter,buffalo-daughter,,5:42,Beep beep beep beep
21,Wicked Wicked,Tahiti 80,tahiti-80,Here with You,2:40,Flashback time
22,Carnival of Souls,Pram,pram,,4:57,Sparse times
23,Only Love Can Break Your Heart - Kenlou B-boy Remix,Saint Etienne,saint-etienne,Foxbase Rarities,6:55,Reassembled
24,BREAK
25,Always Together With You,Spiritualized,spiritualized,Everything Was Beautiful,6:38,A long romp
26,Chaos Space Marine,"Black Country, New Road",black-country-new-road,Ants From Up There,3:37,"It’s not a job, it’s an adventure"
27,3:38,The Pop Group,pop-group,Y In Dub,4:44,Somewhat longer than that
28,BREAK
29,Travis Bickle,Red Snapper,red-snapper,Everybody Is Somebody,3:21,Watch who you talk to
30,The Numbers Song,DJ Shadow,dj-shadow,,4:38,Count them
31,What Has Happened (Edit),Tonstartssbandht,tonstartssbandht,Petunia,4:59,Chasing wild pulses
32,BREAK
33,Kogarashi,Kikagaku Moyo,kikagaku-moyo,House in the Tall Grass,4:42,Marking off the time
34,Where's My Brain???,The Lazy Eyes,lazy-eyes,SongBook,6:43,Mexican vacation
35,Act Right,The Crystal Method,crystal-method,The Trip Out,3:27,Sidechaining deluxe
36,BREAK
37,When The Sun Explodes,Trentemøller,trentemoller,Memoria,5:32,In a distant future
38,Jynxiq,µ-Ziq & Mrs Jynx,ziq-mrs-jynx,Secret Garden,6:07,Witness the alien horticulture
39,Dub 318,International Sangman,international-sangman,Death Roads & Spirit Ways,4:28,The cosmic clock winds down
40,BREAK
41,Strung With Everything,Animal Collective,animal-collective,Time Skiffs,6:56,It all eventually amalgamates
