sequence,song,artist,artist_slug,album,time,notes
1,World Full of Cops,Paleface,paleface,Paleface,3:02,Just about sums it up
2,BREAK
3,Chief of Police,Ghost of Vroom,ghost-of-vroom,Ghost of Vroom 2,3:07,Smoking hashish cigarettes with his wife
4,Car with the Star,Andre Williams,andre-williams,Silky,3:45,Run run run
5,I Shot The Sheriff,Bob Marley & The Wailers,bob-marley-wailers,Legend,4:41,Archetypical
6,Policeman,Mosquitos,mosquitos,Mosquitos,1:55,Don’t call the emergency line
7,BREAK
8,Do Policemen Sing?,Robyn Hitchcock,robyn-hitchcock,Black Snake Dîamond Röle,3:39,And other questions on the species
9,"Listen to this Song, Kill Pigs, and Try to Sue Me",Heavy Vegetable,heavy-vegetable,The Amazing Undersea Adventures of Aqua Kitty and Friends,2:31,Not legal advice
10,He Do the Police In Different Voices,The Loud Family,loud-family,Plants and Birds and Rocks and Things,2:30,Fast forward
11,Johnny Law,Wayne Hancock,wayne-hancock,Swing Time,3:43,Haulin’ on that double-bass
12,BREAK
13,Call the Police,Oblivians,oblivians,Desperation,3:33,Sometimes it’s good advice
14,Scene Of The Crime,S Squad,s-squad,Los Angeles Post-Punk (Volume 1),2:37,Frantic about it
15,things to say to friendly policemen,Future Of The Left,future-of-left,How To Stop Your Brain In An Accident,1:42,"Again, not legal advice"
16,Life Of Crime,Break Up!,break-up,She Went Black,2:39,Enjoy it while you can
17,BREAK
18,Secret Agent Man,Devo,devo,Duty Now For The Future [2008 Remaster],3:38,Live a life of danger!
19,Cop Dream / Black Eye (True Story),Spider Bags,spider-bags,Someday Everything Will Be Fine,0:59,Don’t blink / can’t blink
20,Caught By The Fuzz,Supergrass,supergrass,I Should Coco,2:17,A twisted fate!
21,Police On My Back,The Clash,clash,Sandinista! (Disc 2),3:17,Hearing the sirens
22,BREAK
23,Karma Police,Radiohead,radiohead,Karma Police (Disc 2),4:24,Unavoidable
24,Police Beat,The Dirtmitts,dirtmitts,The Dirtmitts,4:52,It’s off a bit
25,Donut,Optiganally Yours,optiganally-yours,Exclusively Talentmaker!,2:14,Finally found the quarter
26,Keystone Cops,Lizard Music,lizard-music,Arizone!,3:06,Happily incompetent
27,Detective of Crime,The Minders,minders,Psychedelic Blacktop,3:00,Looking for clues
28,BREAK
29,Good Cop Bad Cop,Shadowy Men on a Shadowy Planet,shadowy-men-on-a-shadowy-planet,Savvy Show Stoppers,2:31,It’s the classic dance
30,Caught By the Fuzz (2015 - Remaster),Supergrass,supergrass,The Strange Ones: 1994-2008,2:19,
31,Secret Canine Agent,Viagra Boys,viagra-boys,Welfare Jazz,1:45,Never mind the glitching
32,The Man From U.N.C.L.E.,Man Or Astro-man?,man-or-astro-man,Project Infinity,1:35,Do not trust The Man
33,BREAK
34,Police Truck,The Didjits,didjits,Virus 100 (A Dead Kennedys Tribute),2:18,Originally from the Dead Kennedys
35,I Fought The Law,The Clash,clash,,2:41,Originally from the Bobby Fuller Four
36,Police and Thieves,Junior Murvin,junior-murvin,Police And Thieves,3:53,Eventually covered by the Clash
37,Breaking The Law,Motörhead,motorhead,Under Cöver,2:33,Originally from Judas Priest
38,BREAK
39,Lady Cop/Take Me In,The Bobs,bobs,Shut Up And Sing,3:34,Quite the dream
40,Mujer Policia,Los Amigos Invisibles,los-amigos-invisibles,Arepa 3000,4:08,Mejor que la vecina
41,Women Police in England,Mighty Terror,mighty-terror,"London Is the Place for Me 5: Latin, Jazz, Calypso and Highlife from Young Black London",2:44,High aspirations
42,Police Woman,Hepcat,hepcat,Out Of Nowhere,4:17,It's universal
43,BREAK
44,Bad Cop,Sonny Smith,sonny-smith,Fruitvale,4:37,Avoid at all costs
45,Pitfalls in Serving Warrants (Acoustic),Melvins,melvins,Five Legged Dog,2:49,An interesting twist
46,Crime Wave Rock,Escape-ism,escape-ism,Introduction to Escape-Ism,2:47,Coming to your town
47,Donuts Only,Parquet Courts,parquet-courts,Light Up Gold,1:21,More donuts!
48,BREAK
49,Put The Waterbug In The Policeman's Ear,The Flaming Lips,flaming-lips,Heady Nuggs 20 Years After Clouds Taste Metallic 1994-1997,5:20,What an origin story
50,The Policeman's Not Your Friend,Karl Hendricks Trio,karl-hendricks-trio,Declare Your Weapons,3:32,Keep your secrets safe
51,Cops With Books,Sparrow,sparrow,Poemfone: New Word Order,0:48,A cautionary tale
52,The Pig Was Cool,Killdozer,killdozer,Uncompromising War On Art Under The Dictatorship Of The Proletariat,5:38,That’s some good shit!
53,BREAK
54,Police Station Assault,Robert Rodriguez,robert-rodriguez,Grindhouse: Planet Terror,1:34,The zombies are coming
55,Cops Copulating,Electrocute,electrocute,Troublesome Bubblegum,2:31,Fascinating
56,"Hello Dad, I'm In Jail",Was (Not Was),was-not-was,,1:26,Happy birthday!
57,BREAK
58,Neighborhood Watch (We Call Police),Emperor Penguin,emperor-penguin,Damn,3:50,They have their eyes on you
59,Police Action,John Carpenter,john-carpenter,Escape From New York - Expanded Soundtrack,2:27,Carpenteresque
60,Art Police,Le Hammond Inferno,le-hammond-inferno,My First Political Dance Album,4:14,Art crimes division
61,Police & Helicopter feat. Seanie  T,Dubinator ,dubinator,Police In Helicopter,4:14,A distressing combination
62,BREAK
63,Acid Police,Boredoms,boredoms,,4:55,The perfect ringtone does not ex…
