sequence,song,artist,artist_slug,album,time,notes
1,Maggot Brain,Volebeats,volebeats,"Making Singles, Drinking Doubles",6:16,Originally from Funkadelic
2,BREAK
3,Margaritaville Part II,Scarves,scarves,Delicate Creatures,3:15,Going out to Dylan
4,Beatopia Cultsong,beabadoobee,beabadoobee,Beatopia,2:32,Hazy awakening
5,I Got The Hots,The Soft Boys,soft-boys,Underwater Moonlight,4:43,Getting the hungrys
6,BREAK
7,Hey Like A Child,Kurt Vile,kurt-vile,(watch my moves),5:46,It’s the Vile Wooze
8,Alive Twice,Friendship,friendship,Love the Stranger,2:49,Full of lovely tremolo
9,That's Where I Am,Maggie Rogers,maggie-rogers,Surrender,4:13,Brimming with stutter
10,BREAK
11,Unspeakable Things,Kiwi jr.,kiwi-jr,Chopper,3:29,Let us sing of them
12,Here Comes the Rain,Blue Skies for Black Hearts,blue-skies-for-black-hearts,,3:06,Wonderful sky-water
13,Brave,Momma,momma,Household Name,3:57,Silk and sandpaper
14,BREAK
15,Marijuana's a Working Woman,Of Montreal,of-montreal,Freewave Lucifer f<ck f^ck f>ck,5:27,Hard-working
16,Pretty Little Lies,The Smithereens,smithereens,The Lost Album,2:46,Found at last
17,"Searching for Soul, Pt. 1",Jake Wade & The Soul Searchers,jake-wade-soul-searchers,These Are the Breaks,2:40,Hot bazz
18,BREAK
19,The Way It Shatters,Rolling Blackouts Coastal Fever,rolling-blackouts-coastal-fever,Endless Rooms,4:22,In a million pieces
20,6L GTR,The Chats,chats,Get Fucked,2:05,You will never catch up
21,Son Of A Gun,The Vaselines,vaselines,,3:42,Insanely catchy
22,"Hello, Hi",Ty Segall,ty-segall,"Hello, Hi",2:47,Crashing thunderous
23,BREAK
24,Rock Bottom,Kevin Morby,kevin-morby,This Is A Photograph,2:44,Can’t go lower
25,Better Yet,The Sadies,sadies,Colder Streams,2:59,On fire
26,Weeds,Beach Bunny,beach-bunny,Emotional Creature,3:23,Ray of sunshine
27,BREAK
28,Extra Cosmic,Panda Riot,panda-riot,Extra Cosmic,4:44,Pulsating waves of bliss
29,TVC 15,David Bowie,david-bowie,Station To Station [2016 Reissue],5:35,In a playful mood
30,"Bring On The Night (Live From Hong Kong, 1980)",The Police,police,Around The World,5:50,Legendary
31,BREAK
32,Anything And Everywhere,LMNOP,lmnop,Whatnop Donw7,3:12,The off kilter persists
33,Here Comes My Baby,Yo La Tengo,yo-la-tengo,,2:34,Originally from Cat Stevens
34,Colonel Enrique Adolfo Bermudez,Camper Van Beethoven,camper-van-beethoven,Telephone Free Landslide Victory,2:10,Military time
35,Captain Sensible Calling,Nanuchka,nanuchka,Drink the Best Wine First,3:57,Say wot
36,BREAK
37,Big Boy,Viagra Boys feat. Jason Williamson,viagra-boys-feat-jason-williamson,Cave World,5:31,Quite
38,"1,2,3,4,5,7,11!",The Mattoid,mattoid,Great Lovers,2:35,It all adds up
39,3 Laws (Abolished),Servotron,servotron,No Room For Humans,2:32,Let a thousand AIs blossom
40,BREAK
41,A Painted Pantomime Dame,The William Loveday Intention,william-loveday-intention,The Baptiser,7:06,Tales of glory
42,Too Late For Suicide,Osees,osees,A Foul Form,3:30,The sirens persist
43,Venomous Dogma,Fantastic Negrito,fantastic-negrito,White Jesus Black Problems,5:32,Orchestral insinuations
44,After Hours,Delicate Steve,delicate-steve,After Hours,3:27,Say it with strings
45,BREAK
46,Beneath The Heat (ft. Emiliana Torrini),Kid Koala,kid-koala,Music To Draw To: Satellite,5:04,Chilled out
47,Take the Red Pill,B. Fleischmann,b-fleischmann,Music for Shared Rooms,4:15,It's strawberry
48,La La La,Mexican Institute of Sound,mexican-institute-of-sound,,2:49,Good times!
49,Gettin’ to the Point,Panda Bear & Sonic Boom,panda-bear-sonic-boom,Reset,2:30,"Brilliant, lads"
50,BREAK
51,1960,MASS OF THE FERMENTING DREGS,mass-of-fermenting-dregs,Awakening:Sleeping,8:28,This is a journey
