sequence,song,artist,artist_slug,album,time,notes
1,Provisional,Bodega,bodega,Xtra Equipment,3:04,Originally from Fugazi
2,BREAK
3,Without U.,Sleepyhead,sleepyhead,New Alchemy,3:44,All the pop twisties
4,European Dreams,Push Kings,push-kings,Push Kings,3:39,"Also, fragrant creams"
5,Callin Me,Momma,momma,Household Name,2:52,Driving and swerving
6,The New Breed,Golden Shoulders,golden-shoulders,Friendship Is Deep,3:12,Pulling flowers to get the weeds
7,BREAK
8,I Want To Listen,The Beths,beths,Expert in a Dying Field,2:13,A meandering melody and more
9,You’re here that’s the thing,beabadoobee,beabadoobee,Beatopia,3:19,Whispering in the bedroom
10,Don't Leave Me Blue,The Blue Van,blue-van,Dear Independence,3:32,Straight outta Denmark
11,Give It Hell,Yumi Zouma,yumi-zouma,Present Tense,3:25,Winding down at the nightclub
12,BREAK
13,Don't Book Me,Buttering Trio,buttering-trio,Foursome,3:15,For the jazz-heads
14,Loser,Beck,beck,Mellow Gold,3:56,Ultimate slackfest
15,Face the World With Pride,The Smithereens,smithereens,The Lost Album,3:47,In a retro mood
16,Friends and Lovers,Rita Marley,rita-marley,Studio One Women Vol. 2,3:06,A lovely sentiment
17,BREAK
18,Parasite II,Kiwi jr.,kiwi-jr,Chopper,2:37,Fresh feelings of paranoia
19,Cement,Ty Segall,ty-segall,"Hello, Hi",2:25,Slow burning
20,Funeral Solution,Osees,osees,A Foul Form,1:53,Harsh intrusions
21,Don't call me Mojo (呼ばんといて喪女),Otoboke Beaver,otoboke-beaver,SUPER CHAMPON スーパーチャンポン,1:39,Seriously
22,BREAK
23,Disappearing,Kevin Morby,kevin-morby,This Is A Photograph,3:28,Felling horizontal
24,Sirens of Titan,Tim Heidecker,tim-heidecker,High School,3:28,Nostalgic overload
25,California Time,Chris Murray,chris-murray,4-Trackaganza!,4:07,About an hour behind us
26,Honey Num,Secret Monkey Weekend,secret-monkey-weekend,All the Time in the World,3:32,Sweet sweet nonsense
27,BREAK
28,Gonna Lose,Built To Spill,built-to-spill,When The Wind Forgets Your Name,2:33,Still spilling
29,Star Spangled Banger,Panic! at the Disco,panic-at-disco,Viva Las Vengeance,3:10,Gotta love the Thin Lizzy tribute
30,Slack Angst,Amazing Blazak,amazing-blazak,,3:57,Remembering the day
31,Tomorrow's Gonna Be Another Day,The Sons Of Adam,sons-of-adam,Saturday's Sons | The Complete Recordings: 1964-1966,2:17,Optimism wins
32,BREAK
33,SugarMan,Regina Spektor,regina-spektor,"Home, before and after",4:35,Don’t let the sweetness fool you
34,Message to Belial,The Sadies,sadies,Colder Streams,3:16,A fleeting waltz
35,Voodoo Doll,Bayonet,bayonet,Crash Boom Bang!,3:36,Quite cursed
36,Will My Feet Still Carry Me Home,Elf Power,elf-power,A Dream in Sound,3:12,Feeling the swoops
37,BREAK
38,Jennifer's Gone,Wand,wand,Laughing Matter,3:02,A hymn for the absent
39,Charlton Heston,Stump,stump,A Fierce Pancake,3:22,Lights camel action!
40,Big Ten Inch Record,Bullmoose Jackson,bullmoose-jackson,,2:13,That significant pause
41,Gandys,Sure Fire Soul Ensemble,sure-fire-soul-ensemble,Step Down,3:04,Copshow themesong
42,BREAK
43,The Price Of Smokes,The Chats,chats,Get Fucked,3:42,Outrageous
44,Any Trash Professor Abacus?,Torpedo Boyz,torpedo-boyz,Headache Instrumentals,4:14,Groovy sanitation
45,Punk Rock Loser,Viagra Boys,viagra-boys,Cave World,3:58,Quite loose
46,A Tear for Eddie,Ween,ween,Chocolate and Cheese,4:48,Instrumental honey
47,BREAK
48,Golden Air,Sun's Signature,sun-s-signature,Sun's Signature,5:43,Communicating with dolphins
49,Part 11,Buck 65,buck-65,King Of Drums,2:29,Dirty fragments
50,Kelly Watch the Stars,Dave Depper,dave-depper,Moon Safari,4:00,Originally from Air
51,BREAK
52,Danger,Panda Bear & Sonic Boom,panda-bear-sonic-boom,Reset,5:38,Interlocking talents
53,Flying,Death In Vegas,death-in-vegas,NME Presents Might Club,7:07,"Take-off, cruising, and landing"
54,Love Truncheon,Eat Static,eat-static,,4:33,Whack ‘em good
55,BREAK
56,Tunak Tunak Tun,Red Baraat,red-baraat,Bhangra Pirates,5:24,"Madness, I tell you"
