sequence,song,artist,artist_slug,album,time,notes
1,I Started a Joke,Low,low,A Lifetime of Temporary Relief - 10 Years of B-Sides & Rarities,4:28,"Farewell, Mimi Parker"
2,BREAK
3,I Want Some,The Make-Up,make-up,,2:43,Ooo. Aaa.
4,Turnip's Big Move,The Greyboy All Stars,greyboy-all-stars,A Town Called Earth,4:23,"A slinky move, no doubt"
5,Move It Girl,Mento Buru,mento-buru,This Are Moon Ska vol. II,3:36,Throwback rocksteady
6,BREAK
7,Good Morning Coffee,Seth Avett,seth-avett,Seth Avett Sings Greg Brown,3:24,If you can navigate through the chi
8,Low Beat,Young Fresh Fellows,young-fresh-fellows,It's Low Beat Time,2:31,Getting way way down
9,Look Sharp,Joe Jackson,joe-jackson,Look Sharp!,3:22,It’s a survival skill
10,Karaoke,Cass McCombs,cass-mccombs,Heartmind,3:42,Singing along like you mean it
11,BREAK
12,Never Again,The Zulus,zulus,Down On The Floor,3:36,All about your old tricks
13,The Wild One,Suzi Quatro,suzi-quatro,Essential,2:52,The original
14,I Was On The Moon,Apollo Sunshine,apollo-sunshine,Katonah,4:15,A giant leap
15,BREAK
16,Saturdays,Broken Bells,broken-bells,Into The Blue,3:07,It’s Manchester all over again
17,Night Owl,Delicate Steve,delicate-steve,After Hours,2:30,Up all night
18,Do Not Forsake Me Billy Bremner,Shibboleth,shibboleth,Experiment In Error,2:44,Hard to forget such a sound
19,a13,Adrian Belew,adrian-belew,elevator,3:17,Rolling at a breakneck pace
20,BREAK
21,No Blade Of Grass,Bodega,bodega,Xtra Equipment,3:38,Gritty city committee
22,Drama Queen,Switches,switches,,2:57,Very dramatic
23,Joyride,Bad Breeding,bad-breeding,Human Capital,3:15,Implacable
24,ADD,Viagra Boys,viagra-boys,Cave World,3:37,"Sorry, wasn’t listening"
25,BREAK
26,1000%,Panda Riot,panda-riot,Extra Cosmic,3:28,Sweet fuxx
27,Blank Expression,The Specials,specials,The Specials,2:45,Looking quite confused
28,Monkey Trick,The Jesus Lizard,jesus-lizard,Bang! (Singles Compilation),4:36,Heavy and live
29,MELT,MASS OF THE FERMENTING DREGS,mass-of-fermenting-dregs,Awakening:Sleeping,3:11,Does it doom?
30,BREAK
31,Orange,Metal Molly,metal-molly,Surgery for Zebra,4:25,Fuzzed bass FTW
32,Here Comes Your Man,Heather Nova,heather-nova,Other Shores,2:51,Originally from Pixies
33,Cool,Thou,thou,Put Us In Tune,2:17,Waiting for that breakdown
34,BREAK
35,Compact Flashes,No Age,no-age,People Helping People,3:35,Bring the drone
36,Cherry Pink And Apple Blossom White,Perez Prado & His Orchestra,perez-prado-his-orchestra,,3:01,Such a lewd trumpet
37,Memories,Waldeck,waldeck,,3:51,For a rainy midnight
38,As'i Es la Vida,Tayfun Karatekin,tayfun-karatekin,Turkish Jazz and Funk / Istanbul,3:33,Exotic yet familiar
39,BREAK
40,Joysfully,The Mattoid,mattoid,Great Lovers,2:18,It’s the way to live
41,Tiger Rag,1920's Wurlitzer Carousel Organ,1920-s-wurlitzer-carousel-organ,"Carousel Organ Varieties, Vol. 1",2:32,Hold that tiger!
42,My Horse Likes You,Bonaparte,bonaparte,My Horse Likes You,3:16,And I like you too
43,Fuego,Bomba Estereo,bomba-estereo,,4:37,Flames about this high
44,BREAK
45,Second Avenue,Eszter Balint,eszter-balint,I HATE MEMORY,4:19,Fractured memories
46,Un Día,Juana Molina,juana-molina,,5:35,You can’t ignore the siren call
47,One Wild Moment (Stereolab Remix),The Pastels,pastels,,4:59,Bubbles and slides
48,BREAK
49,Walk In The Stratosphere,Kim & Buran,kim-buran,Tramplin,4:57,Keeping it analog
50,Or Perhaps You Imagined It All,Kramer,kramer,Music For Films Edited By Moths,3:43,But it was actually real
51,The North Star,Shen,shen,Tia Tua,7:04,Dark undercurrents
52,BREAK
53,Left Hand Free (Johnson Somerset Remix),Alt-J,alt-j,This Is All Yours Too EP,8:18,Extending the digits
