sequence,song,artist,artist_slug,album,time,notes
1,Relax Baby Be Cool,Stereo Total,stereo-total,Paris-Berlin,2:32,Originally from Serge Gainsbourg
2,BREAK
3,Matador Bell,doubleVee,doublevee,Treat Her Strangely,3:32,With trumpets!
4,Adios Amiga,Gliss,gliss,,3:28,Sliding mayhem
5,Belinda Says,Alvvays,alvvays,Blue Rev,2:45,An oceanic racket
6,BREAK
7,The Concubine,Black Lips,black-lips,Apocalypse Love,3:31,Quite a jaunty feeling
8,Run On,Moby,moby,Play,3:45,"Let the spin drone, drone spinner"
9,When We Are Together,The 1975,1975,Being Funny In A Foreign Language,3:37,Smoldering in the ashtray
10,This Is What It Feels Like,Beachwood Sparks,beachwood-sparks,Beachwood Deluxe,4:55,Join the reality
11,BREAK
12,Daytona Demon,Suzi Quatro,suzi-quatro,Essential,4:01,"Go fast, even faster"
13,U Got What I Need (Shake),Ex-Models,ex-models,,0:37,Do not blink
14,Record Stack,Fluid Ounces,fluid-ounces,The Whole Shebang,3:32,Bring the groovy hi fi
15,T-Rex,Jascha Ephraim,jascha-ephraim,,2:23,For the dinosaur lovers
16,BREAK
17,El Muchacho De Los Ojos Tristes (feat. Tita),Adrian Quesada,adrian-quesada,Boleros Psicodélicos,3:41,Tune in to some Mexican radio
18,I'm Gonna Put It On,The Wailers,wailers,Reggae Rehab,3:08,Very antiquated
19,Skin Deep,Tracy Spuehler,tracy-spuehler,It's the Sound,3:15,Come back Tracy
20,Venus,Low,low,A Lifetime of Temporary Relief - 10 Years of B-Sides & Rarities,3:45,Feeling spry
21,BREAK
22,"Talk to Me, Talk to Me",Belle & Sebastian,belle-sebastian,A Bit of Previous,4:27,Communication is important
23,The Vis-Art Song,Evil Wiener,evil-wiener,,3:47,A GOOD CUSTOMER WITH A DISTORTION PEDAL
24,New Earth,Cass McCombs,cass-mccombs,Heartmind,4:11,A gentle planet
25,BREAK
26,Zeros as Round as the World,Rubblebucket,rubblebucket,Earth Worship,4:11,Something is right
27,Now You Know,Blithe,blithe,Verse Chorus Verse,3:25,Doorway to Norway
28,No Information,The Fastbacks,fastbacks,New Mansions In Sound,2:42,Seattle’s finest
29,The Fits,International Beat,international-beat,,3:10,A Jamaican standard
30,BREAK
31,Heart Attack Days,Rhett Miller,rhett-miller,,4:26,Steady with the beat
32,Mice,Johnny Society,johnny-society,Clairvoyance,2:50,Unacknowledged greatness
33,"Bend Me, Shape Me",The Rubinoos,rubinoos,Crimes Against Music,2:59,Classic moves
34,Valerie Flames,The Starlight Mints,starlight-mints,Dream That Stuff Was Made Of,3:28,Grinding to a conclusion
35,BREAK
36,Thrown,Bodega,bodega,Xtra Equipment,2:48,A manifest of characters
37,Jet Girl,The Wedding Present,wedding-present,,2:25,The subdued version
38,Secret Door,Arctic Monkeys,arctic-monkeys,,3:43,A yearning sound
39,I Saw You Dancing,Witch Fever,witch-fever,Congregation,3:51,Unsolved crimes
40,BREAK
41,Angry Girl (CHAI Version),Confidence Man,confidence-man,RE-TILT,2:50,You done messed up
42,Salsa & Microchips,DJ Me DJ You,dj-me-dj-you,,4:41,Muy spicy
43,Soon You Die,Goat,goat,Oh Death,4:35,It’s a heavy world
44,Art Bodega Nation,Eszter Balint,eszter-balint,,4:10,An outside perspective
45,BREAK
46,Mycelium,King Gizzard & The Lizard Wizard,king-gizzard-lizard-wizard,"Ice, Death, Planets, Lungs, Mushrooms and Lava",7:34,Journey with the fungus
47,Sacrifice,Osees,osees,A Foul Form,0:58,Over before you know it
48,Poop Ship Destroyer,Ween,ween,Pure Guava,2:17,Let’s cruise
49,Friday (Take 73),Carl King,carl-king,,4:00,Understated
50,BREAK
51,linger on,we are wood,we-are-wood,"violence, drugs and love",5:39,It’s not moving on
52,Eraserhead,Bruce McCulloch,bruce-mcculloch,Shame-Based Man,3:09,What a life
53,Syria,Shen,shen,Tia Tua,6:01,Throbbing soundscapes
54,BREAK
55,Red Helicopters,Eighty Mile Beach,eighty-mile-beach,Inclement Weather,6:05,Piano stumbles
