sequence,song,artist,artist_slug,album,time,notes
1,Immigrant Song,Sex Clark Five,sex-clark-five,Whos Lunch,2:23,Originally from Led Zeppelin
2,BREAK
3,Christmas With The Devil,Spinal Tap,spinal-tap,,4:34,Yule be sorry
4,Aveda,Hot Hot Heat,hot-hot-heat,Make Up The Breakdown (Deluxe Remastered),2:50,Still fresh all these years later
5,Stolen Valor,Black Lips,black-lips,Apocalypse Love,2:56,Brutal honesty
6,BREAK
7,Mote Controller,Mamalarky,mamalarky,Pocket Fantasy,3:02,Sparkling in a sunbeam
8,Rose Garden,Smack Dab,smack-dab,,2:11,Strange fantastics
9,Happy Birthday,United Future Organization,united-future-organization,Bon Voyage,4:45,Bring out the sad clowns!
10,Whip,Dim Dim,dim-dim,Whip,3:23,Loop du jour
11,BREAK
12,Lazy Susan,Railroad Jerk,railroad-jerk,Masterpiecemeal,3:37,Spinning around and around
13,Blue-Eyed Devil,Low,low,A Lifetime of Temporary Relief - 10 Years of B-Sides & Rarities,5:02,Originally from Soul Coughing
14,Bullied,Diane Coffee,diane-coffee,With People,2:59,Swinging smoothly
15,BREAK
16,Bowevil,Bill Callahan,bill-callahan,YTI⅃AƎЯ,4:00,A dangerous pest
17,Honky Tonk Bound,The Lucky Stars,lucky-stars,Hollywood & Western,2:27,If you don’t like my Saturday nights
18,8 Piece Box,Southern Culture On The Skids,southern-culture-on-skids,Dirt Track Date,4:02,Save some for later
19,Goodnight Tonight (Single Version),Wings,wings,"The 7"" Singles",4:22,That bass line…
20,BREAK
21,Young and Stupid,Belle & Sebastian,belle-sebastian,A Bit of Previous,2:55,Those were the days
22,Walk Of A Gurl,Preston School Of Industry,preston-school-of-industry,Monsoon,4:23,In those Blundstones
23,Carnival Of Souls,Pascal Comelade + Les Liminanas,pascal-comelade-les-liminanas,Traite De Guitarres Triolectiques,3:23,Down at the fairgrounds
24,BREAK
25,Cherry Blossom,Rubblebucket,rubblebucket,Earth Worship,3:20,Saving it for April
26,Ghost Face,The Valentine Six,valentine-six,,2:34,Calm in the storm
27,penetration,the pyramids,pyramids,penetration! the best of the pyramids,2:01,Revisiting the original sound
28,Jimmy Legs,The Low Frequency In Stereo,low-frequency-in-stereo,The Last Temptation Of... Vol 1,3:42,Quit your twitching
29,BREAK
30,Denim & Diamonds,Nikki Lane,nikki-lane,Denim & Diamonds,3:12,Easy swagger
31,Scissor Runner,Jenny and Johnny,jenny-johnny,,3:00,Be careful there!
32,L.O.V.E.,VV Brown,vv-brown,Travelling Like The Light,2:58,What kind of mixup is this?
33,Loud Love,The Pretty Reckless,pretty-reckless,Other Worlds,4:56,Originally from Soundgarden
34,BREAK
35,Mañana,Abraxas,abraxas,Monte Carlo,3:38,A harsh and dry life
36,Move On Up,Devon Russell,devon-russell,Soul Jazz Records presents DISCO REGGAE ROCKERS,3:51,Disco reggae is the answer
37,Saints And Dates,Koby Israelite,koby-israelite,Dance Of The Idiots,3:38,Another carnival of souls
38,War Ina Babylon,Max Romeo,max-romeo,Tougher Than Tough: The Story Of Jamaican Music,4:04,
39,BREAK
40,Organism,The New Mastersounds,new-mastersounds,The Deplar Effect,4:05,Cops behind the wheel
41,Sonnymoon for Two,Eddie Harris,eddie-harris,A Tale Of Two Cities,5:03,Scat sandwich
42,Cassiopeia's Chair,The Greyboy All Stars,greyboy-all-stars,A Town Called Earth,6:02,Always room for boogaloo
43,BREAK
44,We Let It In,Brian Eno,brian-eno,FOREVERANDEVERNOMORE,3:28,Feel the eno
45,Shortcut,Hissanol,hissanol,4th and Back,2:28,We interrupt this message
46,Wax,Subthunk,subthunk,Just A Few Notes Before You Go,5:20,Gliding through the changes
47,BREAK
48,Gemini Acoustic,Nick Cave & Warren Ellis,nick-cave-warren-ellis,Blonde,6:05,Filled to the brim
49,What I Always Wanted,Swell,swell,,5:00,Intensely brooding
50,BREAK
51,Pric,Super Furry Animals,super-furry-animals,,9:53,An engrossing finale
