sequence,song,artist,artist_slug,album,time,notes
1,Los Angeles,The Streetwalkin' Cheetahs,streetwalkin-cheetahs,All The Covers (And More),2:20,Originally from X
2,BREAK
3,"Old Man (Intro, Live)",Neil Young,neil-young,Harvest (50th Anniversary Edition),0:30,
4,Old Man (Live),Neil Young,neil-young,Harvest (50th Anniversary Edition),3:38,With an excellent introduction
5,Last One At The Party,Bill Callahan,bill-callahan,YTI⅃AƎЯ,4:03,It’s getting late
6,Victoria,Sex Clark Five,sex-clark-five,Whos Lunch,1:47,More tribute to the greatest Queen
7,BREAK
8,The Shuffle Man,Robyn Hitchcock,robyn-hitchcock,Shufflemania!,2:38,A bit of a random codger
9,Haze of Love,Cake,cake,Motorcade of Generosity,3:08,It’s clearing up
10,Science Fiction Double Feature,Chris Murray,chris-murray,4-Trackaganza!,4:08,If you know
11,Undertow,The Super Friendz,super-friendz,Sticktoitiveness,3:06,The sound of indie Canada
12,BREAK
13,This Town,Hot Hot Heat,hot-hot-heat,Make Up The Breakdown (Deluxe Remastered),3:09,Painting it red
14,Scooba Dooba Diver,King Kong,king-kong,Funny Farm,3:45,Surf and turf
15,Lakeside Trailer Park,Beat Farmers,beat-farmers,,2:01,Your happy place
16,Mr. Blue Sky,Electric Light Orchestra,electric-light-orchestra,,5:06,Another day in the life
17,BREAK
18,Earth Worship,Rubblebucket,rubblebucket,Earth Worship,3:38,For the longest time
19,Sweetback's Gonna Make It,John Wilkes Booze,john-wilkes-booze,Five Pillars of Soul,3:19,Frantically speaking
20,Pass It Down,Nikki Lane,nikki-lane,Denim & Diamonds,3:03,It's a feeling
21,Don't Mind,Railroad Jerk,railroad-jerk,Masterpiecemeal,3:55,Not at all
22,BREAK
23,Beat Of The Drum,2nd Grade,2nd-grade,Easy Listening,2:40,Incessant
24,God Is A Young Man,Johnny Sangster And Robb Benson,johnny-sangster-robb-benson,Sangster Meets Benson/Benson Meets Sangster,4:06,"A brat, even"
25,My Baby Don’t,The Shivas,shivas,Feels So Good / Feels So Bad,3:37,Step on the gas
26,The Kids,1990s,1990s,,2:35,Youth these days
27,BREAK
28,(I Am) Starfire (feat. Micae),Fancey,fancey,Star Dreams,3:48,Fire up the time machines
29,With A Little Luck (DJ Edit),Wings,wings,"The 7"" Singles",3:14,AM sounds
30,Silly Love Songs (2014 Remaster),Paul McCartney & Wings,paul-mccartney-wings,"The 7"" Singles",5:55,The bubbliest bass line
31,Writer's Block,Just Jack,just-jack,Overtones,3:44,An update
32,BREAK
33,Already There,Rhett Miller,rhett-miller,The Misfit,4:36,Not the escape you were hoping for
34,Nothing in this World Can Stop Me Worrin' Bout that Girl,The Kinks,kinks,Rushmore,2:42,In a mood
35,Violet,Mellow,mellow,Another Mellow Summer,2:07,A little bit of something
36,BREAK
37,Your Man's No Good,Ghost Funk Orchestra,ghost-funk-orchestra,A New Kind Of Love,3:18,The full treatment
38,Harpoon Fever (Queequeg's Playhouse),Man Man,man-man,,3:20,Welcome to the broken midway
39,The Diggers' Waltz,Tommy Emmanuel,tommy-emmanuel,,3:32,From a real CGP
40,Message To You Rudy,The Specials,specials,,2:53,Always a good start for the year
41,BREAK
42,I am not maternal (アイドンビリーブマイ母性),Otoboke Beaver,otoboke-beaver,SUPER CHAMPON スーパーチャンポン,2:05,Not in the very least
43,Delicate Creatures,Scarves,scarves,Delicate Creatures,4:43,Jagged approaches
44,12,Witch Fever,witch-fever,Congregation,2:10,Whooping fever
45,"Unwrap the Fiend, Pt. 2",Thee Oh Sees,thee-oh-sees,A Weird Exits,4:29,A fine present
46,BREAK
47,Time,Arca,arca,Kick,2:46,Scintillate and oscillate
48,Numbers,Kraftwerk,kraftwerk,,3:21,Keeping count
49,Posse Cut,Drugdealer,drugdealer,Hiding in Plain Sight,6:07,Late night jams
50,BREAK
51,I Love The Rain (Stormy Weather Mix),The Real Tuesday Weld,real-tuesday-weld,,4:06,How about that
52,Lagoona's Bliss (Elephant Mix),Live Human,live-human,,5:10,Scratching and pitching
53,Wind It Back,Phil Crumar,phil-crumar,As It Goes,3:38,For the sombrero wearers
54,Bad Brother,Ronny Jordan,ronny-jordan,,5:17,Jazzed out
55,BREAK
56,He's Seeing Paths,Parquet Courts,parquet-courts,Tally All The Things That You Broke,7:38,And wandering off
