sequence,song,artist,artist_slug,album,time,notes
1,Turning Japanese,Skankin' Pickle,skankin-pickle,Sing Along With Skankin' Pickle,3:12,Originally from the Vapors
2,BREAK
3,Hospital,Madison Cunningham,madison-cunningham,Revealer,3:33,Nice and wobbly
4,It's Raining,Quasi,quasi,The Sword Of God,3:10,Like you’re the only one who’s wet
5,He Needs Me,The A's,a-s,Fruit,3:21,Is it a lovely sentiment?
6,Stay Zombie Stay,Elvis Perkins,elvis-perkins,,3:04,Sometimes they can be good company
7,BREAK
8,Honeydrops Theme,The California Honeydrops,california-honeydrops,Soul Tub!,2:46,Every band should have a theme
9,Kabaluere,Antonio Carlos & Jocafi - Kabaluere,antonio-carlos-jocafi-kabaluere,Ultimate... Brazil,2:24,Tropidelic
10,Kusse Aus Der Holle Der Musik,Stereo Total,stereo-total,Paris <> Berlin,2:27,Come back Françoise
11,The Credits,Veps,veps,Oslo Park,3:02,Ice cold crystal clear
12,BREAK
13,The Ballad of Satan’s Bride,The Bad Ends,bad-ends,The Power and The Glory,4:35,Rumbling from below
14,Fight Test,The Flaming Lips,flaming-lips,Yoshimi Battles the Pink Robots (20th Anniversary Deluxe Edition),4:14,At their bouncy weirdest
15,Cover Of Rolling Stone,2nd Grade,2nd-grade,Easy Listening,1:14,Now you made it
16,Knock-Down Drag-Out,Weezer,weezer,Weezer,2:10,It’s the sound
17,BREAK
18,Rain Rain Nature Rain,Rubblebucket,rubblebucket,Earth Worship,3:05,More rain music
19,Pull The Curtains,Grandaddy,grandaddy,Excerpts from the Diary of Todd Zilla,3:00,Quite a fierce statement
20,Joni's Room,Gold Panda,gold-panda,The Work,3:18,Relax
21,We Are A & C,Arling + Cameron,arling-cameron,,4:02,Finding shade under the musical tree
22,BREAK
23,All That’s Left Of Me Is You,Vulfpeck,vulfpeck,Schvitz,2:53,It's an easy swagger
24,Give And Take,Coldspot 8,coldspot-8,It's the Feelgood,3:00,From Florida’s great ska wave
25,Let 'Em In (2014 Remaster),Paul McCartney & Wings,paul-mccartney-wings,"The 7"" Singles",5:11,An insistent sound
26,Come With Me,Marmoset,marmoset,Tea Tornado,2:53,Walking a narrow line
27,BREAK
28,Home To Me,Sharon Van Etten,sharon-van-etten,We've Been Going About This All Wrong,3:39,A voice like a tractor beam
29,"Talk to Me, Dance with Me",Hot Hot Heat,hot-hot-heat,Make Up The Breakdown (Deluxe Remastered),2:48,More cowbell
30,Dimestore Diamond,Gossip,gossip,,3:15,Pounding away
31,Scream,Beach Bunny,beach-bunny,Emotional Creature,4:05,Sounding like sunshine
32,BREAK
33,Car Alarm,Railroad Jerk,railroad-jerk,Masterpiecemeal,2:41,Playing along with the howls
34,99 Girls,Young Fresh Fellows,young-fresh-fellows,It's Low Beat Time,2:05,Redline with the Fellows
35,Girlfriend,Uptown Sinclair,uptown-sinclair,Uptown Sinclair,3:14,Dave Hill is a hero
36,Tongue-Clucking Grammarian,MC Frontalot,mc-frontalot,Final Boss,3:02,You know one
37,BREAK
38,Keep Your Name Alive,Sloan,sloan,Steady,3:43,An institution of Canadia
39,Heart of Gold,Neil Young,neil-young,Harvest (50th Anniversary Edition),3:07,It’s a timeless whine
40,Jeez Louise,Zumpano,zumpano,Look What the Rookie Did,3:28,Frantic complications
41,Tell Me When You're Ready,1990s,1990s,,2:43,“Soon”
42,BREAK
43,Super,Man Man,man-man,Tribute,4:53,Originally from New
44,Ara Pacis,Heaters,heaters,Baptistina,5:33,Drone on
45,Slave Ship Serenade,The Veldt,veldt,Entropy Is the Mainline to God,4:14,A triumphant return
46,BREAK
47,Planet of the Superkids,The Greyboy Allstars,greyboy-allstars,A Town Called Earth,5:32,Take me there
48,Riverside Drive,Gachupin,gachupin,Gachupín,5:01,All over the globe
49,While the City Sleeps,MC 900 Foot Jesus,mc-900-foot-jesus,Nettwerk: 30 Years of Music,5:28,Darkness inside and out
50,BREAK
51,Drums Of Death [Pt. 1] Instrum,DJ Shadow,dj-shadow,Def Beat Remixes Vol. 8,3:58,Flying on the faders
52,Cheney Piñata,The Bad Plus,bad-plus,Give,4:50,Whack it hard
53,Wandering Stars,Shantel,shantel,Planet Paprika,5:25,All over the firmaments
54,BREAK
55,Welcome To Lunar Industries,Clint Mansell,clint-mansell,Moon (Original Motion Picture Soundtrack),7:11,You will love it here
