sequence,song,artist,artist_slug,album,time,notes
1,Human Fly,2 Many DJs,2-many-djs,,1:33,Originally from the Cramps
2,BREAK
3,YAKITORI,Otoboke Beaver,otoboke-beaver,SUPER CHAMPON,1:44,Let it all out
4,Sonajeros,Dusminguet,dusminguet,Soy Sauce,3:40,Cataluñan all the way
5,Alocatel,Mexican Institute of Sound,mexican-institute-of-sound,Queens of the Stone Age,2:46,Que no suene a Pinfloid
6,Hispanic Impression,Queens Of The Stone Age,queens-of-stone-age,,3:43,Going back a ways
7,BREAK
8,IMPERIALISM (feat. Ashrita Kumar),Anti-Flag,anti-flag,LIES THEY TELL OUR CHILDREN,2:57,Time for a freakout
9,Fonz,Eugene McGuinness,eugene-mcguinness,Eugene McGuinness,2:20,Heyyyyyy
10,Wet Chems,Pet Shimmers,pet-shimmers,Anon Playable Cloud,4:06,More groovy dissonance
11,Stop,Frank and Walters,frank-walters,Beauty Becomes More Than Life,4:19,For John O’Bee and the Cork crew
12,BREAK
13,First Bird,Bill Callahan,bill-callahan,YTI⅃AƎЯ,5:01,Waiting for the spring
14,Ivan Ska,The Chandler Travis Philharmonic,chandler-travis-philharmonic,The Ivan Variations (re-mastered!),5:13,Two tone fire
15,Human Nature,Sloan,sloan,Steady,2:42,Canadia rock megastars
16,BREAK
17,Controlled Burn,2nd Grade,2nd-grade,Easy Listening,2:09,Tape warpage and spelling!
18,In,Ciao Bella,ciao-bella,1,2:13,I saw you kissing Jesus
19,Beer,Asylum Street Spankers,asylum-street-spankers,Spanker Madness,3:26,Don’t try this at home
20,Funky Town,"Lipps, Inc.",lipps-inc,,4:02,I can’t go for that
21,BREAK
22,Mile Marker 29,The Bad Ends,bad-ends,The Power and The Glory,3:43,The fire and emotion
23,Brazil,Arcade Fire,arcade-fire,Rebellion (Lies),3:56,Originally from Sergio Mendes
24,By Your Hand,Los Campesinos!,los-campesinos,Hello Sadness,4:08,Straight outta Wales
25,BREAK
26,Naked in the City Again,Hot Hot Heat,hot-hot-heat,Make Up The Breakdown (Deluxe Remastered),3:12,The very lost
27,EOL,Islands,islands,Vapours,3:22,Choose \n or \r
28,Questions And Answers,The Apples In Stereo,apples-in-stereo,Her Wallpaper Reverie,2:54,Going out to Floydgazi
29,Let Me Roll It,Paul McCartney & Wings,paul-mccartney-wings,"The 7"" Singles",4:51,Spark one up
30,BREAK
31,Watchu Want,The New Mastersounds,new-mastersounds,The Deplar Effect,2:41,Walk just like that
32,Trunk Fulla Amps,Self,self,Gizmodgery,3:26,Mother!
33,Number for Toots,All Mad Here,all-mad-here,Blue,3:24,Legit
34,Koniya,Orchestra Gold,orchestra-gold,,4:06,Pan-global melange
35,BREAK
36,Why I'm Grieving,The A's,a-s,Fruit,2:26,Flashback to Raising Arizona
37,I'm Phime,Slim Bawb,slim-bawb,Ghost Dawg,3:18,"Truly, OK"
38,Hassidish,Solomon + SoCalled,solomon-socalled,HipHopKhasene,3:03,Slice and dice
39,Es-so,Tune-Yards,tune-yards,,3:30,"The kilter, it’s off"
40,BREAK
41,Turnip's Big Move,The Greyboy Allstars,greyboy-allstars,A Town Called Earth,4:22,Watch me now
42,Just Got Paid,Ministry,ministry,,3:13,Originally from ZZ Top
43,I Wouldn't Want to Be Like You,The Alan Parsons Project,alan-parsons-project,I Robot,3:23,What a turnaround
44,BREAK
45,Under No Nation,Goat,goat,Oh Death,4:18,Join the tribe
46,Glory,Sault,sault,11,5:38,"Extra half-beat, just for you"
47,Monate Ke Monate,Toxicated Keys,toxicated-keys,From Thutlwane to the World,7:17,Quite casual
48,BREAK
49,K-Style Circut,The Royal Arctic Instittue,royal-arctic-instittue,From Coma To Catharsis,5:13,Winter surfing
50,Loteria,Drums and Tuba,drums-tuba,Box Fetish,5:29,Won it
51,Inkomo Zodwa,Miriam Makeba and the Skylarks,miriam-makeba-skylarks,"Les idoles de la musique africaine : Miriam Makeba, Vol. 3",2:27,Warming up the night
52,BREAK
53,Slow City,All Them Witches,all-them-witches,Baker's Dozen,12:36,Rolling through the stoplights
