sequence,song,artist,artist_slug,album,time,notes
1,Go!,Brainiac,brainiac,From Dayton Ohio,3:20,Expect the unexpected
2,BREAK
3,Portrait Of God,King Tuff,king-tuff,Smalltown Stardust,3:40,Smooth English roads
4,Dead End Road,Sonny Smith,sonny-smith,,2:02,Back in your town
5,Cry For Me,The California Honeydrops,california-honeydrops,Soul Tub!,3:30,Second line time
6,Rattlesnake Heartbreak,Miniature Tigers,miniature-tigers,Miniature Tigers,3:37,Poison and treacle
7,BREAK
8,We're Gonna Die in This House,Dan Ex Machina,dan-ex-machina,"All Is Ours, Nothing Is Theirs",3:34,"Waltzes and death, the perfect match"
9,Utopia Parkway,Fountains Of Wayne,fountains-of-wayne,Utopia Parkway,3:07,Part the clouds
10,Wild Boar Problem,Nevada Bachelors,nevada-bachelors,Carrots & So On,3:49,It’s real
11,Temporary Secretary,Paul McCartney,paul-mccartney,"The 7"" Singles",3:16,Sir Paul in a technological mood
12,BREAK
13,Monica,Railroad Jerk,railroad-jerk,Masterpiecemeal,3:16,Break out the toy chest
14,"She's Fine, She's Mine",Thee Headcoats,thee-headcoats,Knights Of The Baskervilles,3:20,Just strolling through
15,Money,Sault,sault,Today & Tomorrow,2:34,Frantic frantic frantic
16,Girl,Sex Clark Five,sex-clark-five,The Orange Album,1:32,More alternate timeline transmissions
17,BREAK
18,Buena,Morphine,morphine,Cure For Pain,3:19,Sandman’s low rumble
19,Creme Brulee,Shrimp Boat,shrimp-boat,Cavale,3:59,Doleful dessert
20,F! Is For Filth,Tracker,tracker,Blankets : Recordings for the Illustrated Novel,2:21,Yet somehow majestic
21,I Knew You Would Go,Aden,aden,Black Cow,1:50,A short hop back
22,BREAK
23,Been To The Mountain,Margo Price,margo-price,Strays,5:28,High altitudes
24,"Archie, Marry Me",Alvvays,alvvays,Alvvays,3:17,Lush sounds
25,That's Something I Do,The Apples In Stereo,apples-in-stereo,Velocity of Sound,2:29,Your friends hate my guts
26,Paperweight Machine,Fluid Ounces,fluid-ounces,The Whole Shebang,2:10,Elfmanesque
27,BREAK
28,Red Flagz,The Veldt,veldt,Entropy Is the Mainline to God,3:31,Grinding at its finest
29,Night Witch,Wolf People,wolf-people,Ruins,3:50,Quite prog
30,Queen of Ears,Quasi,quasi,Breaking the Balls of History,3:06,The pounding of the clav
31,Man Graves (Masculine Caskets),The Brokedowns,brokedowns,Maximum Khaki,3:00,"Fast, somewhat loose"
32,BREAK
33,Feel Loop (Lizard Dream),Gaz Coombes,gaz-coombes,Turn The Car Around,3:36,Dread loop
34,Llama,Phish,phish,,3:32,Tightly wrapped
35,Spend the Day,Sloan,sloan,Steady,2:31,The entire time
36,Jessica WJ,Cayucas,cayucas,Real Life,3:18,Quite catchy
37,BREAK
38,Camel Walk,Southern Culture On The Skids,southern-culture-on-skids,Dirt Track Date,2:37,Suitable for desert lifestyles
39,Faking It,The Vidalias,vidalias,Bubbapalooza Vol. 1: Chronicle Of The Redneck Underground,2:53,A common tale
40,Superstition,Stevie Wonder,stevie-wonder,Number Ones,4:29,Originally written for Jeff Beck
41,Where Is My Mind,Raz Ohara,raz-ohara,Realtime Voyeur,3:12,Tropical pixies
42,BREAK
43,Me Gusta,Los Blenders,los-blenders,Playa Privada Ep,3:13,Moving fast
44,Brain The Size of a Rock!,HisCheapMoves & The Real Dolls,hischeapmoves-real-dolls,,2:20,What the
45,Sinatra Drive Breakdown,Yo La Tengo,yo-la-tengo,This Stupid World,7:25,Bring the drones
46,BREAK
47,I Robot,The Alan Parsons Project,alan-parsons-project,I Robot,6:02,The verge of electronic music
48,Under Mi Sensi,Long Beach Dub Allstars,long-beach-dub-allstars,,4:21,Wikkyd version
49,Hey Baby,Mocean Worker,mocean-worker,Aural & Hearty,3:46,Hey
50,Keep Up The Good Work,Lowly,lowly,Keep Up The Good Work,5:41,Positive reinforcement
51,BREAK
52,Insults Sweet Like Treacle,SLuG,slug,Thy Socialite!,4:29,It’s complicated
53,Politics Of Free (Live),Woods,woods,Live At Third Man Records Tmr-384,3:33,Insinuating a presence
54,From Catnap To Coma,The Royal Arctic Instittue,royal-arctic-instittue,From Coma To Catharsis,4:22,Through the frigid waters
55,BREAK
56,35 Towards Clapham Junction,Jah Wobble,jah-wobble,The Bus Routes of South London,8:40,The long haul
