sequence,song,artist,artist_slug,album,time,notes
1,Starry Starry Night,Spot 1019,spot-1019,There Must Be One Drop Left of the Essence of the Bittersweet Juiced Up Fruit of the Human Condition,2:43,Gogh Van Gogh!
2,BREAK
3,Ride On,The Nude Party,nude-party,Rides On,4:45,The one and the four
4,All Your Friends Are Dying,The Bad Ends,bad-ends,The Power and The Glory,4:25,The truth hurts
5,Dynomite!,The Vicious Cycles,vicious-cycles,MOTORCYCHO,2:03,High octane
6,R.I.P.,Dearly Beloved,dearly-beloved,Admission,3:35,Commence the punishing
7,BREAK
8,Even It Out,Fever Ray,fever-ray,Radical Romantics,3:08,Unsettlement
9,Love is Selfish,Jack White,jack-white,Entering Heaven Alive,2:53,Strains of Bron-Yr-Aur
10,I Held Her In My Arms,Violent Femmes,violent-femmes,Add It Up (1981-1993),3:01,A forgotten highlight
11,Lovely Hula Hands,Junior Brown,junior-brown,Junior High,4:08,Time for a sunset
12,BREAK
13,Tell Me,King Tuff,king-tuff,Smalltown Stardust,3:22,Gimme them keys
14,Ska Trek,Tack>>Head,tack-head,Friendly As A Hand Grenade,1:35,Over before you know it
15,Hennepin Crawler,Primus,primus,Green Naugahyde,3:59,The laboratory bubbles over
16,My Nicolette,Sex Clark Five,sex-clark-five,Whos Lunch,0:41,It’s a date
17,BREAK
18,Pollen Song,Tennis,tennis,Pollen,3:54,How appropriate
19,Mango Tree,Aden,aden,Topsiders,3:18,A brief summer nap
20,Mabeline The Disco Queen,Johnny Sangster And Robb Benson,johnny-sangster-robb-benson,Benson Meets Sangster,1:25,The Bowiest
21,I Loved London,The Real Tuesday Weld,real-tuesday-weld,The London Book Of The Dead,3:07,Taking it easy
22,BREAK
23,Where's Me Jumper?,Sultans Of Ping F.C.,sultans-of-ping-f-c,C91 [Disc 1],3:10,Put it to the testo
24,Late Developers,Belle & Sebastian,belle-sebastian,Late Developers,4:20,Worth the wait
25,Load on Your Mind,Fickle Friends,fickle-friends,Are We Gonna Be Alright?,3:31,It’s a big big sound
26,All I’ve Ever Known,Madison Cunningham,madison-cunningham,Revealer,5:07,Tumbling towards the unknown
27,BREAK
28,Junk Man,Jon Spencer & the HITmakers,jon-spencer-hitmakers,Spencer Gets It Lit,2:22,Flames this high
29,Beyond The Void,Screaming Females,screaming-females,Desire Pathway,2:57,Suitable for chanting
30,Thomas Doubter,Scruffy The Cat,scruffy-cat,Time Never Forgets - The Anthology ('86-'88),3:00,Beantown boogie
31,Stinky Boogie,Zoobombs,zoobombs,BBB,3:10,A million miles an hour
32,BREAK
33,Always Sad,The Jesus & Mary Chain,jesus-mary-chain,Damage And Joy,2:53,Still feels psychocandy
34,Mooney Tunes,Veps,veps,Oslo Park,2:59,Nordic chimes
35,I Can't Put My Finger On It,Ween,ween,Chocolate And Cheese,2:47,What is it?
36,To Love Like The Father & Son Love Each Other,Half-Handed Cloud,half-handed-cloud,Learning About Your Scale,1:59,Eight years in two minutes
37,Planetarium,2nd Grade,2nd-grade,Easy Listening,1:13,Flashing before my eyes
38,BREAK
39,How To Feel,Romantica,romantica,Control Alt Country Delete,4:27,Distant trains
40,Redemption Song,Bob Marley,bob-marley,Legend,3:48,The gold standard
41,Squeezy Breezy,The California Honeydrops,california-honeydrops,Soul Tub!,2:32,Uh huh
42,Come Back To Me,Chang Siao Ying,chang-siao-ying,Asian Takeaway,2:59,Spy movie time
43,BREAK
44,Do Rainbows Have Ends,The Brian Jonestown Massacre,brian-jonestown-massacre,The Future Is Your Past,3:23,Not at all
45,Closed Eyes,Woody and Jeremy,woody-jeremy,Gravy in My Coffee,3:45,Slowing down
46,Bam Bam,Toots & The Maytals,toots-maytals,,3:10,The evening come
47,Old Man,Neil Young,neil-young,Harvest (50th Anniversary Edition),3:25,
48,BREAK
49,Miles Away,Yo La Tengo,yo-la-tengo,This Stupid World,7:30,Drifting across the lanes
50,The Great Gig in the Sky,The Sursiks,sursiks,Suave Side of the Moon,4:42,An engaging translation
51,Souvlaki #3,Boom Pam,boom-pam,Boom Pam,3:42,Odd meters and tuba gymnastics
52,"(What's So Funny 'Bout) Peace, Love And Understanding",Los Straitjackets,los-straitjackets,"What's So Funny About Peace, Love And Los Straitjackets",3:15,Nick Lowe’s finest
53,BREAK
54,Super,Neu!,neu,Neu! 2,3:11,Flying Guillotine time
55,Man Of The House,dEUS,deus,How To Replace It,5:12,The signal controls you
56,Gameshow Rag/Cannon Ball Rag,Tommy Emmanuel,tommy-emmanuel,The Guitar Mastery of Tommy Emmanuel,2:26,Everyone’s a winner
57,Whispering Light,Jesca Hoop,jesca-hoop,Hunting My Dress,4:00,Walking through the spooky forest
58,BREAK
59,It's My Life,Railroad Jerk,railroad-jerk,Masterpiecemeal,5:01,The best 30 seconds
