sequence,song,artist,artist_slug,album,time,notes
1,Making Plans For Nigel,Primus,primus,Miscellaneous Debris,3:36,Originally from XTC
2,BREAK
3,Alec Eiffel,April March,april-march,Pixies Fuckin’ Die! (A Tribute),2:27,Originally from Pixies
4,Cheat,Jenny Toomey,jenny-toomey,Tempting,4:33,Originally from Franklin Bruno
5,I Started a Joke,Low,low,A Lifetime of Temporary Relief - 10 Years of B-Sides & Rarities,4:28,Originally from the Bee Gees
6,Train to Chicago,Mike Doughty,mike-doughty,Half Smofe: Live in Minneapolis,1:55,Originally from Drink Me
7,BREAK
8,The El Burro Song,Calexico,calexico,El Mirador,3:24,Originally from Los Super Seven
9,Sing Sing Sing,Flat Duo Jets,flat-duo-jets,Wild Wild Lover,3:10,Originally from Gene Krupa
10,Immigrant Song,Sex Clark Five,sex-clark-five,Whos Lunch,2:23,Originally from Led Zeppelin
11,I'm Not in Love (The Dermot O'Leary Saturday Sessions Show),Camera Obscura,camera-obscura,Making Money (4AD B-Sides and Rarities),4:36,Originally from 10cc
12,BREAK
13,Our Lips Are Sealed,Paul Collins and Marci Marks,paul-collins-marci-marks,"If You Gotta Go-Go, Go-Go Now: A Tribute To The Go-Go's",2:44,Originally from the Go Gos / Fun Boy Three
14,Science Fiction Double Feature,Chris Murray,chris-murray,4-Trackaganza!,4:08,Originally from the Rocky Horror Picture Show
15,The Fits,International Beat,international-beat,Classic Sessions,3:10,Originally from the Skatalites
16,Starry Starry Night,Spot 1019,spot-1019,There Must Be One Drop Left of the Essence of the Bittersweet Juiced Up Fruit of the Human Condition,2:43,Originally from Don McLean
17,BREAK
18,Taxman,The Greyboy Allstars,greyboy-allstars,Get a Job,3:49,Originally from the Beatles
19,The Harder They Come,Waco Brothers,waco-brothers,"Making Singles, Drinking Doubles",3:49,Originally from Jimmy Cliff
20,Los Angeles,The Streetwalkin' Cheetahs,streetwalkin-cheetahs,All The Covers (And More),2:20,Originally from X
21,BREAK
22,Indian Bingo,Tripping Daisy,tripping-daisy,Jesus Hits Like the Atom Bomb,3:00,Originally from Brainiac
23,Turning Japanese,Skankin' Pickle,skankin-pickle,Sing Along With Skankin' Pickle,3:12,Originally from the Vapors
24,Provisional,Bodega,bodega,Xtra Equipment,3:04,Originally from Fugazi
25,Blueprint,Gogol Bordello,gogol-bordello,Solidaritine,3:02,Originally from Fugazi
26,BREAK
27,Storm Warning,Firewater,firewater,Songs We Should Have Written,3:00,Originally from the Skatalites
28,Friday (Take 73),Carl King,carl-king,,4:00,Originally from Rebecca Black
29,Here Comes Your Man,Heather Nova,heather-nova,Other Shores,2:51,Originally from Pixies
30,Wild and Blue,The Mekons,mekons,The Curse of the Mekons,2:55,Originally from John Anderson
31,BREAK
32,Otro Muerde El Polvo (Another One Bites The Dust),Los Miticos Del Ritmo,los-miticos-del-ritmo,Los Miticos Del Ritmo,3:35,Originally from Queen
33,Blackbird,Jaco Pastorius,jaco-pastorius,Word Of Mouth,2:48,Originally from the Beatles
34,Pepe Y Irene,Money Mark,money-mark,Change Is Coming,3:34,Originally from Los Lobos
35,Da Da Da,Pierre Perpall,pierre-perpall,Star-Funk Vol. 15,3:49,Originally from Trio
36,BREAK
37,Relax Baby Be Cool,Stereo Total,stereo-total,Paris-Berlin,2:32,Originally from Serge Gainsbourg
38,"Bend Me, Shape Me",The Rubinoos,rubinoos,Crimes Against Music,2:59,Originally from The American Breed
39,Make Me Smile (Come Up And See Me),The Wedding Present,wedding-present,Seamonsters,3:45,Originally from Steve Harley
40,Here Comes My Baby,Yo La Tengo,yo-la-tengo,Fakebook,2:34,Originally from Cat Stevens
41,BREAK
42,Deacon Blues (feat. Bill Mackay),"Bill Callahan & Bonnie ""Prince"" Billy",bill-callahan-bonnie-prince-billy,Blind Date Party,7:18,Originally from Steely Dan
43,Over the Hiccups,Negativland,negativland,Escape from Noise,1:26,Nothing else like it
44,21st Century Schizoid Man,black midi,black-midi,Cavalcovers,5:18,Originally from King Crimson
45,BREAK
46,Maggot Brain,Volebeats,volebeats,"Making Singles, Drinking Doubles",6:16,Originally from Funkadelic
47,The Great Gig in the Sky,The Sursiks,sursiks,Suave Side of the Moon,4:42,Originally from Pink Floyd
48,Kelly Watch the Stars,Dave Depper,dave-depper,Moon Safari,4:00,Originally from Air
49,BREAK
50,Comin' Home Baby,Herbie Mann,herbie-mann,Waterbed,5:35,Originally from Mel Tormé
51,Uptight (Everything's Alright),Jonah Jones,jonah-jones,All Turned On! • Motown Instrumentals 1960-1972,3:01,Originally from Stevie Wonder
52,Loud Love,The Pretty Reckless,pretty-reckless,Other Worlds,4:56,Originally from Soundgarden
53,BREAK
54,Lieber Honig ,Yann Tiersen ,yann-tiersen,Tribute,9:52,Originally from Neu
