sequence,song,artist,artist_slug,album,time,notes
1,After Hours,Delicate Steve,delicate-steve,After Hours,3:27,Bring on the night
2,BREAK
3,Western Town,North Americans,north-americans,Long Cool World,3:55,Haze and vibes
4,Walk In The Stratosphere,Kim & Buran,kim-buran,Tramplin,4:57,Floyd me baby
5,Cassiopeia's Chair,The Greyboy All Stars,greyboy-all-stars,A Town Called Earth,6:02,It’s a funky seat
6,BREAK
7,Glory,Sault,sault,11,5:38,Off the beat
8,While the City Sleeps,MC 900 Foot Jesus,mc-900-foot-jesus,Decadence: 10 Years of Nettwerk 1991-1993,5:28,In flames
9,Angry Girl (CHAI Version),Confidence Man,confidence-man,RE-TILT,2:50,"Yeah, what’s your problem"
10,BREAK
11,"1,2,3,4,5,7,11!",The Mattoid,mattoid,Great Lovers,2:35,A song for Tuco
12,The Turns,The Telescopes,telescopes,Experimental Health,4:15,Unsteady waltz
13,"Unwrap the Fiend, Pt. 2",Thee Oh Sees,thee-oh-sees,A Weird Exits,4:29,Instant villain
14,1960,MASS OF THE FERMENTING DREGS,mass-of-fermenting-dregs,Awakening:Sleeping,8:28,Extra motorik
15,BREAK
16,Organism,The New Mastersounds,new-mastersounds,The Deplar Effect,4:05,Appropriate for sauntering
17,Time,Arca,arca,Kick,2:46,The mechanism is precise
18,Un Día,Juana Molina,juana-molina,Un Día,5:35,Join the dizzy chorus
19,BREAK
20,Tonight’s Episode,Yo La Tengo,yo-la-tengo,This Stupid World,4:50,The noisy side of YLT
21,Negative Sister,Posh Swat,posh-swat,"Posh Swat 7""",5:51,Resonant rudiments
22,Gemini Acoustic,Nick Cave & Warren Ellis,nick-cave-warren-ellis,Blonde,6:05,A force like the tide
23,Ara Pacis,Heaters,heaters,Baptistina,5:33,Howling for attention
24,BREAK
25,Take the Red Pill,B. Fleischmann,b-fleischmann,Music for Shared Rooms,4:15,Counting the moments
26,We Let It In,Brian Eno,brian-eno,FOREVERANDEVERNOMORE,3:28,Watching the water from under the waves
27,Or Perhaps You Imagined It All,Kramer,kramer,Music For Films Edited By Moths,3:43,It’s a possibility
28,From Catnap To Coma,The Royal Arctic Instittue,royal-arctic-instittue,From Coma To Catharsis,4:22,Open up a window
29,Salsa and Microchips,DJ Me DJ You,dj-me-dj-you,Can You See the Music,4:41,Extra crunchy
30,BREAK
31,Soon You Die,Goat,goat,Oh Death,4:35,Not a threat
32,Tira O Pe,Buraka Som Sistema,buraka-som-sistema,Komba,3:54,Bubbling up
33,Diamond,Klint ,klint,Snatch,3:31,Dark and slick
34,Riverside Drive,Gachupin,gachupin,,5:01,Hitting all the green lights
35,BREAK
36,Crapfest,Indopan,indopan,Yupana,5:54,Thump thump
37,Little Mack's Shuffle,The Morrocco Muzik Makers,morrocco-muzik-makers,All Turned On! • Motown Instrumentals 1960-1972,2:41,Having a grand time
38,Numbers,Kraftwerk,kraftwerk,Computerwelt (Remastered Version),3:21,Collect them all
39,Super,Neu!,neu,Neu! 2,3:11,FLYING GUILLOTINE
40,BREAK
41,The Frequencies,Kid Koala,kid-koala,Creatures of the Late Afternoon,3:40,At a steady clip
42,Day One (feat. Dina Ipavic),Orbital,orbital,Optical Delusion,5:16,Ripping through the jetstream
43,Slave Ship Serenade,The Veldt,veldt,Entropy Is the Mainline to God,4:14,Challenging the sea gods
44,BREAK
45,Monate Ke Monate,Toxicated Keys,toxicated-keys,From Thutlwane to the World,7:17,Sparse and foreboding
