sequence,song,artist,artist_slug,album,time,notes
1,Orinoco Flow,Olivia Jean,olivia-jean,Raving Ghost,2:37,Originally from Enya
2,BREAK
3,How Was I to Know,The Boo Radleys,boo-radleys,Eight,4:03,For John Ohbee
4,Disgrace,Deer Tick,deer-tick,Emotional Contracts,2:54,Feeling dusty
5,Fear Evil Like Fire,Yves Tumor,yves-tumor,"Praise A Lord Who Chews But Which Does Not Consume; (Or Simply, Hot Between Worlds)",3:31,Distant shuffling
6,Jellybones,The Unicorns,unicorns,Who Will Cut Our Hair When We're Gone? (Remastered),2:44,Gimme the fat filter
7,BREAK
8,Cujo Kiddies,Disq,disq,Desperately Imagining Someplace Quiet,3:51,Twisted features
9,Inside,14 Iced Bears,14-iced-bears,C86 - Deluxe Edition (Disc 2),1:49,Redlining and worth it
10,Pinking Shears,"Mandy, Indiana",mandy-indiana,i've seen a way,2:32,You cannot borrow them
11,Lose Your Cool,Stuck,stuck,Freak Frequency,3:11,Totally blowing it
12,BREAK
13,What A Bringdown,MC Honky,mc-honky,I Am The Messiah,3:50,A real bummer
14,Hey Tía!,Mexican Institute of Sound,mexican-institute-of-sound,Méjico Máxico,3:52,The biggest party
15,All the Young Dudes (feat. Kirsty Rock),Easy Star All-Stars,easy-star-all-stars,Ziggy Stardub,3:45,I will allow it
16,Mars,Yeah Yeah Yeahs,yeah-yeah-yeahs,Cool It Down,1:56,
17,BREAK
18,Demonbird,Draag,draag,Dark Fire Heresy,3:23,Drenching it out of the gate
19,Right Before My Eyes,The Snitches,snitches,Star Witness,2:56,The powerest of pops
20,Not If You Were The Last Junkie On Earth,The Dandy Warhols,dandy-warhols,The Dandy Warhols Come Down,3:11,The finest Portland beef
21,Snake Appeal (2023),Melvins,melvins,"The Devil You Knew, The Devil You Know",1:53,A fresh beating
22,BREAK
23,$20.00,Boygenius,boygenius,The Record,3:20,It’s twenty bucks
24,Lucky One,Cake Like,cake-like,"Goodbye, So What",2:33,"Originally “Cake"""
25,Northern Town,Circa Waves,circa-waves,Never Going Under,3:48,Slick in the rain
26,Losing Steam,Salami Rose Joe Louis,salami-rose-joe-louis,Akousmatikous,2:34,Algorithmic chord choices
27,Santos And Ken,The Stepkids,stepkids,The Stepkids,3:34,Stretched and funked
28,BREAK
29,take it back (feat. Beck),JAWNY,jawny,"It’s Never Fair, Always True",2:26,Loving it big and dumb
30,Can't Tame Me,The Revox,revox,You Treat Me so Bad,2:02,"Lots of smoke, plenty of flames"
31,The City,The Dismemberment Plan,dismemberment-plan,,4:27,A fractured lullaby
32,Pueblo Fantasma,Desorden Público,desorden-publico,Spare Shells: Tribute to The Specials,4:18,So appropriate
33,BREAK
34,Mess Around,Wargirl,wargirl,Wargirl,3:28,Old fashioned
35,Quincy,Single Mothers,single-mothers,Roy,2:09,Meet me at the roller disco
36,Goin' Down,The Monkees,monkees,Monkeemania - The Very Best of the Monkees,3:59,800 lb. groove
37,Initiative,The Murlocs,murlocs,Calm Ya Farm,3:11,Ready to get going
38,BREAK
39,Labios Sellados,Me Dicen Jos,me-dicen-jos,Monchis,2:50,An intimate setting
40,Creep,Worriers,worriers,Warm Blanket,2:18,Stressing for sure
41,Bixo,Manu Chao,manu-chao,Próxima Estación: Esperanza,1:52,Yearning for home
42,New To Me,The Lemon Twigs,lemon-twigs,Everything Harmony,3:59,The new mellow
43,BREAK
44,Polacrilex Kid,Protomartyr,protomartyr,Formal Growth In The Desert,3:48,Enumerate the ways
45,Swim Back,Daughter,daughter,Stereo Mind Game,4:34,Keep your breathing even
46,The Chilling Place,Fort Lauderdale,fort-lauderdale,Pretty Monster,3:53,Dig the decorations
47,Slide,Luna,luna,Lunapark,4:20,Free of friction
48,BREAK
49,Digging Deeper Now,Alison Goldfrapp,alison-goldfrapp,The Love Invention,4:17,It’s a dynamic world
50,Artichaut,Chinese Man,chinese-man,Groove Sessions,4:17,Singing on the sly
51,No Time (feat. Jack Peñate),Django Django,django-django,Off Planet Part 3,3:40,Escape is imminent
52,Til We Meet Again (live at the Natural History Museum),Kid Koala,kid-koala,Creatures of the Late Afternoon,2:53,Fractured sign-off
53,BREAK
54,Waiting,Orange Drink,orange-drink,Double Fine PsychOdyssey Original Soundtrack: Vol. 2A,4:13,Beginning the motorik
55,"Terra Illustris, Pt. 1",Motor!k,motor-k,4,5:42,A fitting name
56,Hardest Geometry Problem In The World,Mark Mothersbaugh,mark-mothersbaugh,Rushmore,1:29,Quite difficult
57,San Siz,Yaqub Zoroofchi,yaqub-zoroofchi,Arézoo,4:15,Deep melancholy
58,BREAK
59,Brokendate,Com Truise,com-truise,Brokendate,5:08,A warbling call
