sequence,song,artist,artist_slug,album,time,notes
1,Buy My Product,Water From Your Eyes,water-from-your-eyes,Everyone's Crushed,02:55,Take my money
2,BREAK
3,"Everybody, Marvel",Deerhoof,deerhoof,Miracle-Level,04:10,That familiar implacable dissonance
4,Do Rainbows Have Ends,The Brian Jonestown Massacre,brian-jonestown-massacre,The Future Is Your Past,03:23,The flow is unstoppable
5,Tidal Wave,Thee Oh Sees,thee-oh-sees,Live At Levitation (2012),02:49,Live danger
6,Sandstorm,White Denim,white-denim,Relaxed,04:13,It’s a strange reverberation
7,BREAK
8,Electric City,Circa Waves,circa-waves,Never Going Under,02:42,Lighting it up
9,Superstitious Insights,The Murlocs,murlocs,Calm Ya Farm,03:40,It’s got the swagger
10,My Favorite Record,Asylum Street Spankers,asylum-street-spankers,My Favorite Record,02:33,Never more true!
11,Your Ironic T-Shirt,Atomic 7,atomic-7,…Gowns by Edith Head,01:14,"Yeah, talking to you"
12,BREAK
13,Glow,Fickle Friends,fickle-friends,Are We Gonna Be Alright?,02:59,It is time to get into it
14,Tear Down the Opera House,The Scotland Yard Gospel Choir,scotland-yard-gospel-choir,...and the Horse You Rode In On,01:42,Blast it to pieces
15,Lose You Again,Manchester Orchestra,manchester-orchestra,The Valley Of Vision,03:42,Slowing it down
16,Layla,Unknown Mortal Orchestra,unknown-mortal-orchestra,V,04:10,Must be a different Layla
17,BREAK
18,Cheese,Packs,packs,Crispy Crunchy Nothing,02:20,Melting slowly
19,My Witch,Jen Cloher,jen-cloher,"I Am The River, The River Is Me",02:45,Sultry hexing
20,Leave My Man Alone,Miss Li,miss-li,Songs of a Rag Doll,04:23,Various possessive movements
21,Doesn't Shake Me,The Goodnight Loving,goodnight-loving,The Goodnight Loving Supper Club,02:40,Not at all
22,BREAK
23,"Western Town, with Road to Mountain",North Americans,north-americans,Long Cool World,03:55,Analog ambient
