sequence,song,artist,artist_slug,album,time,notes
1,All I Do,Bully,bully,Lucky For You,03:41,Back to raging
2,BREAK
3,Baby What You Want Me to Do,The Revox,revox,You Treat Me so Bad,02:45,Ready the extreme time warp garage ray
4,Make My Way,The Mooney Suzuki,mooney-suzuki,People Get Ready,02:56,Still burning white hot 20 years later
5,Harmonica Razor,Daddy Long Legs,daddy-long-legs,Street Sermons,02:00,Not kidding around
6,Relentless Machines,Thomas Function,thomas-function,,04:21,An appropriate capstone
7,BREAK
8,How It Should Be (Sha Sha),Ben Kweller,ben-kweller,Sha Sha Deluxe,01:51,An original bedroom symphony
9,I Love The Birds,Grateful Cat,grateful-cat,Stray With Me,03:17,Feeling paradoxical
10,Ban Marriage,The Hidden Cameras,hidden-cameras,The Smell of Our Own (20th Anniversary Edition),04:21,That manic feeling
11,BREAK
12,Crude Drawing Of An Angel,Caroline Polachek,caroline-polachek,"Desire, I Want To Turn Into You",03:29,It’s a mood
13,Islands in the Sky,Death Valley Girls,death-valley-girls,Islands in the Sky,02:49,Reverberated sirens
14,I’m In A Band,Sprints,sprints,A Modern Job,02:44,Whos in a band
15,Time Out,Stuck,stuck,Freak Frequency,02:21,Disturbing polarities
16,BREAK
17,Frog On The Floor,100 gecs,100-gecs,"10,000 gecs",02:41,Sounds like fun
18,Do the Dog,Amazing Crowns,amazing-crowns,Spare Shells: Tribute to The Specials,02:13,Originally from The Specials
19,Cowboy Ska,Arling + Cameron,arling-cameron,Sound Shopping,03:48,Heee-yaw
20,Invisible Sun,The Police,police,Ghost In The Machine,03:44,Hasn’t gone out of style
21,BREAK
22,Crapfest,Indopan,indopan,Yupana,05:54,Thump Thump
