sequence,song,artist,artist_slug,album,time,notes
1,Waiting,Orange Drink,orange-drink,Double Fine PsychOdyssey Original Soundtrack: Vol. 2A,04:13,Beginning the motorik
2,BREAK
3,Digging Deeper Now,Alison Goldfrapp,alison-goldfrapp,The Love Invention,04:17,It’s a dynamic world
4,Artichaut,Chinese Man,chinese-man,Groove Sessions,04:17,Singing on the sly
5,No Time (feat. Jack Peñate),Django Django,django-django,Off Planet Part 3,03:40,Escape is imminent
6,Til We Meet Again (live at the Natural History Museum),Kid Koala,kid-koala,Creatures of the Late Afternoon,02:53,Fractured sign-off
7,BREAK
8,Polacrilex Kid,Protomartyr,protomartyr,Formal Growth In The Desert,03:48,Enumerate the ways
9,Swim Back,Daughter,daughter,Stereo Mind Game,04:34,Keep your breathing even
10,The Chilling Place,Fort Lauderdale,fort-lauderdale,Pretty Monster,03:53,Dig the decorations
11,Slide,Luna,luna,Lunapark,04:20,Free of friction
12,Diamond,Klint ,klint,Snatch,03:31,Rolling on the bass
13,BREAK
14,Wizard Of Points,Je Suis France,je-suis-france,Afrikan Majik,07:29,Cash them all in
15,"Terra Illustris, Pt. 1",Motor!k,motor-k,4,05:42,A fitting name
16,Hardest Geometry Problem In The World,Mark Mothersbaugh,mark-mothersbaugh,Rushmore,01:29,Quite difficult
17,San Siz,Yaqub Zoroofchi,yaqub-zoroofchi,Arézoo,04:15,Deep melancholy
18,BREAK
19,You Better Have a Gun,Fantastic Negrito,fantastic-negrito,Grandfather Courage,04:47,Self defense is advised
20,Wake Me Up (Dan Carey Dub),Foals,foals,Life Is Dub,04:37,Spread and dubbed
21,Punks,The Heliocentrics,heliocentrics,Legna,03:55,Stuttering through the changes
22,4 Morant (Better Luck Next Time),Com Truise,com-truise,Brokendate,02:51,The club is looking hostile
23,BREAK
24,Ride That Dolphin,KNOWER,knower,KNOWER FOREVER,03:29,Ocean music
25,Nurse!,bar italia,bar-italia,Tracey Denim,03:48,In need of medical attention
26,Flypaper,Brainiac,brainiac,From Dayton Ohio,02:36,An unearthed gem
27,Things Are Gonna Change (feat. Lealani),Kid Koala,kid-koala,Creatures of the Late Afternoon,02:59,Scratch the itch
28,Negative Sister,John Dwyer,john-dwyer,"Posh Swat 7""",05:51,Stuttering madness
29,BREAK
30,Woman Trouble,Khruangbin & Kelly Doyle,khruangbin-kelly-doyle,Live at Stubb's,02:10,Subtle waftings
31,Rasta tsar,Pierre Bastien,pierre-bastien,Sonic Folkways,02:12,The message is forthcoming
32,Sleeve Of A Tweed Jacket (Elbow Patch),Orange Drink,orange-drink,Double Fine PsychOdyssey Original Soundtrack: Vol. 2A,03:36,Introspective journey
33,Oh! Sweet Nothin',The Velvet Underground,velvet-underground,Loaded,07:27,Ain’t got nothin’ at all
34,BREAK
35,Brokendate,Com Truise,com-truise,Brokendate,05:08,A warbling call
