sequence,song,artist,artist_slug,album,time,notes
1,Rhode Island Is Famous For You,Erin McKeown,erin-mckeown,Sing You Sinners,2:46,Kicking off our Affairs of State set
2,BREAK
3,Florida,Push Kings,push-kings,Push Kings,2:49,It sounds like Florida
4,Taylor Mississippi,Big Ass Truck,big-ass-truck,Who Let You In Here?,4:18,All day to sit around
5,Virginia Gal,Deer Tick,deer-tick,Tim,4:25,She’s somethin’ else
6,BREAK
7,Texas Fox,The Low Frequency In Stereo,low-frequency-in-stereo,Futuro,4:07,Stomping its way to the oilfields
8,"Rainstorm in Kentucky (feat. Smif n Wessun, Dolio the Sleuth & R Son)",Gangstagrass,gangstagrass,Broken Hearts and Stolen Money,3:50,Sounds appropriate
9,South Carolina,John Linnell,john-linnell,State Songs,3:45,Just one of 50
10,North Carolina,The Oranges Band,oranges-band,All Around,2:31,Woozy groove
11,BREAK
12,Idaho Alien,Youth Lagoon,youth-lagoon,Heaven Is a Junkyard,3:23,It’s a dream state
13,The Indiana Sun,White Hassle,white-hassle,The Death of Song,2:50,Marcellus’ compelling howl
14,Dakota,The Wrens,wrens,Silver,3:09,The Dakota is down
15,Kansas (Remembers Me Now),Orville Peck,orville-peck,Pony,3:36,The stars are out
16,BREAK
17,California Stutter,Robb Benson,robb-benson,A Collection of Songs I Forgot to Tell You About,2:09,Wracked with exercise
18,Colorado,Brother Brother,brother-brother,Some People I Know,3:00,Welcome home
19,Rotten Alabama,Ramsay Midwood,ramsay-midwood,Larry Buys a Lighter,3:52,Falling apart mostly
20,Tennessee Waltz,Sally Timms,sally-timms,Cowboy Sally,1:48,A natural closer
21,BREAK
22,What Did You Wish For? (feat. Lizdelise),American Trappist,american-trappist,Poison Reverse,2:59,Insistent from the start
23,"Young, Thomas (1773-1829)",Artichoke,artichoke,26 Scientists Volume Two: Newton - Zeno,3:24,I hope you learned something
24,Skate Park Anthem,Asher White,asher-white,New Excellent Woman,3:59,For your tricks and combos
25,BREAK
26,Libertude,Albert Hammond Jr,albert-hammond-jr,Melodies on Hiatus - Part 1,3:56,With a swinging heartbeat
27,Boll Weevil,The Presidents of The United States of America,presidents-of-united-states-of-america,The Presidents of the United States of America,3:18,Check him out
28,Roadside Cross,Deadbolt,deadbolt,Voodoo Trucker,3:34,Don’t mess with the voodoo trucker
29,The Trouble With Those Mothra Girls,Daikaiju,daikaiju,Daikaiju,3:32,They are quite problematic
30,BREAK
31,Letter To An Old Poet,Boygenius,boygenius,The Record,3:08,Heavy
32,Corner of My Eye,The Lemon Twigs,lemon-twigs,Everything Harmony,3:19,Channeling the Beach Boys
33,Radio,Margo Price / Sharon Van Etten,margo-price-sharon-van-etten,Strays,2:49,Strong team
34,Faded,Peter Manheim,peter-manheim,In Time,3:55,Unsynced and unmoored from time
35,BREAK
36,Les toiles de Ziem,Skopitone Sisko,skopitone-sisko,Incognita,3:46,Floating travels
37,Strano Mondo Di Tanti Nomi (Stereo Total Remix),Die Moulinettes,die-moulinettes,Alfa Bravo Charlie,3:25,So many Names
38,You Can Let Go,Half Moon Run,half-moon-run,Salt,3:06,Moving fast
39,Big Fat Cigar,Sleepyhead,sleepyhead,,4:20,
40,BREAK
41,Star Strangled Banner,The Heliocentrics,heliocentrics,Legna,1:30,Finding the center
42,Nothing's Free,Angel Olsen,angel-olsen,Forever Means,4:39,Slow burning
43,Blackbox Life Recorder 21f,Aphex Twin,aphex-twin,Blackbox Life Recorder 21f,4:27,Fresh jitters
44,The Widow,Unknown Mortal Orchestra,unknown-mortal-orchestra,V,5:11,Window watching
45,BREAK
46,Les fantômes des femmes,La Femme,la-femme,Paris-Hawaï,4:23,For all your Franco-Hawaiian needs
47,Wesley's Convertible,April Magazine,april-magazine,Wesley's Convertible Tape For The South,5:35,Drive it slow
48,Holiday House,Beach House,beach-house,Become,5:06,Swells and throbs
49,BREAK
50,Hoppe,TEKE::TEKE,teke-teke,Hagata,4:26,Prepare for the ritual
51,Boboyillo (feat. Rougi),Baaba Maal,baaba-maal,Being,4:05,The smoke seems alive
52,Houzz 13,µ-Ziq,ziq,1977,5:03,A fast resolution
53,BREAK
54,"Terra Illustris, Pt. 3",Motor!k,motor-k,4,8:13,It can’t go any faster
