sequence,song,artist,artist_slug,album,time,notes
1,How Was I to Know,The Boo Radleys,boo-radleys,Eight,04:03,For John Ohbee
2,BREAK
3,Disgrace,Deer Tick,deer-tick,Emotional Contracts,02:54,Feeling dusty
4,Fear Evil Like Fire,Yves Tumor,yves-tumor,"Praise A Lord Who Chews But Which Does Not Consume; (Or Simply, Hot Between Worlds)",03:31,Distant shuffling
5,Jellybones,The Unicorns,unicorns,Who Will Cut Our Hair When We're Gone? (Remastered),02:44,Gimme the fat filter
6,BREAK
7,Cujo Kiddies,Disq,disq,Desperately Imagining Someplace Quiet,03:51,Twisted features
8,Inside,14 Iced Bears,14-iced-bears,C86 - Deluxe Edition (Disc 2),01:49,Redlining and worth it
9,Pinking Shears,"Mandy, Indiana",mandy-indiana,i've seen a way,02:32,You cannot borrow them
10,Lose Your Cool,Stuck,stuck,Freak Frequency,03:11,Totally blowing it
11,BREAK
12,What A Bringdown,MC Honky,mc-honky,I Am The Messiah,03:50,A real bummer
13,Hey Tía!,Mexican Institute of Sound,mexican-institute-of-sound,Méjico Máxico,03:52,The biggest party
14,All the Young Dudes (feat. Kirsty Rock),Easy Star All-Stars,easy-star-all-stars,Ziggy Stardub,03:45,I will allow it
15,Mars,Yeah Yeah Yeahs,yeah-yeah-yeahs,Cool It Down,01:56,An imaginary voyage
16,BREAK
17,Demonbird,Draag,draag,Dark Fire Heresy,03:23,Drenching it out of the gate
18,Right Before My Eyes,The Snitches,snitches,Star Witness,02:56,The powerest of pops
19,Not If You Were The Last Junkie On Earth,The Dandy Warhols,dandy-warhols,The Dandy Warhols Come Down,03:11,The finest Portland beef
20,Snake Appeal (2023),Melvins,melvins,"The Devil You Knew, The Devil You Know",01:53,A fresh beating
21,BREAK
22,The Frequencies,Kid Koala,kid-koala,Creatures of the Late Afternoon,03:40,They are converging
