sequence,song,artist,artist_slug,album,time,notes
1,Whole Lotta Love,The Moog Cookbook,moog-cookbook,Ye Olde Space Bande Plays the Classic Rock Hits,4:20,Originally from Led Zeppelin
2,BREAK
3,I'm The President,KNOWER,knower,KNOWER FOREVER,4:07,Da bass line
4,High Society,Enon,enon,High Society,3:13,Fancy lounge act in space
5,Any Old Thing,Peglegasus,peglegasus,Learning Curve,3:00,Fiery excess
6,BREAK
7,City Of Angels,Ladytron,ladytron,Time's Arrow,4:41,Grandiose effect
8,Miranda,Surfer Blood,surfer-blood,Tarot Classics (Deluxe),3:04,A different Miranda
9,Girls With English Accents,Fergus & Geronimo,fergus-geronimo,Unlearn,2:28,Quite noticeable
10,Spitting Off the Edge of the World,Yeah Yeah Yeahs,yeah-yeah-yeahs,Cool It Down,4:18,This cavernous experience
11,BREAK
12,No Olvidamos,Molotov,molotov,Sólo D'Lira,4:35,El dron
13,Copy,The Plastics,plastics,Downtown 81,3:10,copycopycopy
14,Carly Simon,Groovie Ghoulies,groovie-ghoulies,Fun In The Dark,2:32,Another one for the Famous Polka
15,BREAK
16,High Alert,Steady Holiday,steady-holiday,Newfound Oxygen,3:13,Head on a swivel
17,Every Day Is the Worst Day of My Life,The Lemon Twigs,lemon-twigs,Everything Harmony,3:25,"Sing along, optimists!"
18,I've Got Me,Joanna Sternberg,joanna-sternberg,I've Got Me,2:16,An unusual approach
19,Hey Leopard,Steward,steward,Horselaugh On My Ex,4:07,Get noisy
20,BREAK
21,"Thank You, New Jersey",Origami Angel,origami-angel,The Brightest Days,2:39,It’s an all over the place
22,Been a Fool Once,Daddy Long Legs,daddy-long-legs,Street Sermons,3:17,Raspy good time
23,Shiny Coins,What!,what,,4:19,Gimme the prog ska
24,Break The Arc,Stuck,stuck,Freak Frequency,4:00,It’s all angles
25,BREAK
26,Panam,The Giant Robots,giant-robots,Fuzz You,2:55,Wild organ time
27,Pachuko Soul,The El Caminos,el-caminos,,1:57,Twisting twisting
28,Itchy Chicken,Los Straitjackets,los-straitjackets,Damas Y Caballeros...Los Straitjackets!,4:41,Scratching!
29,Peace Groove,Peter Manheim,peter-manheim,In Time,2:52,Smooth landing
30,BREAK
31,too young to die,M. Ward feat. First Aid Kit,m-ward-feat-first-aid-kit,supernatural thing,4:35,Such sweet morbidity
32,I Must Be In Love,The Rutles,rutles,The Rutles,2:07,"I feel good, I feel bad"
33,Jazz on the Autobahn,The Felice Brothers,felice-brothers,From Dreams to Dust,4:32,Seems appropriate
34,The Beginning,Imperial Teen,imperial-teen,What Is Not to Love,2:39,Begin to get started
35,BREAK
36,When You Mess Up,Everything But The Girl,everything-but-girl,Fuse,3:48,Ethereal approach
37,Paper Napkins,The Future Kings of Nowhere,future-kings-of-nowhere,The Future Kings of Nowhere,3:28,Long live the kings
38,House Of The Rising Bigfoot,Spot 1019,spot-1019,,2:27,A real howler
39,I Want You,Dream Wife,dream-wife,Social Lubrication,1:58,Expressing real needs
40,BREAK
41,Become,Beach House,beach-house,Become,5:59,A relaxing time
42,Noche Fría,Adanowsky,adanowsky,The Fool,3:09,Cold night
43,In Re Budd,Penguin Cafe,penguin-cafe,Rain Before Seven...,4:23,Generational accomplishments
44,BREAK
45,Alyosha,Clark,clark,Sus Dog,4:39,Distant lands
46,Waiting,Cibelle,cibelle,,6:19,Smoldering sounds
47,Always on my Mind,Salami Rose Joe Louis,salami-rose-joe-louis,Akousmatikous,2:33,Intricacy of choice
48,1000 Towns (feat. Coelacanth),Kid Koala,kid-koala,Creatures of the Late Afternoon,2:25,Ponderous scratching
49,BREAK
50,Asalatua,African Head Charge,african-head-charge,A Trip To Bolgatanga,3:58,Enter the trance
51,Drag,Unknown Mortal Orchestra,unknown-mortal-orchestra,V,5:57,Unsteady wandering
52,Dub 127,International Sangman,international-sangman,Death Roads and Spirit Ways 2,5:02,The sound of dead orbits
