sequence,song,artist,artist_slug,album,time,notes
1,Idaho Alien,Youth Lagoon,youth-lagoon,Heaven Is a Junkyard,03:23,It’s a dream state
2,BREAK
3,Florida,Push Kings,push-kings,Push Kings,02:49,It sounds like Florida
4,Rhode Island Is Famous For You,Erin McKeown,erin-mckeown,Sing You Sinners,02:46,Listener challenge: add up the states
5,Virginia Gal,Deer Tick,deer-tick,Tim,04:25,She’s somethin’ else
6,BREAK
7,Texas Fox,The Low Frequency In Stereo,low-frequency-in-stereo,Futuro,04:07,Stomping its way to the oilfields
8,"Rainstorm in Kentucky (feat. Smif n Wessun, Dolio the Sleuth & R Son)",Gangstagrass,gangstagrass,Broken Hearts and Stolen Money,03:50,Sounds appropriate
9,South Carolina,John Linnell,john-linnell,State Songs,03:45,Just one of 50
10,North Carolina,The Oranges Band,oranges-band,All Around,02:31,Woozy groove
11,BREAK
12,The Indiana Sun,White Hassle,white-hassle,The Death of Song,02:50,Marcellus’ compelling howl
13,Dakota,The Wrens,wrens,Silver,03:09,The Dakota is down
14,Arkansas Twist,The 5.6.7.8's,5-6-7-8-s,,02:01,Wild wild gals
15,BREAK
16,California Stutter,Robb Benson,robb-benson,A collection of songs I forgot to tell you about,02:09,Wracked with exercise
17,Colorado,Brother Brother,brother-brother,Some People I Know,03:00,Welcome home
18,Rotten Alabama,Ramsay Midwood,ramsay-midwood,Larry Buys a Lighter,03:52,Falling apart mostly
19,Tennessee Waltz,Sally Timms,sally-timms,Cowboy Sally,01:48,A natural closer
20,BREAK
21,Kansas (Remembers Me Now),Orville Peck,orville-peck,Pony,03:36,The stars are out
