sequence,song,artist,artist_slug,album,time,notes
1,Libertude,Albert Hammond Jr,albert-hammond-jr,Melodies on Hiatus - Part 1,03:56,With a swinging heartbeat
2,BREAK
3,What Did You Wish For? (feat. Lizdelise),American Trappist,american-trappist,Poison Reverse,02:59,Insistent from the start
4,"Young, Thomas (1773-1829)",Artichoke,artichoke,26 Scientists Volume Two: Newton - Zeno,03:24,I hope you learned something
5,Skate Park Anthem,Asher White,asher-white,New Excellent Woman,03:59,For your tricks and combos
6,BREAK
7,Letter To An Old Poet,Boygenius,boygenius,The Record,03:08,Heavy
8,Corner of My Eye,The Lemon Twigs,lemon-twigs,Everything Harmony,03:19,Channeling the Beach Boys
9,Radio,Margo Price / Sharon Van Etten,margo-price-sharon-van-etten,Strays,02:49,Strong team
10,Faded,Peter Manheim,peter-manheim,In Time,03:55,Unsynced and unmoored from time
11,BREAK
12,Les toiles de Ziem,Skopitone Sisko,skopitone-sisko,Incognita,03:46,Floating travels
13,Strano Mondo Di Tanti Nomi (Stereo Total Remix),Die Moulinettes,die-moulinettes,Alfa Bravo Charlie,03:25,So many Names
14,You Can Let Go,Half Moon Run,half-moon-run,Salt,03:06,Moving fast
15,BREAK
16,Boll Weevil,The Presidents of The United States of America,presidents-of-united-states-of-america,The Presidents of the United States of America,03:18,Check him out
17,My Hit Parade,Jon Spencer & the HITmakers,jon-spencer-hitmakers,Spencer Gets It Lit,02:26,Somewhat subdued
18,Roadside Cross,Deadbolt,deadbolt,Voodoo Trucker,03:34,Don’t mess with the voodoo trucker
19,The Trouble With Those Mothra Girls,Daikaiju,daikaiju,Daikaiju,03:32,They are quite problematic
20,BREAK
21,Big Fat Cigar,Sleepyhead,sleepyhead,,04:20,Get in the limousine
