sequence,song,artist,artist_slug,album,time,notes
1,"Western Town, with Road to Mountain",North Americans,north-americans,Long Cool World,03:55,Patience is a virtue
2,BREAK
3,Tonight’s Episode,Yo La Tengo,yo-la-tengo,This Stupid World,04:50,Traveling the time tunnel
4,Day One (feat. Dina Ipavic),Orbital,orbital,Optical Delusion,05:16,A new beginning
5,Fantastic Voyage,Takako Minekawa,takako-minekawa,Fun 9,04:57,It's about the journey
6,BREAK
7,Star Strangled Banner,The Heliocentrics,heliocentrics,Legna,01:30,Finding the center
8,Nothing's Free,Angel Olsen,angel-olsen,Forever Means,04:39,Slow burning
9,Blackbox Life Recorder 21f,Aphex Twin,aphex-twin,Blackbox Life Recorder 21f,04:27,Fresh jitters
10,The Widow,Unknown Mortal Orchestra,unknown-mortal-orchestra,V,05:11,Window watching
11,BREAK
12,Hoppe,TEKE::TEKE,teke-teke,Hagata,04:26,Prepare for the ritual
13,Boboyillo (feat. Rougi),Baaba Maal,baaba-maal,Being,04:05,The smoke seems alive
14,Houzz 13,µ-Ziq,ziq,1977,05:03,A fast resolution
15,"Terra Illustris, Pt. 3",Motor!k,motor-k,4,08:13,It can’t go any faster
16,BREAK
17,Hush Pup,Luigee Trademarq,luigee-trademarq,Bande original,03:23,Will there be doing?
18,Manifesto,Sprints,sprints,Manifesto,02:48,Not the one by Marx
19,The Turns,The Telescopes,telescopes,Experimental Health,04:15,Distant lights
20,Lieber Honig ,Yann Tiersen ,yann-tiersen,Tribute,09:52,Sparse
21,BREAK
22,Medley,African Magic Combo,african-magic-combo,La Chica,09:02,All sorts of medley
23,Little Mack's Shuffle,The Morrocco Muzik Makers,morrocco-muzik-makers,All Turned On! • Motown Instrumentals 1960-1972,02:41,Shuffle it out
24,Tira O Pe,Buraka Som Sistema,buraka-som-sistema,,03:54,About to explode
25,BREAK
26,Les fantômes des femmes,La Femme,la-femme,Paris-Hawaï,04:23,For all your Franco-Hawaiian needs
27,Wesley's Convertible,April Magazine,april-magazine,Wesley's Convertible Tape For The South,05:35,Drive it slow
28,Holiday House,Beach House,beach-house,Become,05:06,Swells and throbs
29,BREAK
30,Bottom Of The Ocean,Fever Ray,fever-ray,Radical Romantics,07:07,Echolocation
