sequence,song,artist,artist_slug,album,time,notes
1,Blue Velvet,Messer Chups,messer-chups,Night Stripper,2:11,Here’s to Ben
2,BREAK
3,Seg Fault,American Trappist,american-trappist,Poison Reverse,4:03,Crashing the mainframe
4,Eucalyptus,The National,national,First Two Pages Of Frankenstein,4:25,Discussing the endless jukebox
5,Barley,Water From Your Eyes,water-from-your-eyes,Everyone's Crushed,3:29,Enumeration visitation
6,BREAK
7,Shadow Woman,The Growlers,growlers,Natural Affair,3:09,A somewhat tropical feel
8,I Knew A Girl from Oxford Town,Paul Einhaus,paul-einhaus,Solid Tin Coyote,3:23,In a Childish mood
9,I Need Seed,Thee Oh Sees,thee-oh-sees,Castlemania,2:55,Some sort of churlish gnome
10,Cavern,Liquid Liquid,liquid-liquid,Downtown 81,2:33,The eternal bass line
11,BREAK
12,Baby On My Birthday,Skating Polly,skating-polly,Chaos County Line,3:58,Worthy of a celebration
13,My Baby She's Allright,Scruffy The Cat,scruffy-cat,,2:48,Long and lean like a Cadillac
14,Poinciana,Vulfpeck,vulfpeck,"The Joy of Music, The Job of Real Estate",2:23,Vocoder time
15,15 Interesting Things to Do With Tiny Chairs II,Sir Millard Mulch,sir-millard-mulch,"50 Intellectually Stimulating Themes from a Cheap Amusement Park for Robots & Aliens, Vol. 1",1:45,Try sitting on one
16,BREAK
17,new kerrang,M. Ward,m-ward,supernatural thing,3:43,All the kids are into it
18,Me And Armini,Emiliana Torrini,emiliana-torrini,Me And Armini,4:18,Icelandic reggae
19,Boys of Melody,The Hidden Cameras,hidden-cameras,The Smell of Our Own (20th Anniversary Edition),5:04,A pastoral epic
20,Let's Go Out On The Town,Cut Worms,cut-worms,Cut Worms,2:35,In a strolling mood
21,BREAK
22,She Gets All The Girls,Groovie Ghoulies,groovie-ghoulies,Fun In The Dark,1:54,Can’t compete
23,On the Edge,Easy Money,easy-money,"All Your Ears Can Hear: Underground Music in Victoria, BC 1978-1984",2:48,Out of Victoria BC
24,Feel The Pain,Dinosaur Jr.,dinosaur-jr,Puke + Cry: The Sire Years 1990 -1997,4:18,Gives the feels
25,Night Witch,Wolf People,wolf-people,Ruins,3:50,A dramatic turn
26,BREAK
27,Forgiving Ties,Deer Tick,deer-tick,Emotional Contracts,4:11,Feeling quite Petty
28,Cheese And Onions,The Rutles,rutles,The Rutles,2:42,Do I have to spell it out?
29,Cosmonaute,Stereo Total,stereo-total,Yéyé Existentialiste,3:04,"Goodnight, Françoise"
30,Smithereens,The Murlocs,murlocs,Calm Ya Farm,3:25,Blown up
31,BREAK
32,All This Noise,Bully,bully,Lucky For You,1:50,Call to arms
33,Blues X Man,The Jon Spencer Blues Explosion,jon-spencer-blues-explosion,Orange,3:33,He don’t want that bother
34,Saturn Returns,The Photon Band,photon-band,"Our Own ESP Driven Scene: Singles, Comps. & Outtakes 1995-2000",2:34,Psychedelphia remains
35,BREAK
36,Stockholm Syndrome,Joanna Sternberg,joanna-sternberg,I've Got Me,2:30,Happy hostages
37,Mickey Mantle's Autograph,Kevin Morby,kevin-morby,More Photographs (A Continuum),5:49,Reminisce some more
38,They Go Low,Fantastic Negrito,fantastic-negrito,Grandfather Courage,4:09,Sinister intentions
39,Animal Specialty,Draag,draag,Dark Fire Heresy,4:44,Walls of chords
40,BREAK
41,Joy Ride / The Happy Ending,The Green Pajamas,green-pajamas,This Floating World Is a Dream,5:33,In for the long haul
42,It's All Nothing Until It's Everything,KNOWER,knower,KNOWER FOREVER,5:08,Got the clowncore beat
43,Here We Go Again,Buck 65,buck-65,14 KT Gold,1:18,Uncle Buck is back
44,I’m A Winner,African Head Charge,african-head-charge,A Trip To Bolgatanga,3:14,Repeat this affirmation
45,BREAK
46,Festivus,Andrew Bird,andrew-bird,Outside Problems,4:07,Deft pluckings
47,Ilha dos Bruxos,DJ Danifox,dj-danifox,Ansiedade,4:01,Sparse travels
48,Starman,Maxi Priest,maxi-priest,Ziggy Stardub,4:20,More stardub
49,BREAK
50,Town Crank,Clark,clark,Sus Dog,3:39,Very annoying
51,Sleep Rules Everything Around Me,Wugazi,wugazi,,3:19,The clash we’ve been waiting for
52,Modern Guilt,Asher White,asher-white,New Excellent Woman,6:03,Flashes of contrition
53,Disko,Skopitone Sisko,skopitone-sisko,Incognita,4:34,Excessive glitter citation
54,BREAK
55,Bending Hectic,The Smile,smile,Bending Hectic,8:01,Suspended moments
