sequence,song,artist,artist_slug,album,time,notes
1,City Of Angels,Ladytron,ladytron,Time's Arrow,04:41,Grandiose effect
2,BREAK
3,I'm The President,KNOWER,knower,KNOWER FOREVER,04:07,Da bass line
4,High Society,Enon,enon,High Society,03:13,Fancy lounge act in space
5,Any Old Thing,Peglegasus,peglegasus,Learning Curve,03:00,Fiery excess
6,BREAK
7,No Olvidamos,Molotov,molotov,Sólo D'Lira,04:35,El dron
8,Copy,The Plastics,plastics,Downtown 81,03:10,copycopycopy
9,Carly Simon,Groovie Ghoulies,groovie-ghoulies,Fun In The Dark,02:32,Another one for the Famous Polka
10,BREAK
11,High Alert,Steady Holiday,steady-holiday,Newfound Oxygen,03:13,Head on a swivel
12,Every Day Is the Worst Day of My Life,The Lemon Twigs,lemon-twigs,Everything Harmony,03:25,"Sing along, optimists!"
13,I've Got Me,Joanna Sternberg,joanna-sternberg,I've Got Me,02:16,An unusual approach
14,Hey Leopard,Steward,steward,Horselaugh On My Ex,04:07,Get noisy
15,BREAK
16,Miranda,Surfer Blood,surfer-blood,Tarot Classics (Deluxe),03:04,A different Miranda
17,Girls With English Accents,Fergus & Geronimo,fergus-geronimo,Unlearn,02:28,Quite noticeable
18,Spitting Off the Edge of the World,Yeah Yeah Yeahs,yeah-yeah-yeahs,Cool It Down,04:18,This cavernous experience
19,BREAK
20,Didi (Funk Club),Khaled,khaled,,04:30,Under a burning sun
