sequence,song,artist,artist_slug,album,time,notes
1,Panam,The Giant Robots,giant-robots,Fuzz You,02:55,Wild organ time
2,BREAK
3,Pachuko Soul,The El Caminos,el-caminos,,01:57,Twisting twisting
4,Itchy Chicken,Los Straitjackets,los-straitjackets,Damas Y Caballeros...Los Straitjackets!,04:41,Scratching!
5,Peace Groove,Peter Manheim,peter-manheim,In Time,02:52,Smooth landing
6,BREAK
7,too young to die,M. Ward feat. First Aid Kit,m-ward-feat-first-aid-kit,supernatural thing,04:35,Such sweet morbidity
8,I Must Be In Love,The Rutles,rutles,The Rutles,02:07,"I feel good, I feel bad"
9,Jazz on the Autobahn,The Felice Brothers,felice-brothers,From Dreams to Dust,04:32,Seems appropriate
10,The Beginning,Imperial Teen,imperial-teen,What Is Not to Love,02:39,Begin to get started
11,BREAK
12,When You Mess Up,Everything But The Girl,everything-but-girl,Fuse,03:48,Ethereal approach
13,Paper Napkins,The Future Kings of Nowhere,future-kings-of-nowhere,The Future Kings of Nowhere,03:28,Long live the kings
14,House Of The Rising Bigfoot,Spot 1019,spot-1019,,02:27,A real howler
15,I Want You,Dream Wife,dream-wife,Social Lubrication,01:58,Expressing real needs
16,BREAK
17,Been a Fool Once,Daddy Long Legs,daddy-long-legs,Street Sermons,03:17,Raspy good time
18,Shiny Coins,What!,what,,04:19,Gimme the prog ska
19,Break The Arc,Stuck,stuck,Freak Frequency,04:00,It’s all angles
20,BREAK
21,Everywhere & Allover,Lali Puna,lali-puna,Tridecoder,04:46,Omnipresent
