sequence,song,artist,artist_slug,album,time,notes
1,"She's Fine, She's Mine",Spoon,spoon,Memory Dust,3:13,Via Bo Diddley / Billy Childish
2,BREAK
3,4th of July,Packs,packs,Crispy Crunchy Nothing,2:57,Check the calendar
4,Wasted & Ready,Ben Kweller,ben-kweller,Sha Sha Deluxe,3:53,Five by five
5,I'm Ready,Charlie Chesterman and the Legendary Motorbikes,charlie-chesterman-legendary-motorbikes,Dynamite Music Machine,3:14,"Take it, Charlie"
6,If She Could Only See Me Now,Deer Tick,deer-tick,Emotional Contracts,2:51,"Alas, invisibility!"
7,BREAK
8,Piazo E' Perra,Los Amigos Invisibles,los-amigos-invisibles,Arepa 3000,3:28,Strut your stuff
9,Fuzz You,The Giant Robots,giant-robots,Fuzz You,2:06,Destroy destroy destroy
10,Giga Dance,Deerhoof,deerhoof,Milk Man,2:58,Full of menace
11,Moving Parts,Servotron,servotron,No Room For Humans,2:19,Important announcement
12,BREAK
13,Autumn Term,PJ Harvey,pj-harvey,I Inside The Old Year Dying,3:20,Coming right up
14,Amöban,Little Dragon,little-dragon,Slugs of Love,3:16,Heavenly thumps
15,The Human Magnet Song,Joanna Sternberg,joanna-sternberg,I've Got Me,1:45,Getting pretty fancy
16,Silos,Cable Ties,cable-ties,All Her Plans,3:40,Rumbling in the distance
17,BREAK
18,Dying in May,The Clientele,clientele,I Am not There Anymore,4:30,Calling out for Maria
19,Hell On Earth,Circa Waves,circa-waves,Never Going Under,2:46,Wherever you can find it
20,I Wanted Everything,Death By Unga Bunga,death-by-unga-bunga,Fight! EP,3:16,Redlining magnificently
21,Bewildered Herd,Therapy?,therapy,Hard Cold Fire,3:22,Thundering and trampling
22,BREAK
23,Avalanche Of Love,Witch,witch,Zango,3:56,No kidding around
24,Physical Climber,aMiniature,aminiature,Depth Five Rate Six,3:58,Vertical acceleration
25,Swamp Song,The Revox,revox,You Treat Me so Bad,3:00,Get your shoes wet
26,strawberry chainsaw,JAWNY,jawny,"It’s Never Fair, Always True",2:36,Fruity slashings
27,BREAK
28,Charley Chimp,Disq,disq,Desperately Imagining Someplace Quiet,3:20,Luxurious relaxation
29,Seagirl,King Krule,king-krule,Space Heavy,3:22,Siren song
30,Children Play With Matches,Mischief Brew,mischief-brew,Songs From Under The Sink,3:04,Bad kids
31,America Índia,Junior y Su Equipo,junior-y-su-equipo,El Universo Paralelo de Polibio Mayorga 1969​-​1981,2:54,Casio cumbia
32,BREAK
33,Gronks,Terry,terry,Call Me Terry,2:36,Art rock at its finest
34,Love Is Dead,Hazel English,hazel-english,Just Give In / Never Going Home,3:30,Haunting harmonies
35,In The Summer,The Fastbacks,fastbacks,"Very, Very Powerful Motor",3:21,And here we are
36,The Girl Is Crying In Her Latte,Sparks,sparks,The Girl Is Crying In Her Latte,2:57,Salty coffee
37,BREAK
38,Bin Bin,Khruangbin,khruangbin,Live at Stubb's,2:31,Starting the party
39,Only Shallow,My Bloody Valentine,my-bloody-valentine,CMJ 500,4:16,Swirls of texture
40,Soul Drive Sixth Avenue,Money Mark,money-mark,Change Is Coming,3:46,Cruising low and slow
41,River Turns Woodley (for Frogman),M. Sage,m-sage,Paradise Crick,4:16,Spread interjections
42,BREAK
43,Phone the Kids,Sylvia's Taco Salad,sylvia-s-taco-salad,The Luncheon,1:09,It’s an emergency
44,Oslo Calling,Dub Narcotic,dub-narcotic,Out of Your Mind,4:03,Norway the hard way
45,Slash Your Tires,Luna,luna,Lunapark,4:47,Don’t mess with Dean
46,Intuition,Brooklyn Funk Essential,brooklyn-funk-essential,Intuition,4:16,Sometimes you just know
47,BREAK
48,Sueño Oscuro,Adanowsky,adanowsky,The Fool,3:22,Under the mellow starlight
49,Tarraxo 001,DJ Danifox,dj-danifox,Ansiedade,3:04,Scattered thoughts
50,Enough,Brian Eno,brian-eno,Secret Life,5:23,A message from the oceans
51,BREAK
52,Towers of Dub,Dylan Group,dylan-group,Ur-Klang Search,6:41,Reverberational
53,Bridge,Amon Tobin,amon-tobin,Permutation,5:56,Doing it in 5
54,Dub 230,International Sangman,international-sangman,Death Roads and Spirit Ways 2,5:28,Wandering through the crystal forest
55,BREAK
56,L'hawaïenne,La Femme,la-femme,Paris-Hawaï,8:07,Enjoy the midnight sunset
