sequence,song,artist,artist_slug,album,time,notes
1,Seg Fault,American Trappist,american-trappist,Poison Reverse,04:03,Crashing the mainframe
2,BREAK
3,Me And Armini,Emiliana Torrini,emiliana-torrini,Me And Armini,04:18,Icelandic reggae
4,Boys of Melody,The Hidden Cameras,hidden-cameras,The Smell of Our Own (20th Anniversary Edition),05:04,A pastoral epic
5,Let's Go Out On The Town,Cut Worms,cut-worms,Cut Worms,02:35,In a strolling mood
6,BREAK
7,Eucalyptus,The National,national,First Two Pages Of Frankenstein,04:25,Discussing the endless jukebox
8,Barley,Water From Your Eyes,water-from-your-eyes,Everyone's Crushed,03:29,Enumeration visitation
9,Highest Bidder,Fantastic Negrito,fantastic-negrito,Grandfather Courage,04:28,No flinching
10,BREAK
11,Baby On My Birthday,Skating Polly,skating-polly,Chaos County Line,03:58,Worthy of a celebration
12,My Baby She's Allright,Scruffy The Cat,scruffy-cat,,02:48,Long and lean like a Cadillac
13,Poinciana,Vulfpeck,vulfpeck,"The Joy of Music, The Job of Real Estate",02:23,Vocoder time
14,15 Interesting Things to Do With Tiny Chairs II,Sir Millard Mulch,sir-millard-mulch,"50 Intellectually Stimulating Themes from a Cheap Amusement Park for Robots & Aliens, Vol. 1",01:45,Try sitting on one
15,BREAK
16,Shadow Woman,The Growlers,growlers,Natural Affair,03:09,A somewhat tropical feel
17,I Knew A Girl from Oxford Town,Paul Einhaus,paul-einhaus,Solid Tin Coyote,03:23,In a Childish mood
18,I Need Seed,Thee Oh Sees,thee-oh-sees,Castlemania,02:55,Some sort of churlish gnome
19,Cavern,Liquid Liquid,liquid-liquid,Downtown 81,02:33,The eternal bass line
20,BREAK
21,Night Witch,Wolf People,wolf-people,Ruins,03:05,A dramatic turn
