sequence,song,artist,artist_slug,album,time,notes
1,New Kerrang,M. Ward,m-ward,Supernatural Thing,03:43,All the kids are into it
2,BREAK
3,Stockholm Syndrome,Joanna Sternberg,joanna-sternberg,I've Got Me,02:03,Happy hostages
4,Mickey Mantle's Autograph,Kevin Morby,kevin-morby,More Photographs (A Continuum),05:49,Reminisce some more
5,They Go Low,Fantastic Negrito,fantastic-negrito,Grandfather Courage,04:09,Sinister intentions
6,Animal Specialty,Draag,draag,Dark Fire Heresy,04:44,Walls of chords
7,BREAK
8,Forgiving Ties,Deer Tick,deer-tick,Emotional Contracts,04:11,Feeling quite Petty
9,Cheese And Onions,The Rutles,rutles,The Rutles,02:42,Do I have to spell it out?
10,Cosmonaute,Stereo Total,stereo-total,Yéyé Existentialiste,03:04,"Goodnight, Françoise"
11,Smithereens,The Murlocs,murlocs,Calm Ya Farm,03:25,Blown up
12,BREAK
13,All This Noise,Bully,bully,Lucky For You,01:05,Call to arms
14,Blues X Man,The Jon Spencer Blues Explosion,jon-spencer-blues-explosion,Orange,03:33,He don’t want that bother
15,Saturn Returns,The Photon Band,photon-band,"Our Own ESP Driven Scene: Singles, Comps. & Outtakes 1995-2000",02:34,Psychedelphia remains
16,BREAK
17,She Gets All The Girls,Groovie Ghoulies,groovie-ghoulies,Fun In The Dark,01:54,Can’t compete
18,On the Edge,Easy Money,easy-money,"All Your Ears Can Hear: Underground Music in Victoria, BC 1978-1984",02:48,Out of Victoria BC
19,Feel The Pain,Dinosaur Jr.,dinosaur-jr,Puke + Cry: The Sire Years 1990 -1997,04:18,Gives the feels
20,BREAK
21,The Living End,North Americans,north-americans,Long Cool World,04:04,Four subtle minutes
