sequence,song,artist,artist_slug,album,time,notes
1,Town Crank,Clark,clark,Sus Dog,03:39,Very annoying
2,BREAK
3,Super,Neu!,neu,Neu! 2,03:11,Flying Guillotine time
4,Sleep Rules Everything Around Me,Wugazi,wugazi,,03:19,The clash we’ve been waiting for
5,Modern Guilt,Asher White,asher-white,New Excellent Woman,06:03,Flashes of contrition
6,Disko,Skopitone Sisko,skopitone-sisko,Incognita,04:34,Excessive glitter citation
7,BREAK
8,Asalatua,African Head Charge,african-head-charge,A Trip To Bolgatanga,03:58,Enter the trance
9,Drag,Unknown Mortal Orchestra,unknown-mortal-orchestra,V,05:57,Unsteady wandering
10,Dub 127,International Sangman,international-sangman,Death Roads and Spirit Ways 2,05:02,The sound of dead orbits
11,BREAK
12,Festivus,Andrew Bird,andrew-bird,Outside Problems,04:07,Deft pluckings
13,Ilha dos Bruxos,DJ Danifox,dj-danifox,Ansiedade,04:01,Sparse travels
14,First Day of Peace (Short Version),Mystic 100's,mystic-100-s,On a Micro Diet,08:23,Wondering about the long version
15,Starman,Maxi Priest,maxi-priest,Ziggy Stardub,04:02,More stardub
16,BREAK
17,Joy Ride / The Happy Ending,The Green Pajamas,green-pajamas,This Floating World Is a Dream,05:33,In for the long haul
18,It's All Nothing Until It's Everything,KNOWER,knower,KNOWER FOREVER,05:08,Got the clowncore beat
19,Here We Go Again,Buck 65,buck-65,14 KT Gold,01:18,Uncle Buck is back
20,I’m A Winner,African Head Charge,african-head-charge,A Trip To Bolgatanga,03:14,Repeat this affirmation
21,BREAK
22,Become,Beach House,beach-house,Become,05:59,A relaxing time
23,Noche Fría,Adanowsky,adanowsky,The Fool,03:09,Cold night
24,In Re Budd,Penguin Cafe,penguin-cafe,Rain Before Seven...,04:23,Generational accomplishments
25,Man Of The House,dEUS,deus,How To Replace It,05:12,The signal controls you
26,BREAK
27,Alyosha,Clark,clark,Sus Dog,04:39,Distant lands
28,Waiting,Cibelle,cibelle,,06:19,Smoldering sounds
29,Always on my Mind,Salami Rose Joe Louis,salami-rose-joe-louis,Akousmatikous,02:33,Intricacy of choice
30,1000 Towns (feat. Coelacanth),Kid Koala,kid-koala,Creatures of the Late Afternoon,02:25,Ponderous scratching
31,BREAK
32,Bending Hectic,The Smile,smile,Bending Hectic,08:01,Suspended moments
