sequence,song,artist,artist_slug,album,time,notes
1,Use Me,Holly Golightly,holly-golightly,God Don't Like It,3:01,
2,BREAK
3,The Do That,Public Image Ltd.,public-image-ltd,End Of World,2:38,Allow me to enumerate
4,Lee Mi Poesia,Niños Con Bombas,ninos-con-bombas,Niños Con Bombas,3:46,Showing you their chapbook
5,Mushrooms,Automatic Shock,automatic-shock,"All Your Ears Can Hear: Underground Music in Victoria, BC 1978-1984",3:21,A common plight
6,Centuries,Terry,terry,Call Me Terry,1:47,Flavors of Flying Nun
7,BREAK
8,Crash into The Weekend,The Hives,hives,The Death of Randy Fitzsimmons,2:59,Didn’t even see the brake lights flash
9,Gone Fishin',The New Lou Reeds,new-lou-reeds,Screwed,3:12,Dropping a line in the water
10,Mess Me Up,Hell Baby,hell-baby,Burnt,3:21,A big wet sloppy kiss
11,BREAK
12,The Town Where I'm Livin Now,Grandaddy,grandaddy,Sumday: Excess Baggage,4:44,Here we are
13,Don't Fade Out,Cut Worms,cut-worms,Cut Worms,4:12,Soda fountain vibes
14,Insane Overdrive,Fort Lauderdale,fort-lauderdale,Pretty Monster,2:28,Doubling up
15,Current Carry,Vetiver,vetiver,Complete Strangers,3:55,Feeling Steely
16,BREAK
17,Female Brain,Margaret Glaspy,margaret-glaspy,Echo The Diamond,2:26,Don’t be a dick
18,Independence Day,Palehound,palehound,Eye On The Bat,3:39,Where were you two months ago?
19,Slugs of Love,Little Dragon,little-dragon,Slugs of Love,4:08,Tricky beat
20,Blind Man Can See It / (It’s Not The Express) It’s The Monaurail,Khruangbin,khruangbin,Live at Stubb's,2:21,Funked out
21,BREAK
22,The Narcissist,Blur,blur,The Ballad of Darren (Deluxe),4:05,Big chunks of self
23,The Girl From U.N.C.L.E.,Four Corners,four-corners,Say You're A Scream,1:42,Full of wooze
24,Carlos is Crying,The Hold Steady,hold-steady,The Price of Progress,3:46,Telling us a story
25,All Or Nothing,Derby,derby,Posters Fade,3:41,Take a fun ride
26,BREAK
27,Clap Hands,Tom Waits,tom-waits,Rain Dogs (2023 Remaster),3:48,A grisly tale
28,I've Been Tired,Pixies,pixies,Come On Pilgrim,3:01,So tired
29,Take It Away,LMNOP,lmnop,Pound,0:53,Calling for removal
30,Gamera,Karate School Dropout,karate-school-dropout,Hoku Psychosister,2:48,More kaiju please!
31,BREAK
32,Mood Ring,Buck Meek,buck-meek,Haunted Mountain,3:53,The moodiest
33,First Snowfall,The Coctails,coctails,Popcorn Box,2:33,Always time for a saw
34,Find My Way,Delicate Steve,delicate-steve,After Hours,3:32,In a ‘70s mood
35,Way Of The Ocean,Three Mile Pilot,three-mile-pilot,"Another Desert, Another Sea",3:09,A nautical feel
36,BREAK
37,By The Time You Realize,Witch,witch,Zango,4:37,More epic travels
38,Piranhas Club,Man Man,man-man,Life Fantastic (Deluxe Edition),3:52,A circus for adults
39,Kitchen,Binder + Krieglstein,binder-krieglstein,Trip,3:46,Get cooking
40,I'm Talking,IP Warriors,ip-warriors,Calm,4:10,
41,BREAK
42,Dream #3,Brittta Phillips + Kramer,brittta-phillips-kramer,,4:33,A good match
43,Dream in the Mist,Cornelius,cornelius,Dream in Dream,7:00,Flowing in a lucid state
44,Escape from Noise,Negativland,negativland,Escape from Noise,2:35,There is no escape
45,BREAK
46,Livin’ in the after Dub (Adrian Sherwood 'Reset in Dub' Version),"Sonic Boom, Panda Bear and Adrian Sherwood",sonic-boom-panda-bear-adrian-sherwood,Reset in Dub (Adrian Sherwood 'Reset in Dub' Version),4:31,Nicely versioned
47,Mr. Bongo,Ursula 1000,ursula-1000,,2:12,Muy tropical
48,What a Waste,Curve & Ian Dury,curve-ian-dury,The Way Of Curve,5:04,Spaced out
49,BREAK
50,Epilogue,Andrew Bird,andrew-bird,Outside Problems,6:28,Deftly plucked
51,Agreement,Baaba Maal,baaba-maal,Being,4:49,Enter the hypnodrone
52,Hamburger Lady,Throbbing Gristle,throbbing-gristle,Entertainment Through Pain,4:12,She brings the condiments
53,Sickness (Slowly dying),The Bug,bug,Machine 2,3:36,Deconstruction time
54,BREAK
55,I Want A New Dub,Spacewalk,spacewalk,Spacewalk,8:01,We all want a new dub
