sequence,song,artist,artist_slug,album,time,notes
1,Autumn Term,PJ Harvey,pj-harvey,I Inside The Old Year Dying,03:20,Coming right up
2,BREAK
3,4th of July,Packs,packs,Crispy Crunchy Nothing,02:57,Check the calendar
4,Wasted & Ready,Ben Kweller,ben-kweller,Sha Sha Deluxe,03:53,Five by five
5,I'm Ready,Charlie Chesterman and the Legendary Motorbikes,charlie-chesterman-legendary-motorbikes,Dynamite Music Machine,03:14,"Take it, Charlie"
6,If She Could Only See Me Now,Deer Tick,deer-tick,Emotional Contracts,02:51,"Alas, invisibility!"
7,BREAK
8,Piazo E' Perra,Los Amigos Invisibles,los-amigos-invisibles,Arepa 3000,03:28,Strut your stuff
9,Fuzz You,The Giant Robots,giant-robots,Fuzz You,02:06,Destroy destroy destroy
10,Giga Dance,Deerhoof,deerhoof,Milk Man,02:58,Full of menace
11,Moving Parts,Servotron,servotron,No Room For Humans,02:19,Important announcement
12,BREAK
13,Amöban,Little Dragon,little-dragon,Slugs of Love,03:16,Heavenly thumps
14,The Human Magnet Song,Joanna Sternberg,joanna-sternberg,I've Got Me,01:45,Getting pretty fancy
15,Silos,Cable Ties,cable-ties,All Her Plans,03:40,Rumbling in the distance
16,BREAK
17,Dying in May,The Clientele,clientele,I Am not There Anymore,04:30,Calling out for Maria
18,Hell On Earth,Circa Waves,circa-waves,Never Going Under,02:46,Wherever you can find it
19,I Wanted Everything,Death By Unga Bunga,death-by-unga-bunga,Fight! EP,03:16,Redlining magnificently
20,Bewildered Herd,Therapy?,therapy,Hard Cold Fire,03:22,Thundering and trampling
21,BREAK
22,Whispering Light,Jesca Hoop,jesca-hoop,Hunting My Dress,04:00,Walking through the spooky forest
