sequence,song,artist,artist_slug,album,time,notes
1,Avalanche Of Love,W.I.T.C.H.,w-i-t-c-h,Zango,03:56,No kidding around
2,BREAK
3,Physical Climber,aMiniature,aminiature,Depth Five Rate Six,03:58,Vertical acceleration
4,Swamp Song,The Revox,revox,You Treat Me so Bad,03:00,Get your shoes wet
5,strawberry chainsaw,JAWNY,jawny,"It’s Never Fair, Always True",02:36,Fruity slashings
6,BREAK
7,Charley Chimp,Disq,disq,Desperately Imagining Someplace Quiet,03:20,Luxurious relaxation
8,Seagirl,King Krule,king-krule,Space Heavy,03:22,Siren song
9,Children Play With Matches,Mischief Brew,mischief-brew,Songs From Under The Sink,03:04,Bad kids
10,America Índia,Junior y Su Equipo,junior-y-su-equipo,El Universo Paralelo de Polibio Mayorga 1969​-​1981,02:54,Casio cumbia
11,BREAK
12,Gronks,Terry,terry,Call Me Terry,02:36,Art rock at its finest
13,Love Is Dead,Hazel English,hazel-english,Just Give In / Never Going Home,03:30,Haunting harmonies
14,In The Summer,The Fastbacks,fastbacks,"Very, Very Powerful Motor",03:21,And here we are
15,The Girl Is Crying In Her Latte,Sparks,sparks,The Girl Is Crying In Her Latte,02:57,Salty coffee
16,BREAK
17,Bin Bin,Khruangbin,khruangbin,Live at Stubb's,02:31,Starting the party
18,Only Shallow,My Bloody Valentine,my-bloody-valentine,CMJ 500,04:16,Swirls of texture
19,Soul Drive Sixth Avenue,Money Mark,money-mark,Change Is Coming,03:46,Cruising low and slow
20,BREAK
21,River Turns Woodley (for Frogman),M. Sage,m-sage,Paradise Crick,04:16,Spread interjections
