sequence,song,artist,artist_slug,album,time,notes
1,Listening to the Higsons,Sparklehorse,sparklehorse,Bird Machine,3:01,Originally from Robyn Hitchcock + the Egyptians
2,BREAK
3,Act Natural,Margaret Glaspy,margaret-glaspy,Echo The Diamond,4:19,Wobbling guitars
4,My Own City,Bethany Cosentino,bethany-cosentino,Natural Disaster,3:16,An end of summer sound
5,Blue Over Blue,The Clientele,clientele,I Am not There Anymore,3:17,Subdued insinuation
6,BREAK
7,Haunted Mountain,Buck Meek,buck-meek,Haunted Mountain,5:12,A spooky place to live
8,Total Entertainment Forever,Father John Misty,father-john-misty,Pure Comedy,2:54,It’s neverending
9,Broken Bones,House of Freaks,house-of-freaks,,3:11,Low-key desperation
10,Sister,Pale Blue Eyes,pale-blue-eyes,This House,4:14,The shoegaze is back
11,BREAK
12,Bite My Tongue,Islands,islands,And That's Why Dolphins Lost Their Legs,3:39,Draw some blood
13,And She Was,Talking Heads,talking-heads,Little Creatures,3:40,Floating into space
14,Band On The Run,Paul McCartney & Wings,paul-mccartney-wings,"The 7"" Singles",5:13,The original extended mix
15,BREAK
16,Last Stretch of the Road,Graham Parker & the Goldtops,graham-parker-goldtops,Last Chance to Learn the Twist,2:15,Still an original
17,Levitate Me,Pixies,pixies,Come On Pilgrim,2:37,Elevator lady
18,Extinction,Parquet Courts,parquet-courts,Wide Awake!,1:42,Ending it all
19,Japanese Buffalo,Cage The Elephant,cage-elephant,Thank You Happy Birthday,3:03,Manic energy
20,BREAK
21,Derek Spears,Grandaddy,grandaddy,Sumday: Excess Baggage,3:13,Your conscience is singing at you
22,E.S.P.,Sonny & The Sunsets,sonny-sunsets,Self Awareness Through Macrame,3:08,Having a vision
23,Rain Dogs,Tom Waits,tom-waits,Rain Dogs (2023 Remaster),2:57,It's a state of mind
24,Super Afro-Beat,The Daktaris,daktaris,Soul Explosion,3:45,Truth in advertising
25,BREAK
26,Numb,Beach Fossils,beach-fossils,Bunny,4:20,Crashing out
27,Agastopia,Draag,draag,Dark Fire Heresy,3:58,Spooling out chords
28,Questions And Answers,The Apples In Stereo,apples-in-stereo,Her Wallpaper Reverie,2:54,Getting Socratic
29,BREAK
30,People Are Toys To You,Joanna Sternberg,joanna-sternberg,I've Got Me,2:44,We all know one
31,Fresh Blood,Eels,eels,Hombre Lobo,4:25,Sulking in style
32,Six Months in a Leaky Boat,Split Enz,split-enz,History Never Repeats: The Best Of Split Enz,4:21,Circumnavigate the globe
33,Gouge Away,The Promise Ring,promise-ring,Where Is My Mind: A Tribute To The Pixies,3:00,Making it fit better
34,BREAK
35,St. Charles Square,Blur,blur,The Ballad of Darren (Deluxe),3:55,Where it happened
36,Hippie Soldier,The Orwells,orwells,Terrible Human Beings,3:30,A juxtapositional person
37,She's Weird,Ascensions,ascensions,"All Your Ears Can Hear: Underground Music in Victoria, BC 1978-1984",1:21,Everybody said so
38,Now I'm Freaking Out,Ween,ween,The Brown Sides,5:08,Here comes the madness
39,BREAK
40,HEAD,Jeff Rosenstock,jeff-rosenstock,HELLMODE,1:31,Trying to keep up
41,Waile,W.I.T.C.H.,w-i-t-c-h,Zango,5:16,Mighty mighty Zamrock
42,Trouble Is My Beeswax,Cigarbox Planetarium,cigarbox-planetarium,Cigarbox Planetarium,2:42,And beeswax is good
43,Subaru Crosstrek XV,Hobo Johnson,hobo-johnson,The Fall of Hobo Johnson,2:35,Not quite there yet
44,BREAK
45,"Black Earth, WI",Ratboys,ratboys,The Window,8:34,Undulating
46,Renaissance of Reconnaissance,Kid Koala,kid-koala,Creatures of the Late Afternoon,1:15,Interlude
47,This Purple Child,Howe Gelb + Grandaddy,howe-gelb-grandaddy,Hisser,5:42,Waiting in the dust
48,It's You,Cassandra Jenkins,cassandra-jenkins,Covers of Covers,4:16,Harps a plenty
49,BREAK
50,Hot Dub Party,Spacewalk,spacewalk,Spacewalk,6:33,Turn on the jets
51,Lazy Bones,Wooden Shjips,wooden-shjips,West (Deluxe Version),3:54,Eating up the miles
52,Bleeding Heart Tetra,North Americans,north-americans,Going Steady,4:11,Yonder horizon
53,BREAK
54,Virgo 3,Meshell Ndegeocello,meshell-ndegeocello,The Omnichord Real Book,6:54,Return to orbit
