sequence,song,artist,artist_slug,album,time,notes
1,Female Brain,Margaret Glaspy,margaret-glaspy,Echo The Diamond,02:26,Don’t be a dick
2,BREAK
3,Independence Day,Palehound,palehound,Eye On The Bat,03:39,Where were you two months ago?
4,Slugs of Love,Little Dragon,little-dragon,Slugs of Love,04:08,Tricky beat
5,Blind Man Can See It / (It’s Not The Express) It’s The Monaurail,Khruangbin,khruangbin,Live at Stubb's,02:21,Funked out
6,BREAK
7,The Town Where I'm Livin Now,Grandaddy,grandaddy,Sumday: Excess Baggage,04:44,Here we are
8,Don't Fade Out,Cut Worms,cut-worms,Cut Worms,04:12,Soda fountain vibes
9,Insane Overdrive,Fort Lauderdale,fort-lauderdale,Pretty Monster,02:28,Doubling up
10,Current Carry,Vetiver,vetiver,Complete Strangers,03:55,Feeling Steely
11,BREAK
12,Crash into The Weekend,The Hives,hives,The Death of Randy Fitzsimmons,02:59,Didn’t even see the brake lights flash
13,Gone Fishin',The New Lou Reeds,new-lou-reeds,Screwed,03:12,Dropping a line in the water
14,Mess Me Up,Hell Baby,hell-baby,Burnt,03:21,A big wet sloppy kiss
15,BREAK
16,The Do That,Public Image Ltd.,public-image-ltd,End Of World,02:38,Allow me to enumerate
17,Lee Mi Poesia,Niños Con Bombas,ninos-con-bombas,Niños Con Bombas,03:46,Showing you their chapbook
18,Mushrooms,Automatic Shock,automatic-shock,"All Your Ears Can Hear: Underground Music in Victoria, BC 1978-1984",03:21,A common plight
19,Centuries,Terry,terry,Call Me Terry,01:47,Flavors of Flying Nun
20,BREAK
21,It's My Life,Railroad Jerk,railroad-jerk,Masterpiecemeal,05:01,The best 30 seconds
