sequence,song,artist,artist_slug,album,time,notes
1,Mood Ring,Buck Meek,buck-meek,Haunted Mountain,03:53,The moodiest
2,BREAK
3,The Narcissist,Blur,blur,The Ballad of Darren (Deluxe),04:05,Big chunks of self
4,The Girl From U.N.C.L.E.,Four Corners,four-corners,Say You're A Scream,01:42,Full of wooze
5,Carlos is Crying,The Hold Steady,hold-steady,The Price of Progress,03:46,Telling us a story
6,All Or Nothing,Derby,derby,Posters Fade,03:41,Take a fun ride
7,BREAK
8,Clap Hands,Tom Waits,tom-waits,Rain Dogs (2023 Remaster),03:48,A grisly tale
9,I've Been Tired,Pixies,pixies,Come On Pilgrim,03:01,So tired
10,Take It Away,LMNOP,lmnop,Pound,00:53,Calling for removal
11,Gamera,Karate School Dropout,karate-school-dropout,Hoku Psychosister,02:48,More kaiju please!
12,BREAK
13,First Snowfall,The Coctails,coctails,Popcorn Box,02:33,Always time for a saw
14,Find My Way,Delicate Steve,delicate-steve,After Hours,03:32,In a ‘70s mood
15,Way Of The Ocean,Three Mile Pilot,three-mile-pilot,"Another Desert, Another Sea",03:09,A nautical feel
16,BREAK
17,By The Time You Realize,Witch,witch,Zango,04:37,More epic travels
18,Piranhas Club,Man Man,man-man,Life Fantastic (Deluxe Edition),03:52,A circus for adults
19,Kitchen,Binder + Krieglstein,binder-krieglstein,Trip,03:46,Get cooking
20,I'm Talking,IP Warriors,ip-warriors,Calm,04:10,Listen up
21,BREAK
22,Bam Bam,Toots & The Maytals,toots-maytals,,03:10,The evening come
