sequence,song,artist,artist_slug,album,time,notes
1,Baby,The Babies,babies,Our House on the Hill,02:54,Not pulling any punches
2,BREAK
3,Baby's Got Sauce,G. Love & Special Sauce,g-love-special-sauce,G. Love and Special Sauce,03:54,What baby got?
4,Baby Got Back,Sir Mix-A-Lot,sir-mix-a-lot,Mack Daddy,04:21,Back.
5,Combat Baby,Metric,metric,"Old World Underground, Where Are You Now?",03:30,Laggy vocals are the best
6,BREAK
7,Baby,Os Mutantes,os-mutantes,Mutantes,03:38,Maybe my favorite baby
8,Baby's Way Cruel,Guv'ner,guv-ner,Knight Moves,03:00,Way cruel
9,Baby You're Your Own TV,Family Of God,family-of-god,Exiter,03:20,For all babies
10,Baby's Insane,Diamanda Galas with John Paul Jones,diamanda-galas-with-john-paul-jones,The Sporting Life,04:39,The war has begun
11,BREAK
12,Baby,Imperial Teen,imperial-teen,On,02:44,Quite propulsive
13,Chuma Finds A Baby,Charming Turtlenecks,charming-turtlenecks,Cincinnati Music 4,02:26,Chuma must be a llama
14,Cry Baby,Janis Joplin,janis-joplin,Pearl,03:58,Nobody howls like Janis
15,Cool Baby Slut,The Flamenco A Go Go,flamenco-a-go-go,Fully Fed Freaks,02:38,Nananana
16,BREAK
17,Baby,Flat Duo Jets,flat-duo-jets,Flat Duo Jets,02:48,Drenched in verb
18,Baby Bitch,Jon Auer,jon-auer,6 1/2,03:29,Originally from Ween
19,The Baby That Was You,MC Honky,mc-honky,I Am the Messiah,03:44,Get to the point
20,BREAK
21,Baby's On Fire,Brian Eno,brian-eno,Here Come the Warm Jets,05:20,Like a heifer to the slaughter
